Date time,Minimum Temperature,Maximum Temperature,Relative Humidity,Wind Speed,Precipitation,Cloud Cover,Sea Level Pressure,Latitude,Longitude
01/01/2011,-11.6,-1.4,98.79,15.4,0,5.2,1018.8,43.9701,25.3277
01/02/2011,-6.9,2.5,94.11,18,0,10,1014.3,43.9701,25.3277
01/03/2011,-3.8,0.2,98.96,7.2,7,68.7,1018.4,43.9701,25.3277
01/04/2011,-5.5,-1.8,99.36,7.2,0,64,1025,43.9701,25.3277
01/05/2011,-8.6,-5.1,99.31,10.8,0,61.8,1028,43.9701,25.3277
01/06/2011,-8.9,-6.1,99.49,3.8,0,68.5,1029.7,43.9701,25.3277
01/07/2011,-9.8,-4.4,99.33,10.8,0,68.4,1030,43.9701,25.3277
01/08/2011,-9.1,-0.3,98.75,14.4,0,28,1025.8,43.9701,25.3277
01/09/2011,-1.9,4.4,96.43,10.8,0,27.7,1023.2,43.9701,25.3277
01/10/2011,-3.3,0.1,99.59,10.8,0,45.9,1025.1,43.9701,25.3277
01/11/2011,-0.3,1.6,99.62,7.2,0,62.3,1022.6,43.9701,25.3277
01/12/2011,-0.1,1,99.25,7.2,0,67.2,1019.9,43.9701,25.3277
01/13/2011,0.7,4.7,98.68,14.4,0,66.3,1017.6,43.9701,25.3277
01/14/2011,-0.1,8.4,97.65,10.8,0,39.2,1015.7,43.9701,25.3277
01/15/2011,1.2,11.3,97.15,23.2,0,36.8,1015.8,43.9701,25.3277
01/16/2011,4.1,11.9,90.81,20.1,0,46.6,1023.6,43.9701,25.3277
01/17/2011,0.4,6.4,95.65,10.8,0,26.6,1029.5,43.9701,25.3277
01/18/2011,-1.3,1.2,99.47,10.8,0,55.7,1025.9,43.9701,25.3277
01/19/2011,-1.1,-0.3,99.51,7.2,0.1,67.4,1022.9,43.9701,25.3277
01/20/2011,-0.8,-0.1,99.16,7.2,0,68.7,1019.4,43.9701,25.3277
01/21/2011,-0.6,2.7,99.11,14.4,0.1,68.7,1021.3,43.9701,25.3277
01/22/2011,-0.9,1.8,99.32,18,13.8,68.7,1021.6,43.9701,25.3277
01/23/2011,-6.4,-0.5,98.91,19.1,7.2,59.5,1016.9,43.9701,25.3277
01/24/2011,-3.6,-0.1,98.62,14.4,1,68,1016.7,43.9701,25.3277
01/25/2011,-7.4,-0.9,96.82,14.4,0,62.9,1018,43.9701,25.3277
