Date time,Minimum Temperature,Maximum Temperature,Relative Humidity,Wind Speed,Precipitation,Cloud Cover,Sea Level Pressure,Latitude,Longitude
01/01/2011,-9.1,2,85.16,21.6,0,24.1,1016.6,46.5691,26.911
01/02/2011,-9.2,-0.9,87.89,9.1,0,63.6,1015.4,46.5691,26.911
01/03/2011,-7.7,-1.4,97.39,11,0,86.9,1020.5,46.5691,26.911
01/04/2011,-15,-6.8,93.64,5.5,0,34.7,1026,46.5691,26.911
01/05/2011,-16,-7.6,93.13,19.7,0,56.3,1029.2,46.5691,26.911
01/06/2011,-9.4,-2.3,98.03,21.6,0,53.6,1028,46.5691,26.911
01/07/2011,-5.8,-3.9,98.06,17.8,0,62.9,1026.5,46.5691,26.911
01/08/2011,-6.8,-3.5,98.46,17.8,0,52.2,1024.9,46.5691,26.911
01/09/2011,-4.3,1.6,99.44,16.1,0,66.7,1022.4,46.5691,26.911
01/10/2011,-0.6,2.4,100,19.9,0,39.7,1025.6,46.5691,26.911
01/11/2011,0.9,3.4,100,18.2,0,44.1,1023.8,46.5691,26.911
01/12/2011,2.3,4.6,100,21.8,0,45.8,1018.5,46.5691,26.911
01/13/2011,-0.4,3.3,100,16.3,0,61.8,1016.2,46.5691,26.911
01/14/2011,-2.6,4.5,99.37,14.4,0,51.3,1015.2,46.5691,26.911
01/15/2011,0.7,7.9,98.76,11,0,66.2,1015.1,46.5691,26.911
01/16/2011,1.9,7.1,87.81,33.6,0,70.8,1025.5,46.5691,26.911
01/17/2011,-1.9,7.5,93.59,9.3,0,46.4,1029,46.5691,26.911
01/18/2011,-1.1,8.1,93.11,16.3,0,46.5,1025.5,46.5691,26.911
01/19/2011,-2.3,1.7,100,12.7,0,45.4,1023.4,46.5691,26.911
01/20/2011,-0.8,1.5,100,14.4,0,64.6,1019.5,46.5691,26.911
01/21/2011,-0.1,2.3,95.27,16.3,0,96.1,1024.3,46.5691,26.911
01/22/2011,-3.6,0.4,97.63,20.1,0,94.3,1027,46.5691,26.911
01/23/2011,-4.4,-1.7,96.25,18.2,0,91.7,1019.2,46.5691,26.911
01/24/2011,-5.6,-0.5,88.4,7.4,0,84,1018.2,46.5691,26.911
01/25/2011,-8.6,-3.4,82.59,12.7,0,72.8,1018.6,46.5691,26.911
