"Date time","Minimum Temperature","Maximum Temperature","Relative Humidity","Wind Speed","Precipitation","Cloud Cover","Sea Level Pressure","Latitude","Longitude"
"01/01/2011",-9.3,-4.8,91.29,6.1,0,83.2,1021.9,47.131,24.4899
"01/02/2011",-9.1,-2.5,90.32,9.7,0.1,85.1,1017.9,47.131,24.4899
"01/03/2011",-8.1,-1.8,91.3,9.1,0,84.3,1021.3,47.131,24.4899
"01/04/2011",-7.4,-5.2,81.92,9,0,97.7,1027.2,47.131,24.4899
"01/05/2011",-12.5,-5.5,80.62,9.8,0,59.3,1028.2,47.131,24.4899
"01/06/2011",-13.9,-7.1,85.91,6.9,0,44.7,1029,47.131,24.4899
"01/07/2011",-10.6,-0.5,83.36,9,0.8,88.3,1026.6,47.131,24.4899
"01/08/2011",-1.2,2.7,91.47,8.3,0.7,89.9,1024.6,47.131,24.4899
"01/09/2011",1.2,4,96.17,9.8,0.1,92.8,1022.9,47.131,24.4899
"01/10/2011",1.3,4.8,94.63,10.4,0,60,1024.5,47.131,24.4899
"01/11/2011",0.4,4.9,93.66,7.5,0,50.4,1020.9,47.131,24.4899
"01/12/2011",-1.2,3.1,96.89,7.4,2,63.3,1018.5,47.131,24.4899
"01/13/2011",0.7,4.9,95.93,8.4,1.4,90.2,1017.5,47.131,24.4899
"01/14/2011",1.4,4.9,96.93,6.8,4,95.5,1016.9,47.131,24.4899
"01/15/2011",3.4,7.3,96.48,19.5,3.4,88.6,1017.5,47.131,24.4899
"01/16/2011",0,8.3,81.31,18.7,0,52.6,1027.2,47.131,24.4899
"01/17/2011",-1.9,4.4,90.35,7.5,0,40.4,1030.5,47.131,24.4899
"01/18/2011",-3.1,1.6,95.76,7.3,0,50.4,1027.3,47.131,24.4899
"01/19/2011",-3.6,-1.2,98.27,6.1,0,74.9,1024.5,47.131,24.4899
"01/20/2011",-1.9,-0.1,99.45,5.4,7,97.8,1019.7,47.131,24.4899
"01/21/2011",-1.2,0.3,98.99,6.9,3.7,96.1,1022.7,47.131,24.4899
"01/22/2011",-2,0,97.79,8.3,3,98.9,1023.7,47.131,24.4899
"01/23/2011",-4.5,-0.8,93.1,9.8,0,89.7,1018.1,47.131,24.4899
"01/24/2011",-7.9,-2,87.78,11.6,0,79.1,1018.5,47.131,24.4899
"01/25/2011",-12.4,-4.8,86.23,9,0,63.1,1019.8,47.131,24.4899
"01/26/2011",-12.7,-5.1,85.4,9.9,0.5,55.6,1015.9,47.131,24.4899
"01/27/2011",-9.4,-3.1,89.07,6.5,0,64.4,1018.9,47.131,24.4899
"01/28/2011",-9.3,-2.2,90.89,6.8,0,55.3,1026.9,47.131,24.4899
"01/29/2011",-14,-7.5,87.07,7.6,0,27,1029,47.131,24.4899
"01/30/2011",-14.8,-7.7,85.66,8.2,0,30.1,1025.7,47.131,24.4899
"01/31/2011",-14.9,-7.2,88.77,6.8,0,53.9,1028,47.131,24.4899
"02/01/2011",-14.4,-10.2,89.06,7.4,0,53,1031.5,47.131,24.4899
"02/02/2011",-14.9,-10,89.3,8.9,0,80.1,1030.9,47.131,24.4899
"02/03/2011",-10.9,-8.4,90.89,7.5,0,97.8,1031.2,47.131,24.4899
"02/04/2011",-9.5,-6.8,90.44,9,0,97.8,1032.2,47.131,24.4899
"02/05/2011",-7.9,-3.5,89.09,9,0.3,84,1027.8,47.131,24.4899
"02/06/2011",-4.7,1.7,88.52,7.6,0,93.4,1025.3,47.131,24.4899
"02/07/2011",-2.8,5.7,91.63,8.3,0,37.9,1025.8,47.131,24.4899
"02/08/2011",-3.6,0.6,93.15,8.1,0,45.7,1022.1,47.131,24.4899
"02/09/2011",-3.8,4.5,79.6,13.9,0,29.9,1022.3,47.131,24.4899
"02/10/2011",-6.5,2.4,79.38,11.1,0,1.2,1025.6,47.131,24.4899
"02/11/2011",-7.8,1.5,85.83,8.2,4,47.2,1019.2,47.131,24.4899
"02/12/2011",-5,5,74.75,38.1,7.9,63.8,1010.9,47.131,24.4899
"02/13/2011",-7.3,0.6,64.43,15.3,0,24,1021.4,47.131,24.4899
"02/14/2011",-7,-0.5,72.18,8.2,0,38.9,1016.9,47.131,24.4899
"02/15/2011",-11.3,1.1,71.61,9.6,0,8.4,1015.7,47.131,24.4899
"02/16/2011",-8.4,1.8,70.2,12,0,44.4,1015.3,47.131,24.4899
"02/17/2011",-3.9,3.8,72.52,10.6,0.4,66.7,1012.6,47.131,24.4899
"02/18/2011",-2.4,8.2,81.24,10.5,0,48.9,1012.8,47.131,24.4899
"02/19/2011",1.3,6.5,87.12,8.3,0,91.9,1010.9,47.131,24.4899
"02/20/2011",-0.9,1.6,95.19,9,2.2,97.7,1014.4,47.131,24.4899
"02/21/2011",-1.9,0.4,91.28,10.4,2.1,99.7,1016.6,47.131,24.4899
"02/22/2011",-3.4,0.9,91.51,8.2,3.2,95.6,1014.7,47.131,24.4899
"02/23/2011",-3,1.6,89.64,8.3,2.3,94.9,1020,47.131,24.4899
"02/24/2011",-3.6,0.3,88.19,9.7,1.5,96.2,1025.5,47.131,24.4899
"02/25/2011",-3.9,0.7,89.23,9.4,5.1,98.3,1025.8,47.131,24.4899
"02/26/2011",-2.8,4.6,83.79,9.8,0,55.4,1025.3,47.131,24.4899
"02/27/2011",-5.2,1.2,86.19,8.2,0,77.5,1021.3,47.131,24.4899
"02/28/2011",-2.2,-0.3,78.6,11.2,0,98,1025.4,47.131,24.4899
"03/01/2011",-3.6,2.8,67.53,10.1,0,76.7,1031.5,47.131,24.4899
"03/02/2011",-3.7,5.4,60.36,18.8,0,40.3,1034.2,47.131,24.4899
"03/03/2011",-1.1,5.7,53.3,11,0,58.9,1033,47.131,24.4899
"03/04/2011",-3.1,4.3,75.05,11.9,0,45.5,1033,47.131,24.4899
"03/05/2011",-4.5,1.8,80.94,9.7,0,67.6,1025.2,47.131,24.4899
"03/06/2011",-4.1,2,77.59,20.8,0,73.8,1017.3,47.131,24.4899
"03/07/2011",-7.4,1.1,65.96,16.9,0,29.5,1029.6,47.131,24.4899
"03/08/2011",-10.1,2,60.93,8.9,0,11.5,1035.5,47.131,24.4899
"03/09/2011",-10.3,4.5,56.09,7.3,0,1.8,1028.3,47.131,24.4899
"03/10/2011",-8.4,6.4,56.15,12.6,0,15.7,1023.5,47.131,24.4899
"03/11/2011",-2.4,8.7,61.07,12.6,0,63.7,1021.5,47.131,24.4899
"03/12/2011",0.4,14.1,63.42,8.9,0,41.2,1023.6,47.131,24.4899
"03/13/2011",-0.7,18.5,57.49,13.8,0,29.2,1020.9,47.131,24.4899
"03/14/2011",0,17.1,57.86,10.9,0,41.7,1022.2,47.131,24.4899
"03/15/2011",1.8,17.9,63.73,9.7,0,46.1,1021.9,47.131,24.4899
"03/16/2011",3.6,19.6,65.51,13.2,0,49.6,1019,47.131,24.4899
"03/17/2011",7.7,13.8,72.41,15,0.3,56.1,1012.5,47.131,24.4899
"03/18/2011",4.1,15.8,73.71,18.6,0,50.1,1013.4,47.131,24.4899
"03/19/2011",5,9.3,89.87,14,3,77.5,1017.2,47.131,24.4899
"03/20/2011",3.7,6.1,90.94,9.7,0.2,98.3,1024.9,47.131,24.4899
"03/21/2011",0.6,8.7,76.03,9,0,62.8,1031.7,47.131,24.4899
"03/22/2011",-2.2,11.8,62.8,12.9,0,41.7,1033.4,47.131,24.4899
"03/23/2011",5,13.3,61.28,23.6,0,53.5,1029.6,47.131,24.4899
"03/24/2011",0.3,14,57.24,26.4,0,12.8,1027.7,47.131,24.4899
"03/25/2011",1.2,17.7,55.42,22.1,0,26.5,1019.8,47.131,24.4899
"03/26/2011",3.5,16.5,62.24,28.7,0,41.8,1010,47.131,24.4899
"03/27/2011",4.8,10.7,69.34,11.8,0,77.3,1016.3,47.131,24.4899
"03/28/2011",4,12.3,82.33,14.3,12,83.4,1014.2,47.131,24.4899
"03/29/2011",3.8,13.3,70.45,11.1,0,58,1015.9,47.131,24.4899
"03/30/2011",-1.1,15.8,64.03,8.4,0,11,1019.1,47.131,24.4899
"03/31/2011",0.9,18.1,57.65,9.7,0,16.1,1021.4,47.131,24.4899
"04/01/2011",1.1,17.2,58.9,17.4,0,36.9,1023.6,47.131,24.4899
"04/02/2011",7,16.6,65.69,16.1,0,60.2,1020.7,47.131,24.4899
"04/03/2011",4,17.6,57.1,13,0,18,1017.2,47.131,24.4899
"04/04/2011",0.3,17.5,53.85,11.3,0,16.1,1015.1,47.131,24.4899
"04/05/2011",2.3,14.5,69.1,22.2,2.4,54.9,1017.9,47.131,24.4899
"04/06/2011",5.7,15.9,66.91,19.3,0,66.1,1022.6,47.131,24.4899
"04/07/2011",6.5,16.1,72.97,11.2,6,77.5,1017.9,47.131,24.4899
"04/08/2011",8,14.8,57.42,35.4,7.6,69,1007.7,47.131,24.4899
"04/09/2011",6.2,11.1,58.94,43,2.4,62.3,1005.4,47.131,24.4899
"04/10/2011",1.5,7.4,62.64,34.2,1.2,58.5,1013.5,47.131,24.4899
"04/11/2011",0.1,9.4,62.33,26.4,0,39.4,1016.7,47.131,24.4899
"04/12/2011",3.3,8.6,81.86,15.5,5,77.8,1010.6,47.131,24.4899
"04/13/2011",4,8.3,84.25,20.1,11.9,84,1009.1,47.131,24.4899
"04/14/2011",1.7,10.1,71.83,22.8,0,63.9,1008.6,47.131,24.4899
"04/15/2011",3.6,9.2,76.62,17.8,0.6,87.8,1012.2,47.131,24.4899
"04/16/2011",5,11.4,68.78,8.2,0,68.2,1019.8,47.131,24.4899
"04/17/2011",-0.8,15,62.23,10.5,0,29.1,1024.1,47.131,24.4899
"04/18/2011",0.6,16.5,57.28,9.7,0,33.7,1022.3,47.131,24.4899
"04/19/2011",4,18.3,58.14,18.3,0,38.9,1016.2,47.131,24.4899
"04/20/2011",3.5,19.4,49.05,9.6,0,18.7,1017.9,47.131,24.4899
"04/21/2011",2.8,20.6,52.65,10.5,0,17.9,1020.1,47.131,24.4899
"04/22/2011",5.4,20.9,60.34,17.8,0,32.6,1017.3,47.131,24.4899
"04/23/2011",5.1,19.5,61.74,11.2,0,21.3,1017.7,47.131,24.4899
"04/24/2011",4.3,21.4,53.96,15.6,0,26.6,1018,47.131,24.4899
"04/25/2011",8.1,21,39.34,18.3,0,46.2,1019,47.131,24.4899
"04/26/2011",4.7,20.8,42.64,21.9,0,34.3,1017.5,47.131,24.4899
"04/27/2011",5.8,21.2,44.84,25.1,0,46.8,1015.9,47.131,24.4899
"04/28/2011",6.3,19.6,54.84,21.8,0,61.2,1013.7,47.131,24.4899
"04/29/2011",6.4,19.9,58.71,22,0,40.7,1012.3,47.131,24.4899
"04/30/2011",6.6,19.9,64.4,16.1,0.6,40.9,1010.3,47.131,24.4899
"05/01/2011",5.9,20.4,74.36,14.9,1.2,56.1,1006.4,47.131,24.4899
"05/02/2011",8.5,13.5,91,20.9,35.6,82.9,1006.4,47.131,24.4899
"05/03/2011",3.8,16.9,81.2,11.7,0,55.1,1008,47.131,24.4899
"05/04/2011",7.7,11.6,84.23,19.3,0,67.2,1010.2,47.131,24.4899
"05/05/2011",4.1,13.2,57.06,26.5,0,51.3,1019.5,47.131,24.4899
"05/06/2011",1.1,12.9,53.18,18.6,0,22.6,1027.5,47.131,24.4899
"05/07/2011",1.2,9,74.28,23.7,2.6,55.7,1022.5,47.131,24.4899
"05/08/2011",2.1,13.8,72.32,22,0,70,1021.7,47.131,24.4899
"05/09/2011",6.1,18.6,65.88,13.8,0,54.3,1025.3,47.131,24.4899
"05/10/2011",6.1,20.3,70.22,17.6,1.2,46.1,1023.6,47.131,24.4899
"05/11/2011",7.4,20.1,61.91,13.1,0,46.2,1019.7,47.131,24.4899
"05/12/2011",5.4,21.5,59.28,10.5,0,28,1016.3,47.131,24.4899
"05/13/2011",5.9,21.7,60.53,12.7,0,44.5,1016.5,47.131,24.4899
"05/14/2011",10.3,21.7,60.92,12.5,0,54.2,1017.5,47.131,24.4899
"05/15/2011",6.7,24.1,64.43,11.2,0,45.8,1013.2,47.131,24.4899
"05/16/2011",11.4,19.3,84.94,19.3,6,69.3,1013.7,47.131,24.4899
"05/17/2011",10,20.6,82.22,11.2,0,72.8,1019.6,47.131,24.4899
"05/18/2011",9,24.8,71.57,9.6,0,40.7,1020.9,47.131,24.4899
"05/19/2011",9.6,25.5,65.08,12.5,15,33,1020,47.131,24.4899
"05/20/2011",9.7,25.8,69.21,17.2,5.1,46.2,1020.1,47.131,24.4899
"05/21/2011",8.4,25,69.84,12.8,1,34.2,1019.7,47.131,24.4899
"05/22/2011",9.8,26.4,66.75,17.7,0,28.3,1019.1,47.131,24.4899
"05/23/2011",10.4,26.5,66.1,19.4,0,30.2,1020.8,47.131,24.4899
"05/24/2011",10.4,27,72.52,16.1,14,34.8,1021.4,47.131,24.4899
"05/25/2011",11.3,24.4,81.09,17.1,0,47.4,1020.1,47.131,24.4899
"05/26/2011",10.2,24.6,70.23,11.1,0,36,1020.4,47.131,24.4899
"05/27/2011",12.4,26.5,66.82,11.1,0,24.4,1016.7,47.131,24.4899
"05/28/2011",11.7,28.3,61.5,10.5,0,14.4,1012.1,47.131,24.4899
"05/29/2011",13.9,23.7,69.4,22.1,0,37.4,1014.7,47.131,24.4899
"05/30/2011",9.7,27.5,64.1,10.5,0,18.1,1020.1,47.131,24.4899
"05/31/2011",11,27.4,67.19,22.4,0,33.1,1018.1,47.131,24.4899
"06/01/2011",11.1,26.7,77.43,11.8,1,41,1015.9,47.131,24.4899
"06/02/2011",13.5,26.6,72.58,18.3,0,52.2,1017.9,47.131,24.4899
"06/03/2011",15.3,27.1,75.09,11,0,53.3,1021.6,47.131,24.4899
"06/04/2011",12.7,28.7,69.94,15.4,0,46.8,1019.1,47.131,24.4899
"06/05/2011",12.3,27.6,68.43,12.5,0,38.3,1015.6,47.131,24.4899
"06/06/2011",13.1,28.5,66.65,16.4,0,29.8,1013.9,47.131,24.4899
"06/07/2011",13.9,28.4,61.69,15.7,0,31.1,1012,47.131,24.4899
"06/08/2011",13.8,29.9,61.86,14.9,0,24.7,1008.9,47.131,24.4899
"06/09/2011",16.5,24.8,76.16,17.3,2,67.7,1007.5,47.131,24.4899
"06/10/2011",14.9,16.2,90.45,22.3,4.4,93,1007.1,47.131,24.4899
"06/11/2011",13.4,19.1,80.91,18.7,0,77.1,1010.1,47.131,24.4899
"06/12/2011",13.9,21.3,74.08,18.5,0.2,73.4,1012.2,47.131,24.4899
"06/13/2011",13.1,22.2,71.35,19.4,0.2,61.6,1012.9,47.131,24.4899
"06/14/2011",11,23.6,60.4,17.9,0,30.4,1014.4,47.131,24.4899
"06/15/2011",9.7,25.1,59.34,9.7,0,25.2,1017.1,47.131,24.4899
"06/16/2011",11,27.4,60.19,8.3,0,19.9,1017.1,47.131,24.4899
"06/17/2011",12.5,28.5,61.16,8,0,24,1015.9,47.131,24.4899
"06/18/2011",13.7,29.6,60.89,13.9,0,23.1,1012.7,47.131,24.4899
"06/19/2011",13.7,27.4,73.91,18.8,17.2,49.9,1008.8,47.131,24.4899
"06/20/2011",10.8,20.4,69.21,17,2,57.7,1015.3,47.131,24.4899
"06/21/2011",7.6,23.3,71.1,12.2,0,37,1020.2,47.131,24.4899
"06/22/2011",13.8,28.8,64.04,9.6,1.8,38.2,1019.3,47.131,24.4899
"06/23/2011",13.9,31.3,62.35,10.9,0,15.7,1016.1,47.131,24.4899
"06/24/2011",14.9,25.2,76.16,14.7,1.4,47,1013.9,47.131,24.4899
"06/25/2011",11.6,17,84.61,22.7,2,72.4,1016.1,47.131,24.4899
"06/26/2011",8.5,18.6,65.55,25.9,0,33.9,1019.1,47.131,24.4899
"06/27/2011",10.9,21.1,55.22,29.9,0,43.5,1016.7,47.131,24.4899
"06/28/2011",10.9,16.5,78.12,19.4,5,70.4,1010.5,47.131,24.4899
"06/29/2011",14.3,21.9,79.51,13.3,0.6,73.1,1007.6,47.131,24.4899
"06/30/2011",14.1,21.5,85.04,13.2,2,73.5,1007.5,47.131,24.4899
"07/01/2011",13.7,21.5,82.14,17.1,3,65,1008.4,47.131,24.4899
"07/02/2011",10.4,14.9,85.46,19.3,5.6,75.8,1010.6,47.131,24.4899
"07/03/2011",8.2,18.7,75.15,14.7,2,54.2,1010.8,47.131,24.4899
"07/04/2011",12.2,17.8,82.11,11.1,3.6,79.4,1009.7,47.131,24.4899
"07/05/2011",13.5,20.1,85.2,14.2,2.2,62.2,1009.9,47.131,24.4899
"07/06/2011",11.5,20.6,78.68,14,1,55.5,1009.1,47.131,24.4899
"07/07/2011",15,25.7,74.07,13.7,1.6,55.8,1012,47.131,24.4899
"07/08/2011",13.1,29.6,69.13,12.3,0,14.9,1015.3,47.131,24.4899
"07/09/2011",16.1,31.1,69.61,10.4,0.8,16.5,1018.2,47.131,24.4899
"07/10/2011",17,31.6,72.11,8.2,4.2,21.8,1018,47.131,24.4899
"07/11/2011",16.6,31.2,71.24,11.7,6.6,44.1,1015.4,47.131,24.4899
"07/12/2011",17.1,28.7,65.98,12.5,0,47.2,1015.1,47.131,24.4899
"07/13/2011",16.3,29.8,68.08,8.3,0,28.3,1014.8,47.131,24.4899
"07/14/2011",15.1,31.6,64.41,10.5,0,9.9,1014.2,47.131,24.4899
"07/15/2011",16.2,32.6,62.58,14.3,0,4.4,1014,47.131,24.4899
"07/16/2011",18.9,28,74.3,12.5,0,53.1,1012.4,47.131,24.4899
"07/17/2011",17,27.7,79.66,10.4,0,51.2,1009.7,47.131,24.4899
"07/18/2011",15.7,29.9,69.87,8.9,0,22.9,1007.4,47.131,24.4899
"07/19/2011",16.7,32.3,65.8,11.9,0,25.3,1007.5,47.131,24.4899
"07/20/2011",16,32.1,71.17,20.4,28,36.8,1002,47.131,24.4899
"07/21/2011",14.1,19.8,84.84,17,8.7,69.9,1002.2,47.131,24.4899
"07/22/2011",14.3,20.3,75.61,23.9,1.6,71.9,1005.8,47.131,24.4899
"07/23/2011",10.9,24.1,75.97,11.2,0,42.9,1010.3,47.131,24.4899
"07/24/2011",15.4,22.2,84.61,17.2,1.6,68,1006.3,47.131,24.4899
"07/25/2011",14.3,25.9,81.68,14.1,1.4,52.5,1006.4,47.131,24.4899
"07/26/2011",16.3,22.9,87.61,11.1,10.5,70.2,1010.9,47.131,24.4899
"07/27/2011",15.5,23.7,81.11,11,0,63.7,1017.1,47.131,24.4899
"07/28/2011",12.4,25.8,76.06,10.5,0,24.9,1016.8,47.131,24.4899
"07/29/2011",14.5,21.5,87.23,9.6,0.4,59,1011.4,47.131,24.4899
"07/30/2011",16,20.9,84.98,22,4.2,70.4,1006.3,47.131,24.4899
"07/31/2011",13.3,18.7,83.43,19.8,6.2,71.6,1010,47.131,24.4899
"08/01/2011",14.5,19.5,86,10.5,2,83,1012,47.131,24.4899
"08/02/2011",15.3,23.4,87.29,11.2,3,74.1,1014.8,47.131,24.4899
"08/03/2011",13.5,25.2,75.1,14.1,0,29.9,1017.3,47.131,24.4899
"08/04/2011",10.8,24.7,71.88,7.3,0,27,1015.9,47.131,24.4899
"08/05/2011",12.4,26.1,73.25,8.9,0,28.7,1015.8,47.131,24.4899
"08/06/2011",12.8,27,74.08,12,0,28.2,1015.3,47.131,24.4899
"08/07/2011",14.1,28.3,74.51,12.5,0,25.3,1012.4,47.131,24.4899
"08/08/2011",16.5,31.2,69.04,18,0,30.1,1010.2,47.131,24.4899
"08/09/2011",15.1,22.4,84.34,17.1,5,66,1012.7,47.131,24.4899
"08/10/2011",14,21.4,83.27,13.4,1.6,68.1,1015.5,47.131,24.4899
"08/11/2011",11.8,21.2,70.8,17.9,0,35.8,1018.1,47.131,24.4899
"08/12/2011",8.5,24,70.51,8.9,0,14.9,1015.6,47.131,24.4899
"08/13/2011",11.6,26.1,73.35,8.2,0.8,33.4,1011.4,47.131,24.4899
"08/14/2011",12.5,25.4,76.29,11.3,1.6,33.3,1011.8,47.131,24.4899
"08/15/2011",12.3,27.9,74.18,9.2,0,27.4,1013.1,47.131,24.4899
"08/16/2011",14.4,27.1,82.99,13.5,26,37,1014.7,47.131,24.4899
"08/17/2011",15.1,25.8,76.37,11.9,0.2,40.9,1017,47.131,24.4899
"08/18/2011",12.3,27.2,68.93,11.1,0,20.6,1019.1,47.131,24.4899
"08/19/2011",11.9,28.8,68.22,9.6,0,4.3,1019,47.131,24.4899
"08/20/2011",15.4,27.1,67.23,20.8,0,30.3,1017.8,47.131,24.4899
"08/21/2011",9.9,26.4,62.44,13.9,0,5.2,1021.2,47.131,24.4899
"08/22/2011",10.3,27.4,68.09,10.3,0,2.8,1020.3,47.131,24.4899
"08/23/2011",13.4,30.2,70,7.4,0,15.1,1019.9,47.131,24.4899
"08/24/2011",15.8,33.2,69.86,8.1,0,16.6,1017.3,47.131,24.4899
"08/25/2011",16.4,32.1,70.55,8.9,0,17.2,1015.9,47.131,24.4899
"08/26/2011",16.4,31.4,67.6,13.3,0,13.7,1017.3,47.131,24.4899
"08/27/2011",15.5,28.5,58.74,21.7,0,2.7,1017,47.131,24.4899
"08/28/2011",12.8,27.9,56.14,11.1,0,2.8,1018,47.131,24.4899
"08/29/2011",10.7,28.3,58.73,12.5,0,6.3,1015.8,47.131,24.4899
"08/30/2011",9.2,29.2,62.5,8.1,0,22.8,1011.6,47.131,24.4899
"08/31/2011",11.8,25.9,70.43,15.6,0,29,1011.8,47.131,24.4899
"09/01/2011",10.6,26.5,69.37,9.6,0.2,24.1,1014.7,47.131,24.4899
"09/02/2011",13.1,22.6,83.45,10.5,25.2,48.9,1014.5,47.131,24.4899
"09/03/2011",11.1,25.6,75.92,7.5,0,35.1,1016.6,47.131,24.4899
"09/04/2011",10.3,27,69.2,8.7,0,7.5,1018.1,47.131,24.4899
"09/05/2011",11.3,30,67.75,10.5,0,4.6,1016.8,47.131,24.4899
"09/06/2011",15.6,22.9,83.04,11.2,9.6,53.6,1018.2,47.131,24.4899
"09/07/2011",14.8,24.1,74.34,11.9,0.8,58.9,1015.5,47.131,24.4899
"09/08/2011",11.9,20.9,72.18,25.5,0,65.4,1011.2,47.131,24.4899
"09/09/2011",10.9,18.6,69.22,21.6,0.8,63.5,1011.4,47.131,24.4899
"09/10/2011",7.1,22.9,71.98,8.9,0,43,1018.7,47.131,24.4899
"09/11/2011",10,26.8,72.01,8.9,0,26.2,1018.8,47.131,24.4899
"09/12/2011",11.6,30,69.44,10.5,0,26.3,1014.5,47.131,24.4899
"09/13/2011",12.9,28.7,64.73,10.3,0,20.2,1014.5,47.131,24.4899
"09/14/2011",10.5,29,64.01,9.4,0,12.7,1015.5,47.131,24.4899
"09/15/2011",11.3,24,76.78,12,3,25.2,1016.7,47.131,24.4899
"09/16/2011",11.6,24.8,67.79,14.7,0,35.9,1018.3,47.131,24.4899
"09/17/2011",8.1,23.9,66.37,8.9,0,12.4,1018.9,47.131,24.4899
"09/18/2011",8,28.5,64.59,13.4,0,18,1014.2,47.131,24.4899
"09/19/2011",14,28.1,58.81,20,0,30.2,1011.5,47.131,24.4899
"09/20/2011",10.7,25.4,62.15,10.5,0,36.6,1015.4,47.131,24.4899
"09/21/2011",8.1,25.2,64.24,10.4,0,30.1,1017.7,47.131,24.4899
"09/22/2011",7.5,25,64.49,7.4,0,12.4,1017.4,47.131,24.4899
"09/23/2011",9.2,24.2,71.18,11.8,0,37.6,1015.8,47.131,24.4899
"09/24/2011",12,21.9,65.65,13.2,0,40.8,1017.3,47.131,24.4899
"09/25/2011",5.8,23.1,69.07,9.5,0,5.9,1023.1,47.131,24.4899
"09/26/2011",7.4,24.6,71.22,9,0,3,1026,47.131,24.4899
"09/27/2011",7.3,24.4,71.41,7.5,0,8.9,1027.4,47.131,24.4899
"09/28/2011",7.1,23.8,68.35,13.3,0,8.4,1026.7,47.131,24.4899
"09/29/2011",6,20.8,60.44,21.5,0,32.2,1025.3,47.131,24.4899
"09/30/2011",8.2,21.2,65.54,11.1,0,33.7,1025.2,47.131,24.4899
"10/01/2011",8,23.6,67.59,15.5,0,13.6,1024.1,47.131,24.4899
"10/02/2011",8.6,21.5,62.12,15.6,0,10,1021.5,47.131,24.4899
"10/03/2011",3.7,21.2,60.9,9,0,15.6,1023.5,47.131,24.4899
"10/04/2011",2.6,21.7,63.33,9,0,27.9,1022.8,47.131,24.4899
"10/05/2011",6.2,24.3,66.62,8.7,0,18.3,1020.9,47.131,24.4899
"10/06/2011",7.7,23.3,69.57,10.3,0,44.3,1018.7,47.131,24.4899
