"Date time","Minimum Temperature","Maximum Temperature","Relative Humidity","Wind Speed","Precipitation","Cloud Cover","Sea Level Pressure","Latitude","Longitude"
"01/01/2011",-5.3,1.5,71.53,14.5,0,70.3,1015.2,47.7416,26.6682
"01/02/2011",-8.4,3.3,62.31,14.4,0,52.5,1014.3,47.7416,26.6682
"01/03/2011",-11.6,-1.9,80.98,7.2,0,52,1020.9,47.7416,26.6682
"01/04/2011",-15.9,-4.2,86.6,3.7,0,3.3,1025.4,47.7416,26.6682
"01/05/2011",-19.1,-10.2,89.2,14.4,0,34.5,1028.5,47.7416,26.6682
"01/06/2011",-18.9,-2.4,88.97,17.9,0,33.6,1027.2,47.7416,26.6682
"01/07/2011",-7.4,-1.7,91.13,10.8,0,50.5,1024.7,47.7416,26.6682
"01/08/2011",-11,-1.8,91.76,7.2,0,54.7,1023.6,47.7416,26.6682
"01/09/2011",-1.9,1.8,91.69,7.2,0,97.4,1021.8,47.7416,26.6682
"01/10/2011",-3.4,3.8,96.58,7.3,0,82.4,1024.4,47.7416,26.6682
"01/11/2011",0.1,3.1,98.66,21.6,0,99.7,1023.3,47.7416,26.6682
"01/12/2011",1.1,7.5,91.33,21.6,0,69,1017.3,47.7416,26.6682
"01/13/2011",-0.6,3.1,98.29,7.3,1,79.8,1015.4,47.7416,26.6682
"01/14/2011",1.4,5.1,92.79,7.2,0,98.1,1014.2,47.7416,26.6682
"01/15/2011",2.2,9.3,91.87,18.1,0,98.7,1014.2,47.7416,26.6682
"01/16/2011",0.6,7.5,86.53,21.8,0.3,95.3,1025.9,47.7416,26.6682
"01/17/2011",-0.6,9.5,83.55,10.8,0,66.6,1028,47.7416,26.6682
"01/18/2011",0.7,10.1,75.59,7.3,0,61.9,1024.4,47.7416,26.6682
"01/19/2011",-1.6,6.1,91.51,3.7,0,70.3,1022.5,47.7416,26.6682
"01/20/2011",0.8,3.3,97.31,14.4,0.4,99.9,1018.8,47.7416,26.6682
"01/21/2011",-1,1.6,86.78,10.9,0.3,100,1024.6,47.7416,26.6682
"01/22/2011",-2.9,0.1,92.27,10.8,3.1,95.8,1027.4,47.7416,26.6682
"01/23/2011",-4.2,-1.4,82.95,7.2,0.2,98.3,1019.4,47.7416,26.6682
"01/24/2011",-5.1,-0.4,78,21.6,0.3,77.8,1017.6,47.7416,26.6682
"01/25/2011",-10,-3,76.11,10.8,0,55,1018.1,47.7416,26.6682
"01/26/2011",-9.7,-2.4,78.33,10.8,0,47,1013.3,47.7416,26.6682
"01/27/2011",-10.3,-5,86.34,7.2,0,80,1019.3,47.7416,26.6682
"01/28/2011",-6.7,1,82.52,10.9,0,92.5,1027.5,47.7416,26.6682
"01/29/2011",-7.9,1.6,82.88,7.2,0,29.1,1027.2,47.7416,26.6682
"01/30/2011",-10.1,3.6,74.7,14.5,0,0.8,1020.5,47.7416,26.6682
"01/31/2011",-5.5,-1.4,75.43,21.6,0,88.7,1024.7,47.7416,26.6682
"02/01/2011",-9.1,4.3,73.95,10.8,0,37,1024.7,47.7416,26.6682
"02/02/2011",-4.6,4.3,58.47,18.1,0,15.9,1022.3,47.7416,26.6682
"02/03/2011",-2.4,1.8,81.34,21.6,0,70.3,1024.6,47.7416,26.6682
"02/04/2011",-0.4,4.1,75.24,21.7,0,74.1,1023.8,47.7416,26.6682
"02/05/2011",2.5,11.3,54.62,43.2,0,69.1,1015.6,47.7416,26.6682
"02/06/2011",4,12.1,64.42,39.5,0,99.1,1016,47.7416,26.6682
