"Date time","Minimum Temperature","Maximum Temperature","Relative Humidity","Wind Speed","Precipitation","Cloud Cover","Sea Level Pressure","Latitude","Longitude"
"01/01/2011",-11.8,-8.3,68.76,57.6,0,49.6,,45.6427,25.5887
"01/02/2011",-12.4,-8.6,71.1,64.8,0,32.9,,45.6427,25.5887
"01/03/2011",-18.9,-12.6,91.79,28.8,2.8,95.8,,45.6427,25.5887
"01/04/2011",-19.9,-17.3,61.27,50.4,0,16.7,,45.6427,25.5887
"01/05/2011",-18.9,-11.8,36.19,28.8,0,44.2,,45.6427,25.5887
"01/06/2011",-18,-11.3,45.23,14.4,0,16.7,,45.6427,25.5887
"01/07/2011",-12.6,-5.3,74.49,43.2,0,57.1,,45.6427,25.5887
"01/08/2011",-4.9,-2.6,89.98,43.2,0,87.1,,45.6427,25.5887
"01/09/2011",-5.9,-2.8,91.14,50.4,0,86.7,,45.6427,25.5887
"01/10/2011",-7.1,-3.9,53.46,7.2,0,38.8,,45.6427,25.5887
"01/11/2011",-4.8,-2.1,55.34,14.4,0,56.7,,45.6427,25.5887
"01/12/2011",-7.1,-4.3,62.69,36,0,47.1,,45.6427,25.5887
"01/13/2011",-8.1,-6.8,84.19,43.2,0,72.1,,45.6427,25.5887
"01/14/2011",-8.4,-5.1,90.95,64.8,2,81.3,,45.6427,25.5887
"01/15/2011",-6.3,-3.6,100,72,0.6,0,,45.6427,25.5887
"01/16/2011",-9.4,-6.8,98.67,64.8,6,20,,45.6427,25.5887
"01/17/2011",-10.9,-2.6,78.4,64.8,0,26.3,,45.6427,25.5887
"01/18/2011",-9.1,-3.8,58.85,57.6,0,49.2,,45.6427,25.5887
"01/19/2011",-8.6,-4.6,57.31,28.8,0,62.9,,45.6427,25.5887
"01/20/2011",-8.1,-5.4,79.27,36,0.3,92.5,,45.6427,25.5887
"01/21/2011",-8.1,-5.3,81.94,36,0,80.8,,45.6427,25.5887
"01/22/2011",-7.8,-5.9,89.62,43.2,3.4,97.1,,45.6427,25.5887
"01/23/2011",-16.1,-6.9,89.62,50.4,7.5,97.1,,45.6427,25.5887
"01/24/2011",-18.5,-12.8,77.32,36,0,84.2,,45.6427,25.5887
"01/25/2011",-20.4,-14.8,64.01,36,1.3,37.4,,45.6427,25.5887
"01/26/2011",-18.9,-10.6,57.06,21.6,0,50.4,,45.6427,25.5887
"01/27/2011",-15.8,-12.4,81.28,28.8,1.6,80.4,,45.6427,25.5887
"01/28/2011",-18.3,-14.6,63.76,36,2,35.8,,45.6427,25.5887
"01/29/2011",-16.9,-13.1,44.45,28.8,0,0,,45.6427,25.5887
"01/30/2011",-14.8,-7.8,46.73,28.8,0,0,,45.6427,25.5887
"01/31/2011",-16.6,-13.8,42.13,50.4,0,22.1,,45.6427,25.5887
"02/01/2011",-14.1,-9.3,34.87,64.8,0,9.2,,45.6427,25.5887
"02/02/2011",-10.6,-5.4,40.51,36,0,10.4,,45.6427,25.5887
"02/03/2011",-12.3,-8.4,37.45,43.2,0,0,,45.6427,25.5887
"02/04/2011",-10.3,-6.3,74.7,50.4,0,48.3,,45.6427,25.5887
"02/05/2011",-8.8,-2.8,78.78,122.4,0,29.2,,45.6427,25.5887
"02/06/2011",-5.8,-2.8,84.76,122.4,0,64.2,,45.6427,25.5887
"02/07/2011",-5.9,-3.8,70.93,72,0,19.2,,45.6427,25.5887
"02/08/2011",-4.4,1.1,29.43,86.4,0,1.7,,45.6427,25.5887
