"Date time","Minimum Temperature","Maximum Temperature","Relative Humidity","Wind Speed","Precipitation","Cloud Cover","Sea Level Pressure","Latitude","Longitude"
"01/01/2011",-9.5,-1.4,93.08,11.7,0,15.7,1018.2,44.4343,26.103
"01/02/2011",-9.3,-0.9,87.33,10.2,0,11,1014.7,44.4343,26.103
"01/03/2011",-4.6,-0.9,93.12,18.9,0,88.5,1018.5,44.4343,26.103
"01/04/2011",-9.5,-0.6,96.53,12.1,0,51.6,1025.2,44.4343,26.103
"01/05/2011",-7.7,-5.9,96.63,10.3,0,77.2,1028.7,44.4343,26.103
"01/06/2011",-6.8,-2.8,96.86,9.1,0,90.2,1029.6,44.4343,26.103
"01/07/2011",-8.1,-5.2,96.88,13.8,0,68.1,1029.6,44.4343,26.103
"01/08/2011",-6.6,0.9,93.08,10.7,0,23.9,1025.6,44.4343,26.103
"01/09/2011",-2,5.7,90.38,12.6,0,30.3,1023.1,44.4343,26.103
"01/10/2011",-3.7,2.4,98.64,11.6,0,43.8,1025.5,44.4343,26.103
"01/11/2011",1.1,2.8,98.35,9.4,0,73,1022.9,44.4343,26.103
"01/12/2011",1,3.2,98.61,12.8,0,95.9,1019.7,44.4343,26.103
"01/13/2011",1.1,3.7,96.74,15.7,0,96.6,1017.3,44.4343,26.103
"01/14/2011",-0.7,10.1,91.32,10.8,0,48.3,1015.7,44.4343,26.103
"01/15/2011",0.5,9.1,94.25,10.8,0,45.8,1015.5,44.4343,26.103
"01/16/2011",0.9,11.1,86.83,17,0,59.7,1023.9,44.4343,26.103
"01/17/2011",-1.9,8.8,84.9,13.3,0,30.1,1029.4,44.4343,26.103
"01/18/2011",-1.6,2.7,98.54,8.3,0,64.9,1025.6,44.4343,26.103
"01/19/2011",-1,0.7,98.11,6.1,0,82,1022.8,44.4343,26.103
"01/20/2011",-1.2,0.8,98.04,7.6,0,95.7,1019.3,44.4343,26.103
"01/21/2011",0.3,3,92.95,23.1,0,98.9,1021.6,44.4343,26.103
