Date time,Minimum Temperature,Maximum Temperature,Relative Humidity,Wind Speed,Precipitation,Cloud Cover,Sea Level Pressure,Latitude,Longitude
01/01/2011,-11.2,-2.6,91.3,21.6,0,15.8,1018.2,45.1511,26.8174
01/02/2011,-9.9,0.3,83.79,14.4,0,11.3,1015.4,45.1511,26.8174
01/03/2011,-2,-0.2,90.04,18,0.2,96.7,1019.5,45.1511,26.8174
01/04/2011,-12.1,-2.5,90.29,10.8,0,27.5,1025.4,45.1511,26.8174
01/05/2011,-8.7,-5.9,96.43,7.2,0,97.9,1029.5,45.1511,26.8174
01/06/2011,-8.9,-2.9,97.75,10.8,0,80,1029.9,45.1511,26.8174
01/07/2011,-5.5,-3.8,98.48,18,0,97.1,1028.6,45.1511,26.8174
01/08/2011,-7.6,-3.3,98.15,10.8,0,77.9,1026,45.1511,26.8174
01/09/2011,-3.1,1.6,99.46,18,0,94.6,1023.1,45.1511,26.8174
01/10/2011,-1.1,3.1,100,10.8,0,100,1026.7,45.1511,26.8174
01/11/2011,2,3.3,100,10.8,0.4,100,1024.3,45.1511,26.8174
01/12/2011,2.8,5.5,100,18,0.9,100,1019.9,45.1511,26.8174
01/13/2011,0.1,4.9,99.31,21.6,0,97.5,1017,45.1511,26.8174
01/14/2011,-0.9,4.3,100,21.6,0,95.8,1016,45.1511,26.8174
01/15/2011,1.1,11.2,90.82,18,0,85.8,1015.5,45.1511,26.8174
01/16/2011,0.5,8.2,84.44,21.6,0,82.1,1024.2,45.1511,26.8174
01/17/2011,-0.4,9.3,90.06,18,0,46.3,1029.5,45.1511,26.8174
01/18/2011,-2.6,2.9,97.81,14.4,0,53.7,1026.1,45.1511,26.8174
01/19/2011,-0.4,1.1,100,7.2,0,100,1023.7,45.1511,26.8174
01/20/2011,-0.5,2.1,99.15,14.4,0,100,1019.9,45.1511,26.8174
01/21/2011,0.8,3.1,92.12,21.6,0,100,1022.7,45.1511,26.8174
01/22/2011,-1.4,0.8,96.88,25.2,12.3,100,1023.5,45.1511,26.8174
01/23/2011,-3.2,-1.5,96.95,28.8,4.4,100,1017.4,45.1511,26.8174
01/24/2011,-7.4,0.1,95.57,7.2,0.4,77.5,1018.4,45.1511,26.8174
01/25/2011,-12.8,-2.5,84.12,14.4,0,61.3,1018.6,45.1511,26.8174
01/26/2011,-20.6,-6.7,89.89,14.4,0,37.5,1016.2,45.1511,26.8174
01/27/2011,-12.1,-6.9,94.19,18,0,100,1019.3,45.1511,26.8174
01/28/2011,-9.2,-0.9,88.85,25.2,0,35.4,1026,45.1511,26.8174
01/29/2011,-8.6,1.6,81.82,18,0,19.6,1027.1,45.1511,26.8174
01/30/2011,-16.4,-6.7,90.42,14.4,0,0,1021.8,45.1511,26.8174
01/31/2011,-15.6,-0.4,83.47,10.8,0,12.9,1024.9,45.1511,26.8174
02/01/2011,-13.6,-3.1,87.8,18,0,28.3,1026.5,45.1511,26.8174
02/02/2011,-14.5,-4.4,87.43,14.4,0,1.3,1023.9,45.1511,26.8174
02/03/2011,-16.1,-2.1,85.45,14.4,0,0,1025.9,45.1511,26.8174
02/04/2011,-14.8,0.3,86.16,14.8,0,10.4,1026.9,45.1511,26.8174
02/05/2011,-8.9,8.6,76.03,32.4,0,49.2,1020.7,45.1511,26.8174
02/06/2011,2.1,9.9,68.5,25.2,0,30.8,1019,45.1511,26.8174
02/07/2011,2.9,12.9,68.28,28.8,0,6.3,1021.5,45.1511,26.8174
02/08/2011,-0.6,9.6,78.15,28.8,0,0,1017.5,45.1511,26.8174
02/09/2011,-0.3,9.4,62.95,25.2,0,0,1018.1,45.1511,26.8174
02/10/2011,0.5,8.2,54.34,28.8,0,1.3,1022.2,45.1511,26.8174
02/11/2011,-3.9,6.3,77.85,32.4,0,33.8,1018.6,45.1511,26.8174
02/12/2011,0.9,14,65.49,50.4,0,55.4,1006.3,45.1511,26.8174
02/13/2011,-2.4,3.1,57.69,25.2,0,22.1,1019.7,45.1511,26.8174
02/14/2011,-3.8,-1.4,73.42,25.2,0,75.8,1017.6,45.1511,26.8174
02/15/2011,-7,-1.4,64.93,21.6,0,65,1018.5,45.1511,26.8174
02/16/2011,-8.4,-2.4,73.01,14.4,0,40,1022.2,45.1511,26.8174
02/17/2011,-2.7,2.1,85.65,18,0.5,99.2,1019.4,45.1511,26.8174
02/18/2011,-0.1,3.6,98.16,18,0,100,1016.4,45.1511,26.8174
02/19/2011,-1,3.4,93.57,25.2,6,98.8,1013.3,45.1511,26.8174
02/20/2011,-3.5,-0.9,79.25,21.6,0,93.7,1017.8,45.1511,26.8174
02/21/2011,-3.4,-1.1,87.23,14.4,0,100,1020.2,45.1511,26.8174
02/22/2011,-4.4,-1.9,93.44,21.6,3.1,100,1017.9,45.1511,26.8174
02/23/2011,-4.7,-3.2,90.55,25.2,2.9,100,1021,45.1511,26.8174
02/24/2011,-4.9,-2.7,84.97,32.4,0,98.7,1026.1,45.1511,26.8174
02/25/2011,-5.3,-2.7,81.8,32.4,0,100,1026.7,45.1511,26.8174
02/26/2011,-5.7,-1.9,78.72,32.4,0,91.2,1027.6,45.1511,26.8174
02/27/2011,-7.4,-3.7,83.74,21.6,0,89.2,1025.5,45.1511,26.8174
02/28/2011,-8.4,-2.7,81.05,21.6,0,46.3,1028.9,45.1511,26.8174
03/01/2011,-6.8,-2.7,82.16,21.6,0,84.6,1034,45.1511,26.8174
03/02/2011,-6.9,1.3,79.09,25.2,0,71.3,1037.9,45.1511,26.8174
03/03/2011,-6.2,1.1,68.33,18,0,47.5,1037.6,45.1511,26.8174
03/04/2011,-2.7,5.4,80.07,21.6,0,49.2,1032.8,45.1511,26.8174
03/05/2011,-4.8,8.1,86.18,32.4,0,15,1021.7,45.1511,26.8174
03/06/2011,-2.8,7.3,73.27,25.2,0,46.3,1013.4,45.1511,26.8174
03/07/2011,-1.9,2.6,58.8,28.8,0,53.3,1026.5,45.1511,26.8174
03/08/2011,-1.8,1.7,51.46,36,0,19.2,1033.2,45.1511,26.8174
03/09/2011,-3.4,2.1,52.45,25.2,0,91.7,1027.4,45.1511,26.8174
03/10/2011,-0.9,8,44.43,14.4,0,42.9,1021.4,45.1511,26.8174
03/11/2011,-4.1,14.1,52.61,21.6,0,20,1020.7,45.1511,26.8174
03/12/2011,2.2,16.1,52.33,18,0,19.2,1023.8,45.1511,26.8174
03/13/2011,2.6,19.1,55.81,21.6,0,28.3,1023.6,45.1511,26.8174
03/14/2011,0.1,22.5,59.09,25.2,0,20,1021.8,45.1511,26.8174
03/15/2011,3.6,22.1,49.32,14.4,0,23.3,1021.2,45.1511,26.8174
03/16/2011,9.8,19.6,58.71,28.8,0,40.8,1020.8,45.1511,26.8174
03/17/2011,2.6,8.6,90.76,37.1,0,69.1,1020.8,45.1511,26.8174
03/18/2011,2.1,3.6,94.88,21.6,0,100,1018.9,45.1511,26.8174
03/19/2011,1.3,5.3,87.42,18,0,100,1020.6,45.1511,26.8174
03/20/2011,3.7,6.5,76.94,28.8,0,98.8,1026.1,45.1511,26.8174
03/21/2011,3.1,8.6,58.1,28.8,0,67.1,1031.7,45.1511,26.8174
03/22/2011,-1.4,10.6,57,18,0,5.8,1033.5,45.1511,26.8174
03/23/2011,1.4,15.9,55.58,18,0,56.7,1027,45.1511,26.8174
03/24/2011,3.2,18.3,41.51,25.2,0,0,1024.1,45.1511,26.8174
03/25/2011,8.4,20.1,39,36,0,12.9,1018.7,45.1511,26.8174
03/26/2011,1.1,22.3,43.63,36,0,30.4,1009.8,45.1511,26.8174
03/27/2011,2.9,9.8,75.73,32.4,0,78.3,1018.4,45.1511,26.8174
03/28/2011,2.4,10.3,84.84,21.6,0,84.2,1019,45.1511,26.8174
03/29/2011,5.9,11.1,81.96,21.6,0,69.2,1015.7,45.1511,26.8174
03/30/2011,5.1,14.6,67.37,18,0,75.4,1019.3,45.1511,26.8174
03/31/2011,2.3,16.7,65.79,14.4,0,5,1022.6,45.1511,26.8174
04/01/2011,1.6,13.1,80.09,14.4,0,49.2,1025.5,45.1511,26.8174
04/02/2011,8.1,16,69.44,32.4,0,57.5,1021,45.1511,26.8174
04/03/2011,5.3,13.5,59.34,28.8,0,69.2,1016.9,45.1511,26.8174
04/04/2011,5.1,13.8,71.64,21.6,0,72.5,1017.1,45.1511,26.8174
04/05/2011,5.6,15.1,78.1,28.8,0,69.2,1018,45.1511,26.8174
04/06/2011,8.2,15.1,63.96,18,0.2,90.4,1020.8,45.1511,26.8174
04/07/2011,5.6,19.1,61.54,32.4,0,46.7,1016.4,45.1511,26.8174
04/08/2011,8.6,16.1,57.39,32.4,0,71.3,1004.8,45.1511,26.8174
04/09/2011,6.7,16.3,50.44,32.4,0,62.9,1002,45.1511,26.8174
04/10/2011,1.7,12.1,59.39,32.4,0.6,77.9,1009.9,45.1511,26.8174
04/11/2011,1.9,10.1,69.02,21.6,0.2,61.7,1013.6,45.1511,26.8174
04/12/2011,3.2,12.4,65.12,28.8,0.4,87.9,1010.8,45.1511,26.8174
04/13/2011,6.3,13.2,78.75,18,8.1,96.3,1006.8,45.1511,26.8174
04/14/2011,4.6,8.3,78.54,21.6,24.5,98.8,1005.3,45.1511,26.8174
04/15/2011,6.8,8.9,75.63,21.6,8.1,98.7,1008.2,45.1511,26.8174
04/16/2011,6.4,11.1,67.72,7.2,0,97.1,1020.2,45.1511,26.8174
04/17/2011,3.4,15.6,59.89,18,0,17.9,1024,45.1511,26.8174
04/18/2011,5.3,16,56.65,21.6,0,51.3,1021.3,45.1511,26.8174
04/19/2011,9.4,18.7,55.28,21.6,0.2,85,1013.7,45.1511,26.8174
04/20/2011,9.8,16.8,36.59,36,0,2.9,1017.2,45.1511,26.8174
04/21/2011,5.2,19.5,45.6,18,0,0,1022.7,45.1511,26.8174
04/22/2011,4.1,15.3,50.63,18,0,66.7,1022,45.1511,26.8174
04/23/2011,4.1,16.7,49.29,18,0,17.4,1022.2,45.1511,26.8174
04/24/2011,5.1,18.8,48.75,18,0,0,1022.6,45.1511,26.8174
04/25/2011,5.1,18.9,51.96,25.2,0,17.1,1023.3,45.1511,26.8174
04/26/2011,7.6,22.3,46,28.8,0,11.3,1019.6,45.1511,26.8174
04/27/2011,7.3,21.5,45.89,25.2,0,70,1017.1,45.1511,26.8174
