"Date time","Minimum Temperature","Maximum Temperature","Relative Humidity","Wind Speed","Precipitation","Cloud Cover","Sea Level Pressure","Latitude","Longitude"
"01/01/2011",-11.8,-1.6,93.93,10.8,0,10.4,1018.8,44.1966,27.3354
"01/02/2011",-9.6,0.6,94.86,7.2,0,15.5,1015,44.1966,27.3354
"01/03/2011",-8.8,-0.7,99.67,18,11.4,94.2,1018.1,44.1966,27.3354
"01/04/2011",-9.4,-2.3,99.72,10.8,0,86.6,1025.1,44.1966,27.3354
"01/05/2011",-9.9,-4.4,99.34,7.2,0,99.8,1028.9,44.1966,27.3354
"01/06/2011",-11.7,-4.4,98.04,3.7,0,92.9,1029.7,44.1966,27.3354
"01/07/2011",-7.3,-4.8,99.77,3.6,0,98,1029.8,44.1966,27.3354
"01/08/2011",-9.6,-0.4,96.28,3.6,0,12.9,1026.1,44.1966,27.3354
"01/09/2011",-3.2,4.1,97.26,7.2,3,97.9,1023.5,44.1966,27.3354
"01/10/2011",-1.9,4.8,99.5,7.2,0,50.8,1025.7,44.1966,27.3354
"01/11/2011",1.4,7,96.45,7.2,0,95.9,1023.1,44.1966,27.3354
"01/12/2011",1.3,4.5,98.8,14.4,0,100,1019.9,44.1966,27.3354
"01/13/2011",1.4,4.9,95.62,14.8,0,100,1017.7,44.1966,27.3354
"01/14/2011",1.7,4,99.68,7.2,0,85.7,1016,44.1966,27.3354
"01/15/2011",-0.3,9.8,95.26,14.3,0,45.9,1015.9,44.1966,27.3354
"01/16/2011",0.6,8.5,91.67,29,0,80,1023.6,44.1966,27.3354
"01/17/2011",-0.8,8.3,90.31,10.8,0,35.9,1029.6,44.1966,27.3354
"01/18/2011",-1.8,1.6,99.98,3.6,0,82.9,1026.1,44.1966,27.3354
"01/19/2011",-0.9,0.7,99.98,7.2,0,99.6,1023.3,44.1966,27.3354
"01/20/2011",0.9,7.1,99.68,10.8,0,99.9,1019.5,44.1966,27.3354
"01/21/2011",0.6,3.9,99.98,21.6,3.3,99.9,1021.6,44.1966,27.3354
"01/22/2011",-0.3,2.6,99.86,28.8,27,100,1021.5,44.1966,27.3354
"01/23/2011",-2.7,-0.3,99.97,14.5,16.3,100,1016.2,44.1966,27.3354
"01/24/2011",-4.1,0.1,99.24,7.2,1,100,1017.8,44.1966,27.3354
"01/25/2011",-8.9,-2.7,95.77,7.2,1,86.7,1018,44.1966,27.3354
"01/26/2011",-10.9,-1.4,98.07,10.8,0,69.1,1016.5,44.1966,27.3354
"01/27/2011",-10.6,-5.4,98.44,7.2,0,90.8,1019,44.1966,27.3354
"01/28/2011",-10.1,-3.9,97.53,10.8,0.4,87.9,1025.2,44.1966,27.3354
"01/29/2011",-10.3,-0.2,91.61,10.8,0,33.6,1026.5,44.1966,27.3354
"01/30/2011",-9.6,-2.6,91.15,18,0,0,1021.7,44.1966,27.3354
"01/31/2011",-9.9,-4.2,96.41,7.2,0,54.1,1024.5,44.1966,27.3354
"02/01/2011",-9.8,-6.2,95.7,14.4,0,85.4,1027.1,44.1966,27.3354
"02/02/2011",-8.3,-3.2,91.44,10.8,0,55.4,1024,44.1966,27.3354
"02/03/2011",-14.3,-4.1,86.52,14.4,0,0,1026,44.1966,27.3354
"02/04/2011",-10.1,-0.9,86.2,21.4,0,2.1,1027.3,44.1966,27.3354
"02/05/2011",-3.9,3.6,80.49,25.2,0,40.4,1022.2,44.1966,27.3354
"02/06/2011",0.8,7.2,76.57,21.6,0,20,1019.8,44.1966,27.3354
"02/07/2011",0.8,8.6,85.59,17.9,0,14.2,1022.3,44.1966,27.3354
"02/08/2011",-2.1,14.3,76.99,14.4,0,0,1018.1,44.1966,27.3354
"02/09/2011",0.2,11.3,73.68,10.8,0,5.8,1017.9,44.1966,27.3354
"02/10/2011",-1.3,7.8,78.69,14.6,0,3.7,1022.1,44.1966,27.3354
"02/11/2011",-3.8,9.3,71.55,14.4,0,15.8,1018.9,44.1966,27.3354
"02/12/2011",-0.3,14,65.47,36,0,45.1,1007,44.1966,27.3354
"02/13/2011",-5.9,5.3,68.25,10.8,0,35.8,1019.6,44.1966,27.3354
"02/14/2011",-4.8,1.3,86.28,18.1,0,69.2,1016.3,44.1966,27.3354
"02/15/2011",-6.9,-1.7,68.02,18,0,37.2,1017.8,44.1966,27.3354
"02/16/2011",-9.6,1.8,81.19,14.4,0,31.7,1021.1,44.1966,27.3354
"02/17/2011",-1.4,5.1,81.3,17.8,0.2,82.1,1017.8,44.1966,27.3354
"02/18/2011",-1.4,7.1,98.55,14.4,0,82.4,1014.9,44.1966,27.3354
"02/19/2011",-0.6,6.1,96.82,25.3,0,79.3,1010.6,44.1966,27.3354
"02/20/2011",-3.3,-0.4,81.95,18.1,0,69.7,1016.7,44.1966,27.3354
"02/21/2011",-3.4,3.3,85.13,18,0,72.6,1018.9,44.1966,27.3354
"02/22/2011",-2.8,0.3,97.18,21.6,3.8,82.6,1015.6,44.1966,27.3354
"02/23/2011",-4.6,-2.3,97.08,25.2,1,83.4,1018.9,44.1966,27.3354
"02/24/2011",-5.6,-3.9,88.13,21.7,0,83.4,1025.2,44.1966,27.3354
"02/25/2011",-5.3,-4.6,92.84,28.8,1.9,83.4,1025.7,44.1966,27.3354
"02/26/2011",-6.8,-2.9,83.13,25.2,0.2,68.5,1027.1,44.1966,27.3354
"02/27/2011",-7.2,-3.1,86.56,14.4,0,75.9,1024.5,44.1966,27.3354
"02/28/2011",-6.8,-2.5,85.42,14.5,0,50.9,1028,44.1966,27.3354
"03/01/2011",-8.6,-2,84.52,18,0.1,66.3,1033.3,44.1966,27.3354
"03/02/2011",-5.3,0.5,86.84,14.5,0,58.5,1037.1,44.1966,27.3354
"03/03/2011",-7.3,2.6,87.2,10.8,0,57.1,1036.4,44.1966,27.3354
"03/04/2011",-0.9,3.1,85.64,10.8,0,76.4,1033.1,44.1966,27.3354
"03/05/2011",-2.3,6.8,82.37,14.4,0,28.7,1022.8,44.1966,27.3354
"03/06/2011",-1,6.3,80.51,18.1,0,44.6,1013.3,44.1966,27.3354
"03/07/2011",-1.9,2.8,76.63,28.9,0,57.9,1025.1,44.1966,27.3354
"03/08/2011",-2.9,1.1,71.15,29,0,52.6,1031.8,44.1966,27.3354
"03/09/2011",-3.9,0.9,72.73,28.8,0,76.6,1026,44.1966,27.3354
"03/10/2011",-1.7,7.6,56.72,18.1,0.1,42.2,1020.8,44.1966,27.3354
"03/11/2011",-2,12.5,60.38,10.8,0,9.2,1021,44.1966,27.3354
"03/12/2011",-0.6,16.3,58.11,10.7,0,13.3,1023.9,44.1966,27.3354
"03/13/2011",-0.9,20.5,56.93,14.4,0,25,1023.5,44.1966,27.3354
"03/14/2011",1.8,22.3,49.3,14.4,0,23.4,1022.3,44.1966,27.3354
"03/15/2011",5.1,22.6,53.45,10.8,0,27.9,1021.4,44.1966,27.3354
"03/16/2011",9.2,22,58.73,14.4,0,47.2,1020.1,44.1966,27.3354
"03/17/2011",5.2,7.9,96.36,25.2,0,74.8,1018.3,44.1966,27.3354
"03/18/2011",3.7,6.2,99.95,18,0.2,83.2,1017,44.1966,27.3354
"03/19/2011",3.1,7.5,91.92,14.4,0.2,83.4,1019.3,44.1966,27.3354
"03/20/2011",3.2,8.3,79.64,21.6,0,78.5,1024.8,44.1966,27.3354
"03/21/2011",2.2,8.8,68.45,25.2,0,56.4,1030.5,44.1966,27.3354
"03/22/2011",-2.3,10.5,61.67,17.9,0,18.7,1033,44.1966,27.3354
"03/23/2011",-1.1,13.1,71.55,17.9,0,66.3,1027.2,44.1966,27.3354
"03/24/2011",3.2,17.1,52.06,21.6,0,7.1,1024.2,44.1966,27.3354
"03/25/2011",5.3,20,45.81,21.6,0,10.4,1019.7,44.1966,27.3354
"03/26/2011",9.4,21.7,35.96,28.9,0,32.9,1010.9,44.1966,27.3354
"03/27/2011",3.2,11.1,78.2,28.9,0,64.3,1016.8,44.1966,27.3354
"03/28/2011",4.4,16.3,78.31,14.4,0,60.6,1018.5,44.1966,27.3354
"03/29/2011",2.7,16,79.54,18,0,72.9,1014.9,44.1966,27.3354
"03/30/2011",6.9,9.8,96.21,14.4,7.8,83.4,1018.2,44.1966,27.3354
"03/31/2011",5.2,13.5,91.81,14.4,0,54.6,1022.3,44.1966,27.3354
"04/01/2011",7.2,10.7,91.12,10.8,0,74.3,1024.9,44.1966,27.3354
"04/02/2011",8,12.5,84.38,21.6,0,79.7,1020.1,44.1966,27.3354
"04/03/2011",5.1,8.2,82.96,21.7,1,83.4,1015.6,44.1966,27.3354
"04/04/2011",4.1,11.8,84.63,14.5,0,66.3,1016.7,44.1966,27.3354
"04/05/2011",4.2,13.1,85.52,18,0,69.3,1017.7,44.1966,27.3354
"04/06/2011",7.6,13.5,75.49,21.6,0,70.1,1020.6,44.1966,27.3354
"04/07/2011",6.8,20.3,69.09,18.1,0,41.3,1016.9,44.1966,27.3354
"04/08/2011",7.8,15.1,75.48,25.3,0.4,61.8,1005.7,44.1966,27.3354
"04/09/2011",7.7,18.1,57.77,36,0,50.9,1002.6,44.1966,27.3354
"04/10/2011",4.1,12.8,70.27,18.2,2,67.1,1009.8,44.1966,27.3354
"04/11/2011",2.1,12,68.99,21.6,0,62.1,1013.2,44.1966,27.3354
"04/12/2011",2.2,13.7,65.19,21.6,0,73.8,1011.3,44.1966,27.3354
"04/13/2011",6.9,18.3,76.19,18.1,2.6,70.5,1006.4,44.1966,27.3354
"04/14/2011",5.1,7.2,94.06,21.6,16.1,83.4,1004.7,44.1966,27.3354
"04/15/2011",5.1,9.8,82.81,25.2,0.4,77.9,1008.7,44.1966,27.3354
"04/16/2011",5.9,12.1,75.39,14.4,0,69.7,1019.7,44.1966,27.3354
"04/17/2011",1.3,15.6,69.21,14.4,0,12.1,1023.5,44.1966,27.3354
"04/18/2011",0.9,16.7,67.99,21.6,0,55.5,1020.4,44.1966,27.3354
"04/19/2011",8.8,17.3,69.24,14.4,1.6,81.7,1013.2,44.1966,27.3354
"04/20/2011",8.1,16,53.16,28.9,0,41.7,1016.3,44.1966,27.3354
"04/21/2011",1.1,18.6,49.52,10.9,0,0,1023,44.1966,27.3354
"04/22/2011",1.9,14.7,49.9,18,0,20.9,1021.3,44.1966,27.3354
"04/23/2011",-0.3,16.6,67.89,10.9,0,11.3,1021.5,44.1966,27.3354
"04/24/2011",1.4,17.5,65.11,25.1,0,12.9,1022,44.1966,27.3354
"04/25/2011",2.2,18.1,77.66,18,0,28.8,1022.6,44.1966,27.3354
"04/26/2011",3.4,20.8,65.86,21.7,0,30.1,1018.9,44.1966,27.3354
"04/27/2011",4.4,18.9,72.26,21.6,0,57.3,1016,44.1966,27.3354
"04/28/2011",8.2,16.3,82.02,10.8,0.2,78.5,1012.3,44.1966,27.3354
"04/29/2011",8.6,16.8,81.58,18,0,67.5,1009,44.1966,27.3354
"04/30/2011",8.5,20.5,77.44,14.4,0,36.3,1008.9,44.1966,27.3354
"05/01/2011",7.4,21.6,73.7,18,0.2,46.8,1007.6,44.1966,27.3354
"05/02/2011",9.4,23.1,76.07,21.6,0,47.6,1006,44.1966,27.3354
"05/03/2011",7.9,18.8,87.82,18,8,65.1,1007.9,44.1966,27.3354
"05/04/2011",11.2,15.3,93.38,18.2,10.9,77.6,1006.5,44.1966,27.3354
"05/05/2011",6.2,12,83.54,18.1,0.6,75.5,1016.1,44.1966,27.3354
"05/06/2011",5.4,16.6,62.74,18.4,0,45.4,1024.4,44.1966,27.3354
"05/07/2011",3.9,19.6,62.42,14.4,0,60.1,1020.5,44.1966,27.3354
"05/08/2011",5.2,11.5,88.6,18,11.6,70.1,1019.3,44.1966,27.3354
"05/09/2011",7.2,14,95.59,14.4,7.3,66,1021.8,44.1966,27.3354
"05/10/2011",7.3,22.1,81.05,34.1,22.1,48.3,1019.9,44.1966,27.3354
"05/11/2011",7.9,17.1,86.03,25.3,1.2,50,1017.3,44.1966,27.3354
"05/12/2011",9.2,20.3,79.72,14.4,0,62.1,1014.2,44.1966,27.3354
"05/13/2011",10.4,24.3,71.21,10.8,0,19.6,1015.1,44.1966,27.3354
"05/14/2011",11.6,22.6,71.04,18,0,28,1016.4,44.1966,27.3354
"05/15/2011",10.2,27.5,61.18,14.4,0,45.9,1013.7,44.1966,27.3354
"05/16/2011",14.8,28.3,57.68,22.3,0,53.7,1011.8,44.1966,27.3354
"05/17/2011",11.4,24.8,73.21,18,0,17.5,1018.3,44.1966,27.3354
"05/18/2011",8.9,23.9,73.37,18,0,41.7,1020.8,44.1966,27.3354
"05/19/2011",9.4,25.6,74.45,21.8,0,51.2,1018.6,44.1966,27.3354
"05/20/2011",13.7,25.8,76.07,18,1,38,1017.5,44.1966,27.3354
"05/21/2011",14.2,27.8,69.43,18,0,29.6,1017.5,44.1966,27.3354
"05/22/2011",14.6,27.6,71.09,21.6,0,30.9,1018,44.1966,27.3354
"05/23/2011",13.6,28.1,69.01,14.4,0,32.5,1019.4,44.1966,27.3354
"05/24/2011",14.1,28.1,76.3,18,0,24.6,1019.8,44.1966,27.3354
"05/25/2011",12.4,29.1,66.88,18.1,0,25.8,1018.2,44.1966,27.3354
"05/26/2011",15.7,24.1,67.13,18.2,0,33.8,1020.7,44.1966,27.3354
"05/27/2011",9.9,23.9,67.11,14.4,0,0.8,1019.8,44.1966,27.3354
"05/28/2011",12.7,24.6,71.81,14.3,0,40.4,1014.8,44.1966,27.3354
"05/29/2011",7.7,25.5,68.39,10.8,0,27.9,1013.7,44.1966,27.3354
"05/30/2011",15.2,25.3,72.3,21.6,0,58.4,1016.6,44.1966,27.3354
"05/31/2011",15.6,25.9,83.4,14.4,11.2,68,1016.2,44.1966,27.3354
"06/01/2011",15.4,26.6,82.53,10.7,0,57.4,1015,44.1966,27.3354
"06/02/2011",16.7,25.5,89.09,18,30.4,64.6,1014.9,44.1966,27.3354
"06/03/2011",18,26.9,82.7,21.7,0,62.6,1017.4,44.1966,27.3354
"06/04/2011",17.1,29.9,73.4,14.6,1,40.6,1016.6,44.1966,27.3354
"06/05/2011",16.9,28,68.97,14.4,0,36.3,1015.3,44.1966,27.3354
"06/06/2011",14.6,27.2,65.9,14.4,0,8.4,1015.7,44.1966,27.3354
"06/07/2011",12.4,27.6,58.94,10.8,0,10,1015.3,44.1966,27.3354
"06/08/2011",11.7,29.8,61.51,10.9,0,7.1,1011.9,44.1966,27.3354
"06/09/2011",16.9,28.8,74.44,28.7,0.4,35.1,1006.2,44.1966,27.3354
"06/10/2011",16.4,25.1,75.87,25.2,6,55.4,1002.9,44.1966,27.3354
"06/11/2011",16.6,23.5,86.46,10.9,12.6,76.3,1005.4,44.1966,27.3354
"06/12/2011",15.1,25.6,78.97,14.6,0,55.1,1009.7,44.1966,27.3354
"06/13/2011",15.2,25.6,77.76,10.8,1.2,52.1,1011,44.1966,27.3354
"06/14/2011",15.2,24.8,77.32,14.3,3,53.8,1012.5,44.1966,27.3354
"06/15/2011",17.6,26.3,63.11,10.9,0,27.2,1016,44.1966,27.3354
"06/16/2011",15.2,28.6,60.74,7.2,0,8.3,1016.7,44.1966,27.3354
"06/17/2011",16.9,30.2,60.37,7.2,0,15,1015.8,44.1966,27.3354
"06/18/2011",15.7,31.1,59.13,10.8,0,12.1,1014.2,44.1966,27.3354
"06/19/2011",17.7,32.1,52.11,14.4,0,6.7,1009.7,44.1966,27.3354
"06/20/2011",17.2,23.3,73.31,18,1.6,49.3,1011.8,44.1966,27.3354
"06/21/2011",15.8,27.3,57.29,10.8,0,13.8,1019.4,44.1966,27.3354
"06/22/2011",15.9,30.3,51.41,10.8,0,0.8,1020.2,44.1966,27.3354
"06/23/2011",16.4,32.5,54.55,10.8,0,4.6,1017.1,44.1966,27.3354
"06/24/2011",17.6,33.7,52.65,18,0,11.6,1013,44.1966,27.3354
"06/25/2011",14.6,24.1,78.06,21.6,0.6,57.1,1011.3,44.1966,27.3354
"06/26/2011",14.6,22.6,65.24,18.3,0.4,46.4,1013.9,44.1966,27.3354
"06/27/2011",14.3,24.3,55.03,18,1,49.3,1011.5,44.1966,27.3354
"06/28/2011",13.7,24.5,61.5,14.4,0,43.4,1007.1,44.1966,27.3354
"06/29/2011",15.3,21.6,70.47,10.8,0,58.1,1007.3,44.1966,27.3354
"06/30/2011",13.7,21.6,85.55,10.8,2.6,57.6,1008.5,44.1966,27.3354
"07/01/2011",14.2,23.5,88.71,7.2,1,60.5,1008.1,44.1966,27.3354
"07/02/2011",15.1,25.6,62.9,21.6,0,21.3,1008.8,44.1966,27.3354
"07/03/2011",12.1,18.4,83.46,14.5,5.6,60.9,1011.4,44.1966,27.3354
"07/04/2011",11.6,26.3,68.76,18,0,34.2,1010.6,44.1966,27.3354
