"Date time","Minimum Temperature","Maximum Temperature","Relative Humidity","Wind Speed","Precipitation","Cloud Cover","Sea Level Pressure","Latitude","Longitude"
"01/01/2011",-9.3,-4.4,90.27,7.6,0,90.5,1021.9,46.7687,23.585
"01/02/2011",-9.6,-2.3,90.45,9.2,0,90.9,1017.9,46.7687,23.585
"01/03/2011",-10.1,-1.4,92.82,11,0,80,1021.3,46.7687,23.585
"01/04/2011",-8.5,-5.4,83.66,11.1,0,99.4,1027.2,46.7687,23.585
"01/05/2011",-12.4,-5.8,82.71,10.9,0,76.5,1028.2,46.7687,23.585
"01/06/2011",-14.3,-7.9,90.58,9.1,0,41.5,1029,46.7687,23.585
"01/07/2011",-11.3,-1.3,82.74,12.7,0,93.2,1026.6,46.7687,23.585
"01/08/2011",-1.9,1.9,88.7,9.4,0,95.9,1024.6,46.7687,23.585
"01/09/2011",0.4,4.5,96.16,9.3,0,90.1,1022.9,46.7687,23.585
"01/10/2011",0.1,2.7,99.24,11.1,0,52.9,1024.5,46.7687,23.585
"01/11/2011",-0.8,7.2,97.87,14.5,0,38,1020.9,46.7687,23.585
"01/12/2011",-1.4,4.6,99.56,7.2,0,61.5,1018.5,46.7687,23.585
"01/13/2011",0.8,6.9,96.55,7.4,0,89.8,1017.5,46.7687,23.585
"01/14/2011",1.8,5.7,98.11,7.3,0,90.7,1016.9,46.7687,23.585
"01/15/2011",3,8.9,97.23,22.2,0,80.9,1017.5,46.7687,23.585
"01/16/2011",-0.2,8.9,79.71,22.1,0,53.1,1027.2,46.7687,23.585
"01/17/2011",-2.3,7,87.98,10.8,0,20.5,1030.5,46.7687,23.585
"01/18/2011",-3.7,-1.2,99.77,7.4,0,56.4,1027.3,46.7687,23.585
"01/19/2011",-4.9,-1.3,98.79,7.5,0,84.2,1024.5,46.7687,23.585
"01/20/2011",-2.5,-0.2,99.93,7.5,0,99.1,1019.7,46.7687,23.585
"01/21/2011",-1.3,-0.2,99.91,11.1,0,96.7,1022.7,46.7687,23.585
"01/22/2011",-1.9,-0.4,99.59,9.6,0,100,1023.7,46.7687,23.585
"01/23/2011",-4.5,-1.2,96.83,12.7,0,95.1,1018.1,46.7687,23.585
"01/24/2011",-8.9,-2.7,88.65,11,0,77,1018.5,46.7687,23.585
"01/25/2011",-14.5,-6,87.23,9.3,0,60.2,1019.8,46.7687,23.585
"01/26/2011",-13.9,-7.1,88.54,16.2,0,63.6,1015.9,46.7687,23.585
"01/27/2011",-10.4,-3.9,90.88,7.4,0,67.6,1018.9,46.7687,23.585
"01/28/2011",-10.3,-3.6,95.83,7.4,0,64.3,1026.9,46.7687,23.585
"01/29/2011",-15.8,-7.9,90.69,7.4,0,28.4,1029,46.7687,23.585
"01/30/2011",-18.2,-9.7,87.36,9.1,0,24.2,1025.7,46.7687,23.585
"01/31/2011",-17.5,-9.7,90.44,7.3,0,60,1028,46.7687,23.585
"02/01/2011",-16.7,-10.9,88.08,7.2,0,58.4,1031.5,46.7687,23.585
"02/02/2011",-16.8,-10.3,87.67,10.8,0,81.5,1030.9,46.7687,23.585
