"Date time","Minimum Temperature","Maximum Temperature","Relative Humidity","Wind Speed","Precipitation","Cloud Cover","Sea Level Pressure","Latitude","Longitude"
"01/01/2011",-9.2,0,90.04,15,0,17,1018.9,44.3202,23.799
"01/02/2011",-4.7,2.1,85.59,16.5,0,23.1,1014.5,44.3202,23.799
"01/03/2011",-2.1,-0.3,92.68,9.4,0,95.4,1018.9,44.3202,23.799
"01/04/2011",-5.6,-1.9,95.08,9.4,0,84.1,1025,44.3202,23.799
"01/05/2011",-9.9,-7.1,95.32,13,0,74.9,1028.3,44.3202,23.799
"01/06/2011",-8.1,-5.1,95.92,5.8,0,82.4,1029.7,44.3202,23.799
"01/07/2011",-8,-4,97.05,5.8,0,65.6,1029.9,44.3202,23.799
"01/08/2011",-5.2,3.3,92.42,9.4,0,61,1025.7,44.3202,23.799
"01/09/2011",-0.8,7.9,87.2,14.5,0,36.7,1023.2,44.3202,23.799
"01/10/2011",-1.4,5.4,94.38,14.5,0,25.4,1025,44.3202,23.799
"01/11/2011",-0.4,2.9,99.18,14.6,0,62.5,1022.9,44.3202,23.799
"01/12/2011",0.9,3.8,98.87,7.8,0,68.8,1019.9,44.3202,23.799
"01/13/2011",1,3.7,99.65,12.9,0,78.8,1017.9,44.3202,23.799
"01/14/2011",-0.8,11.2,89.59,16.6,0,64.4,1016.1,44.3202,23.799
"01/15/2011",1.6,10.9,88.14,16.8,0,60.5,1016.5,44.3202,23.799
"01/16/2011",2.6,13.1,69.56,18.2,0,21.3,1024.2,44.3202,23.799
"01/17/2011",-1.2,7.2,90.49,22,0,17.3,1029.7,44.3202,23.799
"01/18/2011",-3.9,1,98.98,9.3,0,45.3,1026.2,44.3202,23.799
"01/19/2011",-1.9,-0.2,99.5,9.4,0,50.4,1023,44.3202,23.799
"01/20/2011",-1.1,-0.2,99.82,9.4,0,68.4,1019.7,44.3202,23.799
"01/21/2011",-0.4,1.6,99.99,15,0,74.6,1021.5,44.3202,23.799
"01/22/2011",-1.1,0.1,99.99,16.6,0,96.7,1022,44.3202,23.799
"01/23/2011",-3.2,0.2,96.65,16.6,0,93.5,1017.3,44.3202,23.799
"01/24/2011",-3.2,-0.9,93.27,15,0,93,1016.9,44.3202,23.799
"01/25/2011",-8.3,-2.2,93.47,18.4,0,82.9,1018.5,44.3202,23.799
"01/26/2011",-12.8,-4.3,95.26,7.2,0,79.4,1016.4,44.3202,23.799
"01/27/2011",-8,-4.8,96.55,7.4,0,51.8,1018.3,44.3202,23.799
"01/28/2011",-8.1,-2.9,92.39,18.1,0,87.3,1025.5,44.3202,23.799
"01/29/2011",-6.8,-1.4,83.77,9,0,96.9,1027.8,44.3202,23.799
"01/30/2011",-9.4,-3.9,86.58,14.6,0,70.4,1022.5,44.3202,23.799
"01/31/2011",-13.1,-6.1,94.87,9.7,0,62.5,1024.5,44.3202,23.799
"02/01/2011",-11.1,-7.1,94.04,7.8,0,64.8,1028.2,44.3202,23.799
"02/02/2011",-13.3,-3,86.74,16.7,0,34.8,1024.6,44.3202,23.799
"02/03/2011",-11.6,-2.1,79,18.8,0,0.4,1026.1,44.3202,23.799
"02/04/2011",-10.8,-0.6,83.24,18.4,0,4.6,1028.1,44.3202,23.799
"02/05/2011",-6.3,8,77.31,21.1,0,26.5,1024.1,44.3202,23.799
"02/06/2011",0.6,12,64.84,31.3,0,10.8,1021.2,44.3202,23.799
"02/07/2011",0.2,15.1,72.71,17.1,0,2.3,1022.8,44.3202,23.799
