Date time,Minimum Temperature,Maximum Temperature,Relative Humidity,Wind Speed,Precipitation,Cloud Cover,Sea Level Pressure,Latitude,Longitude
01/01/2011,-10.4,-2.3,96,3.6,0,76.7,1022.7,45.88,22.9021
01/02/2011,-6.8,1.8,89.38,7.2,0,72.5,1018,45.88,22.9021
01/03/2011,-5.4,-0.5,92.12,10.8,0,93.3,1021.4,45.88,22.9021
01/04/2011,-6.4,-2.5,90.05,7.2,0,91.2,1026.4,45.88,22.9021
01/05/2011,-11.4,-3.8,85.28,14.4,0,45.8,1027.8,45.88,22.9021
01/06/2011,-13.6,-3.8,87.12,10.8,0,25.8,1028.6,45.88,22.9021
01/07/2011,-9.6,0.4,85.52,3.6,0,91.7,1027,45.88,22.9021
01/08/2011,0.2,3.7,88.53,3.6,0,98.3,1024.9,45.88,22.9021
01/09/2011,1.4,11.7,91.35,7.2,0,79.2,1023.3,45.88,22.9021
01/10/2011,-1.9,2.2,99.72,7.2,0,26.7,1025,45.88,22.9021
01/11/2011,-1.4,1.7,99.99,7.2,0,20.4,1021.4,45.88,22.9021
01/12/2011,-1.9,3.4,99.99,7.2,0,55.8,1019.2,45.88,22.9021
01/13/2011,1.6,7.3,90.51,10.8,0,87.9,1018.5,45.88,22.9021
01/14/2011,3.2,6.2,98.33,7.2,0,100,1018.1,45.88,22.9021
01/15/2011,5.4,10.5,92.29,18,0.8,67.1,1018.7,45.88,22.9021
01/16/2011,2.1,10.8,83.34,14.4,0,29.2,1027.8,45.88,22.9021
01/17/2011,-0.4,7.7,95.9,10.8,0,62.5,1030.9,45.88,22.9021
01/18/2011,-1.4,1.5,99.99,7.2,0,37.5,1027.2,45.88,22.9021
01/19/2011,-0.9,0.8,99.85,10.8,0,58.3,1024.2,45.88,22.9021
01/20/2011,-0.6,1,99.52,7.2,2.6,100,1019.9,45.88,22.9021
01/21/2011,0.1,1.8,97.16,10.8,1.2,100,1022,45.88,22.9021
01/22/2011,0.1,0.8,100,7.2,0.5,97.5,1023,45.88,22.9021
01/23/2011,-2,1.1,97.04,25.2,3,99.2,1017.8,45.88,22.9021
01/24/2011,-3.5,-0.7,94.28,25.2,3.2,99.6,1018.5,45.88,22.9021
01/25/2011,-11.2,-2.4,92.45,7.2,0,71.3,1019.9,45.88,22.9021
01/26/2011,-10.6,-3.3,88.16,7.2,0,40.4,1016,45.88,22.9021
01/27/2011,-6.9,-2.9,91.13,10.8,0.6,92.9,1018.7,45.88,22.9021
01/28/2011,-6.8,0.7,87.29,14.4,0,49.6,1025.4,45.88,22.9021
01/29/2011,-13.4,-5.3,96.29,10.8,0,22.5,1028.8,45.88,22.9021
01/30/2011,-13.6,-6.1,92.92,10.8,0,4.2,1025.4,45.88,22.9021
01/31/2011,-16.3,-5.2,90.26,7.2,0,27.1,1027.9,45.88,22.9021
02/01/2011,-14.6,-8.8,92.65,10.8,0,59.6,1031.3,45.88,22.9021
02/02/2011,-18.8,-7.5,85.89,7.2,0,29.2,1030.8,45.88,22.9021
02/03/2011,-11.4,-7.4,87.15,10.8,0,96.7,1031.8,45.88,22.9021
02/04/2011,-13.4,-4.4,87.17,10.8,0,66.1,1033.2,45.88,22.9021
02/05/2011,-9.9,5.6,80.6,7.2,0,34.6,1028.8,45.88,22.9021
02/06/2011,-5.6,6.9,82.89,21.6,0,38.7,1026.6,45.88,22.9021
02/07/2011,-0.3,11.9,81.91,7.2,0,41.7,1026.3,45.88,22.9021
02/08/2011,-3.3,11.6,83.36,18,0,16.2,1021.5,45.88,22.9021
02/09/2011,-3.1,7.1,88.22,21.6,0,0,1023.1,45.88,22.9021
02/10/2011,-4.6,7.6,87.59,7.2,0,0,1025.7,45.88,22.9021
