Date time,Minimum Temperature,Maximum Temperature,Relative Humidity,Wind Speed,Precipitation,Cloud Cover,Sea Level Pressure,Latitude,Longitude
01/01/2011,-6.7,5.4,70.93,32.4,0,10.8,1018.9,44.6331,22.6563
01/02/2011,0.5,9.4,65.18,25.2,0,25,1014.5,44.6331,22.6563
01/03/2011,-1.7,2.2,76.8,18,0.07,84.6,1019,44.6331,22.6563
01/04/2011,-2,1.2,75.41,10.8,0,82.9,1024.9,44.6331,22.6563
01/05/2011,-3.9,-1.1,89.65,10.8,0.1,87.5,1027.9,44.6331,22.6563
01/06/2011,-4.7,-1.7,90.98,3.6,0,86.7,1029.6,44.6331,22.6563
01/07/2011,-3.7,-1.3,93.61,3.6,0,87.5,1029.9,44.6331,22.6563
01/08/2011,-3.8,3.4,88.25,7.2,0,75.4,1026,44.6331,22.6563
01/09/2011,-0.6,5.4,99.29,7.2,1,55,1023.5,44.6331,22.6563
01/10/2011,-2.3,4.9,99,7.2,0,39.5,1025.3,44.6331,22.6563
01/11/2011,-0.2,3.6,99.6,3.6,0.25,74.5,1023.5,44.6331,22.6563
01/12/2011,2.7,5.2,98.19,7.2,0.06,87.4,1020.3,44.6331,22.6563
01/13/2011,0.9,5.2,98.44,7.2,0,83.7,1018,44.6331,22.6563
01/14/2011,4.2,12.7,76.39,32.4,0,55.8,1016.3,44.6331,22.6563
01/15/2011,6.2,14.4,74.86,18,0,51.7,1017.3,44.6331,22.6563
01/16/2011,3.9,14.2,59.63,18,0,8.4,1025.3,44.6331,22.6563
01/17/2011,0.2,5.1,91.06,10.8,0,40,1030.3,44.6331,22.6563
01/18/2011,-0.1,1.7,99.78,10.8,0.1,70.8,1026.6,44.6331,22.6563
01/19/2011,-0.8,1.1,99.49,7.2,0.06,87.4,1023.1,44.6331,22.6563
01/20/2011,0.4,2.2,96.83,3.6,0.2,87.5,1019.7,44.6331,22.6563
01/21/2011,0.1,1.7,99.08,7.2,8.99,87.5,1021.9,44.6331,22.6563
01/22/2011,0.1,1.4,99.91,3.6,14.69,87.5,1022.6,44.6331,22.6563
01/23/2011,-1.1,0.6,93.81,14.4,13.99,86.7,1017.8,44.6331,22.6563
01/24/2011,-1.4,2.3,78.12,28.8,0,77.9,1016.9,44.6331,22.6563
01/25/2011,-10.1,0.5,89.71,7.2,1.8,52.9,1018.9,44.6331,22.6563
01/26/2011,-6.8,-3.3,89.64,3.6,0,82.5,1016.5,44.6331,22.6563
01/27/2011,-7.1,-4.1,97.18,7.2,0,86.6,1018.7,44.6331,22.6563
01/28/2011,-5.8,-2.1,90.99,7.2,0.3,87.5,1025.9,44.6331,22.6563
01/29/2011,-3.9,-0.7,81.1,7.2,0,87.5,1028.2,44.6331,22.6563
01/30/2011,-8.4,-1.1,77.87,10.8,0,39.6,1022.7,44.6331,22.6563
01/31/2011,-9.5,2.1,85.39,7.2,0,8.3,1024.5,44.6331,22.6563
02/01/2011,-9.7,-4.3,93.38,7.2,0,39.9,1028.5,44.6331,22.6563
02/02/2011,-10.3,-1.6,80.95,28.8,0,16.7,1024.9,44.6331,22.6563
02/03/2011,-7.9,-1.3,65.82,25.2,0,0,1026.7,44.6331,22.6563
02/04/2011,-9.1,1.4,74.66,25.2,0,1.7,1028.3,44.6331,22.6563
02/05/2011,-3.6,11.9,61.82,35.9,0,18.4,1024.7,44.6331,22.6563
02/06/2011,5.1,14.1,50.85,43.2,0,0,1022.5,44.6331,22.6563
02/07/2011,3.6,16.7,55.83,39.6,0,0,1023.2,44.6331,22.6563
02/08/2011,0.1,16.5,54.73,25.2,0,0,1019.2,44.6331,22.6563
02/09/2011,4.2,12.4,54.13,36,0,0,1019.7,44.6331,22.6563
02/10/2011,-3.1,11.2,60.73,21.6,0,0,1022.8,44.6331,22.6563
02/11/2011,-4.3,10.3,66.93,7.2,0,27.9,1019.4,44.6331,22.6563
02/12/2011,2.1,11.2,48.65,32.4,0,30,1011.8,44.6331,22.6563
02/13/2011,-5.1,7.9,44.46,7.2,0,37.1,1019,44.6331,22.6563
02/14/2011,0.7,4.7,68.21,7.2,0,82.1,1015.3,44.6331,22.6563
02/15/2011,-1.4,1.4,77.44,7.2,0.3,87.5,1016.6,44.6331,22.6563
02/16/2011,-2,0,63.44,10.8,0,87.5,1019.7,44.6331,22.6563
02/17/2011,-2.2,1.7,91.52,7.2,7.4,87.5,1017.4,44.6331,22.6563
02/18/2011,-0.1,2.3,97.62,3.6,5.99,87.5,1015.4,44.6331,22.6563
02/19/2011,0.3,4.6,99.21,7.2,13.18,87.5,1011.7,44.6331,22.6563
02/20/2011,-0.2,1.3,98.52,7.2,11.21,87.5,1016.9,44.6331,22.6563
02/21/2011,-0.7,1.2,93.57,3.6,2.6,87.5,1017.8,44.6331,22.6563
02/22/2011,-1.2,1.2,96.99,7.2,16.41,87.5,1014.9,44.6331,22.6563
02/23/2011,-1.4,1.7,94.72,7.2,2.14,87.5,1020,44.6331,22.6563
02/24/2011,-2.7,-1.4,94.6,7.2,2.03,87.5,1026,44.6331,22.6563
02/25/2011,-3.9,-2.1,93.35,7.2,4.59,87.5,1026.9,44.6331,22.6563
02/26/2011,-4.9,-0.6,86.18,7.2,0.5,83.7,1027.5,44.6331,22.6563
02/27/2011,-3.9,0.4,79.81,10.8,0,85,1024.1,44.6331,22.6563
02/28/2011,-5.4,-0.6,80.16,7.2,0.1,65.8,1028.3,44.6331,22.6563
03/01/2011,-6.3,1.6,80.24,7.2,0.1,62.1,1033.4,44.6331,22.6563
03/02/2011,-4.6,-1.1,86.65,14.4,4,86.7,1036.7,44.6331,22.6563
03/03/2011,-2.4,0.1,88.67,7.2,4.21,87.5,1036.8,44.6331,22.6563
03/04/2011,-4.7,3.3,83.1,10.8,0,45.4,1033.9,44.6331,22.6563
03/05/2011,-5.3,3.5,91.7,3.6,0,37.5,1023.8,44.6331,22.6563
03/06/2011,0.8,4.9,70.09,32.4,0,17.1,1013.9,44.6331,22.6563
03/07/2011,-4.4,2.6,81.48,18,3,42.5,1027.3,44.6331,22.6563
03/08/2011,-7.2,2.4,81.41,14.4,0,4.2,1034,44.6331,22.6563
03/09/2011,-7.3,2.7,77.11,10.8,0,0,1028.1,44.6331,22.6563
03/10/2011,-6.5,5.4,80.46,7.2,0,16.7,1022.7,44.6331,22.6563
03/11/2011,-2.4,14.1,64.77,10.8,0,23.8,1021.1,44.6331,22.6563
03/12/2011,0,15.1,66,7.2,0,0,1024.2,44.6331,22.6563
03/13/2011,1.3,14.6,68.39,10.8,0,17.5,1023.5,44.6331,22.6563
03/14/2011,1.2,18,70.41,7.2,0,17.5,1023.2,44.6331,22.6563
03/15/2011,3.4,18.8,71.5,14.4,0,40.4,1022.4,44.6331,22.6563
03/16/2011,4,18.9,73.31,10.8,0,35,1019.7,44.6331,22.6563
03/17/2011,6.8,15.6,79.42,10.8,1.12,86.1,1016.1,44.6331,22.6563
