"Date time","Minimum Temperature","Maximum Temperature","Relative Humidity","Wind Speed","Precipitation","Cloud Cover","Sea Level Pressure","Latitude","Longitude"
"01/01/2011",-11.2,-3.9,91.19,17.3,0,47.3,1017.9,45.696,27.184
"01/02/2011",-9.6,-0.3,83.73,12.4,0,21.6,1015.1,45.696,27.184
"01/03/2011",-2.9,-0.9,92.26,25.1,1.06,97.9,1019.2,45.696,27.184
"01/04/2011",-11.5,-2.7,88.34,12.9,0,24,1024.9,45.696,27.184
"01/05/2011",-8.8,-6.6,94.28,6.4,0.33,72.1,1029.4,45.696,27.184
"01/06/2011",-7.7,-2.8,96.28,13,0,86.7,1029.6,45.696,27.184
"01/07/2011",-5.5,-3.8,97.15,15.2,0,94.6,1028.4,45.696,27.184
"01/08/2011",-6.6,-2.8,95.73,9,0,81.3,1025.8,45.696,27.184
"01/09/2011",-2.6,2.3,97.53,13.6,0.33,95.2,1022.9,45.696,27.184
"01/10/2011",-0.1,3.7,98.37,8.9,0,91.2,1026.4,45.696,27.184
"01/11/2011",1.4,3.6,99.01,9,0.21,67.6,1024.3,45.696,27.184
"01/12/2011",2.6,5.4,99.21,13.7,0.47,77,1019.8,45.696,27.184
"01/13/2011",0.5,4.8,98.44,15.7,0,89.9,1016.7,45.696,27.184
"01/14/2011",-0.4,3.7,99,16.3,0,75.9,1015.6,45.696,27.184
"01/15/2011",1.5,10.5,91.98,15.2,0,78.6,1015.2,45.696,27.184
"01/16/2011",0.1,7.4,85.92,22.9,0,88.5,1023.8,45.696,27.184
"01/17/2011",-0.7,8.2,89.87,13.7,0,57.4,1029.2,45.696,27.184
"01/18/2011",-1,3.1,95.88,9.5,0,56.2,1025.8,45.696,27.184
"01/19/2011",-0.5,0.8,98.49,5.4,0,70,1023.4,45.696,27.184
"01/20/2011",-0.2,2.5,98.25,12.6,0,92.9,1019.7,45.696,27.184
"01/21/2011",0.6,2.9,93.65,27.2,1.58,100,1022.6,45.696,27.184
"01/22/2011",-1.8,0.6,97.28,36,18.8,100,1023.6,45.696,27.184
"01/23/2011",-3.8,-1.9,96.33,36,8.84,100,1017.1,45.696,27.184
"01/24/2011",-6.5,-1,94.96,9.4,0.21,84.6,1018.1,45.696,27.184
