Date time,Minimum Temperature,Maximum Temperature,Relative Humidity,Wind Speed,Precipitation,Cloud Cover,Sea Level Pressure,Latitude,Longitude
01/01/2011,-9.6,1.5,92.28,35,0,15.7,1018.1,43.9147,25.9719
01/02/2011,-9.3,4.9,86.99,17.5,0,15.4,1014.3,43.9147,25.9719
01/03/2011,-4.7,-0.2,93.54,20.1,279,88.4,1018.1,43.9147,25.9719
01/04/2011,-9.6,-0.5,95.64,12.2,7.1,62.3,1025,43.9147,25.9719
01/05/2011,-9.6,-5.2,95.93,10.7,0,68.7,1028.3,43.9147,25.9719
01/06/2011,-6.8,-2.6,96.93,13.9,0.5,91.9,1029.5,43.9147,25.9719
01/07/2011,-8.3,-4.7,96.27,14.1,0,75.7,1029.4,43.9147,25.9719
01/08/2011,-7.2,1.1,92.44,10.5,0,28.2,1025.5,43.9147,25.9719
01/09/2011,-2,5.7,89.99,11,1.9,31.8,1023.2,43.9147,25.9719
01/10/2011,-3.2,2,97.6,14.2,0,28.8,1025,43.9147,25.9719
01/11/2011,-0.7,2.9,97.52,10.4,0,63.5,1022.6,43.9147,25.9719
01/12/2011,0.4,3.2,98.21,11.1,89,90,1019.7,43.9147,25.9719
01/13/2011,1.1,4.7,96.06,14.6,0,97.5,1017.3,43.9147,25.9719
01/14/2011,-0.4,9.4,91.13,13.9,0,49.3,1015.6,43.9147,25.9719
01/15/2011,0.8,12.3,91.41,48.3,0,47.6,1015.4,43.9147,25.9719
01/16/2011,2.4,10.3,88.82,17.4,0,61.9,1023.6,43.9147,25.9719
01/17/2011,-1.3,8.9,86.84,14.1,0,34.5,1029.3,43.9147,25.9719
01/18/2011,-1.7,2.8,98.06,8.4,0,56.2,1025.6,43.9147,25.9719
01/19/2011,-0.9,0.8,97.35,13.7,0,91.6,1022.6,43.9147,25.9719
01/20/2011,-1.1,0.9,96.93,13.8,0,96.2,1019.2,43.9147,25.9719
01/21/2011,-0.1,3,93.71,24.2,0,97.8,1021.3,43.9147,25.9719
01/22/2011,-1.1,2.3,96.41,31.1,7.9,98.9,1021.2,43.9147,25.9719
01/23/2011,-3.1,0,95.1,29.7,19.6,95.5,1016.3,43.9147,25.9719
01/24/2011,-3.1,-0.3,92.31,20.8,3,96.3,1016.8,43.9147,25.9719
01/25/2011,-8.6,-1.5,90.96,17.3,0.5,57.6,1017.7,43.9147,25.9719
01/26/2011,-13,-4,94.07,11.4,0.3,32.4,1015.8,43.9147,25.9719
01/27/2011,-12.8,-2.7,91.43,10.9,0,42.3,1018.2,43.9147,25.9719
01/28/2011,-9,-1.7,87.42,24.7,0,59,1024.8,43.9147,25.9719
01/29/2011,-11.6,1.1,85.08,11.5,0,61.8,1026.9,43.9147,25.9719
01/30/2011,-10.9,-1.9,87.61,19.5,0,9.7,1021.6,43.9147,25.9719
01/31/2011,-12.5,-2.1,90.46,8.7,0,39.2,1024.4,43.9147,25.9719
02/01/2011,-16.1,-5.8,94.54,21.3,0,53.9,1027.2,43.9147,25.9719
02/02/2011,-11.1,-2.9,91.24,17.7,0,39.6,1023.8,43.9147,25.9719
02/03/2011,-14.2,-2.8,86.6,27.6,0,11,1025.6,43.9147,25.9719
02/04/2011,-12.7,0.1,84.56,34.6,0,2.2,1027.2,43.9147,25.9719
02/05/2011,-7.9,5.7,78.17,35.4,0,22.6,1022.4,43.9147,25.9719
02/06/2011,-2.1,10.5,71.89,48.7,0,19.3,1019.5,43.9147,25.9719
02/07/2011,-2.5,13,81.67,34.7,0,1.1,1022.3,43.9147,25.9719
02/08/2011,-3.1,16,77.48,17.7,0,11.4,1018.1,43.9147,25.9719
02/09/2011,-1.4,12,74.73,24.5,0,1.2,1017.7,43.9147,25.9719
02/10/2011,-3.5,9.4,70.2,17.9,0,0.2,1021.9,43.9147,25.9719
02/11/2011,-3.9,9.5,72.15,24.6,0,22.2,1018.3,43.9147,25.9719
02/12/2011,1.1,14.6,54.26,118,0,24,1007.2,43.9147,25.9719
02/13/2011,-6.5,7.9,60.73,17.9,0,25.1,1018.8,43.9147,25.9719
02/14/2011,-4.5,1.8,76.65,24.1,0,56.9,1016.1,43.9147,25.9719
02/15/2011,-7.1,-1.4,67.28,24.7,0,72.8,1017.2,43.9147,25.9719
02/16/2011,-9,2.2,76.14,21.3,0,62.3,1020.3,43.9147,25.9719
02/17/2011,-2.9,4.4,84.35,17.1,139,92.7,1016.9,43.9147,25.9719
02/18/2011,-0.1,3.4,96.11,19.9,0,97.7,1014.8,43.9147,25.9719
02/19/2011,-0.2,4,95.68,28.7,0,99.5,1010.9,43.9147,25.9719
02/20/2011,-3.1,-0.2,84.94,18.8,9.9,85.8,1016.9,43.9147,25.9719
02/21/2011,-4.3,4.7,81.34,31.8,0,66.8,1018.1,43.9147,25.9719
02/22/2011,-3.1,1.7,92.33,35.5,5.1,99,1015.2,43.9147,25.9719
02/23/2011,-3.2,-2.4,92.17,26.5,3,99.5,1019.5,43.9147,25.9719
02/24/2011,-4.1,-2,86.55,24.6,0,99,1025.4,43.9147,25.9719
02/25/2011,-5.3,-2.2,87.66,35,1,98.6,1026.3,43.9147,25.9719
