Date time,Minimum Temperature,Maximum Temperature,Relative Humidity,Wind Speed,Precipitation,Cloud Cover,Sea Level Pressure,Latitude,Longitude
01/01/2011,-7.8,-2.6,89.73,12.7,0,83.4,1016,47.1594,27.5873
01/02/2011,-8.9,-3.1,88.24,11,0,67.5,1014.9,47.1594,27.5873
01/03/2011,-8.3,-0.6,89.45,7.2,0,56.9,1020.4,47.1594,27.5873
01/04/2011,-14.5,-4.2,92.52,7.4,0,3.5,1025.1,47.1594,27.5873
01/05/2011,-15.7,-9,92.72,20.1,0,48.8,1028.8,47.1594,27.5873
01/06/2011,-9.1,-2.2,94.14,21.9,0,54.7,1028.1,47.1594,27.5873
01/07/2011,-5.8,-1.3,91.73,21.8,0,77,1025.8,47.1594,27.5873
01/08/2011,-7.4,-0.2,96.35,25.4,0,60.6,1024.2,47.1594,27.5873
01/09/2011,-2.7,2.2,96.28,21.9,0,65,1022,47.1594,27.5873
01/10/2011,0.7,5.2,97.3,18.3,0,75.9,1025.1,47.1594,27.5873
01/11/2011,2.1,4.4,99.49,18.2,0,95.4,1023.9,47.1594,27.5873
01/12/2011,3.1,5.1,98.27,20.1,0,90.9,1018.5,47.1594,27.5873
01/13/2011,0.2,3.1,99.71,11,0,53.2,1015.5,47.1594,27.5873
01/14/2011,1.5,5.9,97.63,11,0,75.3,1014.4,47.1594,27.5873
01/15/2011,1.1,7.1,98.76,12.7,0,88.1,1014.5,47.1594,27.5873
01/16/2011,-0.7,7.2,87.77,29.9,0,92.5,1025,47.1594,27.5873
01/17/2011,-1.5,7.1,91.65,11,0,89.3,1028.3,47.1594,27.5873
01/18/2011,2,9.1,84.51,11.1,0,79.4,1024.6,47.1594,27.5873
01/19/2011,-3.9,1.6,99.63,11,0,49.4,1022.9,47.1594,27.5873
01/20/2011,-0.2,2.9,100,14.4,0,97.8,1019.2,47.1594,27.5873
01/21/2011,0.1,2.1,93.96,16.3,0,96.9,1023.9,47.1594,27.5873
01/22/2011,-2.9,0,97.05,16.4,0,94.2,1026.7,47.1594,27.5873
01/23/2011,-3.7,-1.3,94.69,9.2,0,99,1018.9,47.1594,27.5873
01/24/2011,-5.5,-0.2,81.6,14.6,0,83.9,1017.5,47.1594,27.5873
01/25/2011,-10.6,-2.9,78.59,14.4,0,67.9,1018.2,47.1594,27.5873
01/26/2011,-13.1,-8.6,90.86,21.9,0,48.6,1014.5,47.1594,27.5873
01/27/2011,-12.6,-5.7,93.36,14.4,0,85.2,1019.3,47.1594,27.5873
01/28/2011,-9.6,-1.7,92.1,9.3,0,81,1027.3,47.1594,27.5873
01/29/2011,-10.1,-2.4,86.65,11,0,18.3,1027.2,47.1594,27.5873
01/30/2011,-13.2,0.8,83,11,0,14.4,1020.6,47.1594,27.5873
01/31/2011,-6.4,-1.7,80.81,20.1,0,95.1,1024,47.1594,27.5873
02/01/2011,-8.1,1,73.54,11,0,66.4,1024.6,47.1594,27.5873
02/02/2011,-3.6,1.2,65.14,20.1,0,36.9,1021.9,47.1594,27.5873
02/03/2011,-5.5,-0.8,85.41,16.3,0,88.6,1024.6,47.1594,27.5873
02/04/2011,-3,4.1,82.11,18,0,56.2,1024.2,47.1594,27.5873
02/05/2011,-3.9,9.6,70.54,18.2,0,73.5,1016.6,47.1594,27.5873
02/06/2011,5.4,11.5,69.23,21.9,0,93.4,1016.3,47.1594,27.5873
02/07/2011,3.6,14.8,78.09,16.5,0,82.3,1019.7,47.1594,27.5873
02/08/2011,0.8,14.3,74.29,20,0,22.9,1015.4,47.1594,27.5873
02/09/2011,1.9,7.8,57.19,33.8,0,22.9,1016.9,47.1594,27.5873
02/10/2011,-4.2,4.5,62.12,32.4,0,41.2,1021.4,47.1594,27.5873
02/11/2011,-5.9,5.9,73.29,16.3,0,77.8,1015.5,47.1594,27.5873
02/12/2011,-2.3,5.4,70.78,53.8,0,72.4,1004.3,47.1594,27.5873
02/13/2011,-5.7,0.4,59.32,33.6,0,33,1018.7,47.1594,27.5873
02/14/2011,-9.7,-1.3,68.83,20.1,0,23.6,1018.4,47.1594,27.5873
02/15/2011,-12.4,-3.6,73.94,14.6,0,16.6,1019,47.1594,27.5873
02/16/2011,-12.8,-2.4,73.58,21.8,0,42.3,1022.2,47.1594,27.5873
02/17/2011,-5.1,-2.2,82.36,31.9,0,97.2,1019.9,47.1594,27.5873
02/18/2011,-3.9,-2.1,96.63,23.7,0,97.3,1018.1,47.1594,27.5873
02/19/2011,-3.7,-1.3,96.41,16.4,0,99.3,1016.3,47.1594,27.5873
02/20/2011,-5.8,-3.5,83.69,18,0,96.5,1018.6,47.1594,27.5873
02/21/2011,-6.9,-3.9,81.92,20.1,0,99,1021.1,47.1594,27.5873
02/22/2011,-6.9,-3,90.76,20.1,0,98.3,1020.1,47.1594,27.5873
02/23/2011,-7.9,-3.4,91,11,0,97.8,1023.9,47.1594,27.5873
02/24/2011,-7.7,-5.3,81.45,14.6,0,99.7,1029.4,47.1594,27.5873
02/25/2011,-7.8,-4.9,85.23,18.2,0,99.1,1030.3,47.1594,27.5873
02/26/2011,-7.2,-4.7,86.09,21.9,0,95.4,1029.3,47.1594,27.5873
02/27/2011,-10.8,-4.2,82.22,14.6,0,84.3,1026.4,47.1594,27.5873
02/28/2011,-8.3,-3.7,85.66,14.6,0,91.6,1029.6,47.1594,27.5873
03/01/2011,-7.5,-4.4,86.39,14.4,0,95.3,1034.6,47.1594,27.5873
03/02/2011,-8.9,-1.2,78.12,14.6,0,30.9,1039.2,47.1594,27.5873
03/03/2011,-14.1,-0.2,77.03,11,0,33.5,1038,47.1594,27.5873
03/04/2011,-11.4,1.3,74.64,9.3,0,0,1032.8,47.1594,27.5873
03/05/2011,-8.9,7.3,76.38,9.1,0,21.2,1020.3,47.1594,27.5873
03/06/2011,-2.7,3.2,75.76,29.1,0,53.9,1013.3,47.1594,27.5873
03/07/2011,-2.9,2.3,72.58,28.1,0,61.6,1027.5,47.1594,27.5873
03/08/2011,-5.8,0.8,69.38,25.4,0,54.8,1034.7,47.1594,27.5873
03/09/2011,-9,1.3,77.05,16.3,0,57.3,1029.3,47.1594,27.5873
03/10/2011,-4.7,6.2,69.59,14.7,0,56.6,1021.9,47.1594,27.5873
03/11/2011,-4.2,9.8,67.23,11,0,60.2,1019.8,47.1594,27.5873
03/12/2011,2.9,13.4,60.12,9.2,0,52.1,1023,47.1594,27.5873
03/13/2011,2.9,17,56.55,21.9,0,42,1021.2,47.1594,27.5873
03/14/2011,0.9,18.2,65.04,20,0,48.3,1020.7,47.1594,27.5873
03/15/2011,4.5,21.1,62.27,14.6,0,56.3,1020.4,47.1594,27.5873
03/16/2011,5.5,15,79.64,23.7,0,54.7,1022.8,47.1594,27.5873
03/17/2011,2,8.1,72.13,27.3,0,96.3,1023,47.1594,27.5873
03/18/2011,0.1,2,94.34,23.7,0,98.8,1020.1,47.1594,27.5873
03/19/2011,1,5.8,79.95,18,0,99.3,1020.7,47.1594,27.5873
03/20/2011,2.8,5.7,84.19,18.2,0,97.6,1027.6,47.1594,27.5873
03/21/2011,0.7,8.2,65.81,18.4,0,68.8,1033.3,47.1594,27.5873
03/22/2011,-2.7,10.3,67.22,14.4,0,48.7,1033.1,47.1594,27.5873
03/23/2011,6.7,13.1,64.18,30,0,73.9,1026,47.1594,27.5873
03/24/2011,2.9,16.3,51.78,37.4,0,11.7,1022.5,47.1594,27.5873
03/25/2011,8.8,20.2,39.67,21.9,0,64.1,1015.5,47.1594,27.5873
03/26/2011,5.5,16.8,64.5,28.1,0,76.9,1009.6,47.1594,27.5873
03/27/2011,0.3,4.4,92.66,20.1,0,96.7,1020.6,47.1594,27.5873
03/28/2011,0.1,7.8,93.49,20.1,0,96.1,1016.9,47.1594,27.5873
03/29/2011,5.1,13.6,78.23,11,0,61.5,1016.3,47.1594,27.5873
03/30/2011,2,17.6,58.56,10.8,0,14.2,1019.2,47.1594,27.5873
03/31/2011,3.4,18.2,56.76,20.1,0,12.3,1021.9,47.1594,27.5873
04/01/2011,4.3,18.3,66.34,30,0,31.6,1024.1,47.1594,27.5873
04/02/2011,5.7,17.3,68.58,20.1,0,59,1022,47.1594,27.5873
04/03/2011,4.4,15.2,58.58,35.5,0,58.1,1019.3,47.1594,27.5873
04/04/2011,4.9,8.9,93.07,16.3,0,92.7,1017.7,47.1594,27.5873
04/05/2011,5.1,9.2,94.89,20.1,0,85.8,1018.2,47.1594,27.5873
04/06/2011,7.8,14.8,74.4,21.8,0,78.4,1020.3,47.1594,27.5873
