"Date time","Minimum Temperature","Maximum Temperature","Relative Humidity","Wind Speed","Precipitation","Cloud Cover","Sea Level Pressure","Latitude","Longitude"
"01/01/2011",-8,-4,96.04,22.3,0,89.9,1021.4,47.0518,21.9387
"01/02/2011",-6,-3,96.89,18.4,0,95.5,1017.7,47.0518,21.9387
"01/03/2011",-6,-2,95.71,11.2,0,98,1021.5,47.0518,21.9387
"01/04/2011",-4,-3,88.03,7.6,0,93.8,1026,47.0518,21.9387
"01/05/2011",-10.1,-2,82.15,14.8,0,36.2,1026.1,47.0518,21.9387
"01/06/2011",-9,2,78.98,14.8,0,14,1024.2,47.0518,21.9387
"01/07/2011",3,8,68.46,29.5,0.37,92.8,1022.6,47.0518,21.9387
"01/08/2011",6.3,10,75.8,25.9,0,95.1,1020.9,47.0518,21.9387
"01/09/2011",4,11,83.28,29.5,0.3,51.2,1020.7,47.0518,21.9387
"01/10/2011",3,12,77.71,25.9,0,24.9,1021.2,47.0518,21.9387
"01/11/2011",3,10,90.68,14.7,0,31.8,1018.5,47.0518,21.9387
"01/12/2011",1,6,96.2,18.4,0.43,75.8,1017.5,47.0518,21.9387
"01/13/2011",0.7,6,95.31,25.9,0.63,71.1,1016.9,47.0518,21.9387
"01/14/2011",3.8,8,96.46,25.9,0.48,91.5,1016,47.0518,21.9387
"01/15/2011",4.4,10,94.4,22.3,2.71,60.5,1017.6,47.0518,21.9387
"01/16/2011",-1,9,94.81,11.2,1.27,33,1028.2,47.0518,21.9387
"01/17/2011",0,10,91.34,14.7,0,3.8,1029,47.0518,21.9387
"01/18/2011",-3,1.6,99.91,14.8,0,51.3,1025.6,47.0518,21.9387
"01/19/2011",0,2.3,96.68,11.2,0,96,1023.5,47.0518,21.9387
"01/20/2011",0,1,97.38,11.2,2.53,92.7,1019.6,47.0518,21.9387
"01/21/2011",-1,2,83.53,29.8,0,55.7,1023.3,47.0518,21.9387
"01/22/2011",-1,0,91.3,22.3,0,92,1024.2,47.0518,21.9387
"01/23/2011",-3,1,78.42,22.3,0,58.4,1018.7,47.0518,21.9387
"01/24/2011",-10,0,94.72,14.8,0.5,46.8,1018.8,47.0518,21.9387
"01/25/2011",-11,-3,92.73,22.3,0,31.4,1018.4,47.0518,21.9387
"01/26/2011",-4,-1,81.95,22.3,0.19,69.6,1013.4,47.0518,21.9387
"01/27/2011",-4,0,93.23,14.8,0.5,83.1,1017.7,47.0518,21.9387
"01/28/2011",-10.9,1,88.05,14.8,0.19,0,1025.1,47.0518,21.9387
"01/29/2011",-10,-1,91.13,14.8,0,0.1,1027,47.0518,21.9387
"01/30/2011",-13,-7,95.43,14.8,0,47.6,1024.2,47.0518,21.9387
"01/31/2011",-10,-7,96.31,7.6,0,96.3,1027.1,47.0518,21.9387
"02/01/2011",-10,-8,96.24,7.6,0,96.2,1030.3,47.0518,21.9387
"02/02/2011",-10,-7,94.39,7.6,0,88.5,1029.8,47.0518,21.9387
"02/03/2011",-7,-6,94.45,11.2,0,100,1030.4,47.0518,21.9387
"02/04/2011",-6,-4,94.69,22.3,0,96.1,1031.2,47.0518,21.9387
"02/05/2011",-4,2,86.99,31.3,0,35,1025.4,47.0518,21.9387
"02/06/2011",0,6.8,82.7,31.3,0,42.6,1023.7,47.0518,21.9387
"02/07/2011",2,11,80.2,29.5,0,2.4,1024,47.0518,21.9387
"02/08/2011",-3.2,12,82.57,22.3,0,27.6,1019.9,47.0518,21.9387
"02/09/2011",-4,3,98.6,18.4,0,83.8,1023.1,47.0518,21.9387
"02/10/2011",-5,5,84.55,14.8,0,15.4,1025.5,47.0518,21.9387
"02/11/2011",-5,6,83.2,31.3,0,54.3,1017.3,47.0518,21.9387
"02/12/2011",-4,6,69.92,38.9,0.92,39.3,1012.4,47.0518,21.9387
"02/13/2011",-7,4,66.74,11.2,0,3.9,1020.9,47.0518,21.9387
"02/14/2011",-4,2,66.32,22.3,0,22.9,1016.5,47.0518,21.9387
"02/15/2011",-8,4,64.55,16.7,0,15.9,1014.2,47.0518,21.9387
"02/16/2011",-4,8,71.16,14.8,0,35.6,1012.4,47.0518,21.9387
"02/17/2011",0,4,84.28,14.8,3.97,77.1,1010.4,47.0518,21.9387
"02/18/2011",-0.6,12,81.98,18.4,0,18.2,1011.4,47.0518,21.9387
"02/19/2011",1,7,88.23,20.3,0.19,42.3,1011.1,47.0518,21.9387
"02/20/2011",-1,2,90.49,11.2,0.59,80.1,1015.8,47.0518,21.9387
"02/21/2011",-4,0,81.92,22.3,0,43.8,1017.3,47.0518,21.9387
"02/22/2011",-6.3,0,82.18,22.3,0,55,1015.7,47.0518,21.9387
"02/23/2011",-5,-1,87.66,18.4,0,55.6,1021.5,47.0518,21.9387
"02/24/2011",-5,-3,94.02,18.4,0.61,92.5,1026.8,47.0518,21.9387
"02/25/2011",-5.6,-2,90.47,20.3,0.84,86.7,1026.9,47.0518,21.9387
"02/26/2011",-8,-1,82.05,11.2,0,26,1026.6,47.0518,21.9387
"02/27/2011",-9.5,1,89.18,11.2,0,74.5,1021.3,47.0518,21.9387
"02/28/2011",-1.5,0,91.04,11.2,0,94.1,1025.7,47.0518,21.9387
"03/01/2011",-5,3,87.67,14.8,0,57.6,1031.5,47.0518,21.9387
"03/02/2011",-5,3,87.96,11.2,0,26.6,1033.4,47.0518,21.9387
"03/03/2011",-1,4,94.46,11.2,1.3,56.9,1033.5,47.0518,21.9387
"03/04/2011",-1,2,95.8,14.8,0.37,86.2,1033.3,47.0518,21.9387
"03/05/2011",-2,4,83.02,11.2,0,66.9,1024.9,47.0518,21.9387
"03/06/2011",-1,5,74.55,29.5,0,50.1,1018.4,47.0518,21.9387
"03/07/2011",-4,4,66.46,31.1,0,9.2,1030.5,47.0518,21.9387
"03/08/2011",-6,4,61.47,18.4,0,0,1034,47.0518,21.9387
"03/09/2011",-7,5,69.08,11.2,0,0.1,1027.4,47.0518,21.9387
"03/10/2011",-6,7,69.03,14.8,0,20.6,1023,47.0518,21.9387
"03/11/2011",1,13,60.49,29.5,0,34.6,1020.6,47.0518,21.9387
"03/12/2011",2.2,17,57.56,25.9,0,29.8,1021.8,47.0518,21.9387
"03/13/2011",2,19,50.39,31.3,0,4.1,1018.6,47.0518,21.9387
"03/14/2011",5,17,56.49,25.9,0.19,17.6,1020.5,47.0518,21.9387
"03/15/2011",9,19,64.8,11.2,0.3,21.3,1020.4,47.0518,21.9387
"03/16/2011",6,21,67.39,11.2,0,14.7,1017.3,47.0518,21.9387
"03/17/2011",11,18,78.22,31.3,6.19,47,1008.9,47.0518,21.9387
"03/18/2011",7,15,76.56,25.9,0.18,40.9,1012.5,47.0518,21.9387
"03/19/2011",4,7,92.22,18.4,10.2,91.7,1018.4,47.0518,21.9387
"03/20/2011",2,5,92.14,18.4,4.8,95.5,1026.1,47.0518,21.9387
"03/21/2011",1,10,79.08,15.4,0.11,42,1031.9,47.0518,21.9387
"03/22/2011",-2,12.1,75.6,14.8,0,22.1,1034,47.0518,21.9387
"03/23/2011",2.9,15,68.11,18.4,0,36.5,1030.6,47.0518,21.9387
"03/24/2011",0,16,68.37,22.3,0,0.5,1028.4,47.0518,21.9387
"03/25/2011",2,18,65.59,31.3,0,3.9,1019.3,47.0518,21.9387
"03/26/2011",8,19,61.61,29.5,4.76,26.1,1010.4,47.0518,21.9387
"03/27/2011",3,11,63.6,18.4,0,30.5,1017.3,47.0518,21.9387
"03/28/2011",4,10,87.81,29.5,3.21,62.9,1014,47.0518,21.9387
"03/29/2011",1,15,76.27,22.3,0,30.1,1016.2,47.0518,21.9387
"03/30/2011",2,18,62.86,14.8,0,0.3,1018.5,47.0518,21.9387
"03/31/2011",2.1,19,63.78,14.8,0,3.4,1021.2,47.0518,21.9387
"04/01/2011",3,16,72.01,14.8,0,5.1,1022.8,47.0518,21.9387
"04/02/2011",5,18.1,65.77,18.4,0,11.3,1020.6,47.0518,21.9387
"04/03/2011",4,21,58.24,18.4,0,0.2,1016.7,47.0518,21.9387
"04/04/2011",3,21,56.85,14.8,0,2,1014.1,47.0518,21.9387
"04/05/2011",8,11,82.39,26,1.72,79.3,1018.9,47.0518,21.9387
"04/06/2011",4.8,17,67.49,18.4,0,23.1,1024,47.0518,21.9387
"04/07/2011",9,21.8,67.41,25.9,0,26.8,1017.9,47.0518,21.9387
"04/08/2011",11,18,51.09,31.3,0,32,1009.4,47.0518,21.9387
"04/09/2011",8,15,51.51,38.9,0,42,1007.8,47.0518,21.9387
"04/10/2011",2,12,50.71,25.9,0,28.1,1015.3,47.0518,21.9387
"04/11/2011",2,13,50.93,25.9,0,6.3,1018.1,47.0518,21.9387
"04/12/2011",6,18.3,75.15,25.9,1,55.3,1010.6,47.0518,21.9387
"04/13/2011",5,11,75.43,25.9,8.1,71.2,1010,47.0518,21.9387
"04/14/2011",0,10.4,82.83,22.3,0.37,51.1,1009.7,47.0518,21.9387
"04/15/2011",4,12,77.54,22.3,0.18,58.4,1013.3,47.0518,21.9387
"04/16/2011",6,13,57.84,18.4,0,23.3,1019.8,47.0518,21.9387
"04/17/2011",2,17,62.81,18.3,0,5.3,1023.3,47.0518,21.9387
"04/18/2011",4,19,54.75,14.8,0,3.6,1021.9,47.0518,21.9387
"04/19/2011",5,19,60.95,22.3,0,5.9,1016.8,47.0518,21.9387
"04/20/2011",7.1,21,51.23,14.8,0,0.9,1017.6,47.0518,21.9387
"04/21/2011",5,22.1,56.01,25.9,0,1.6,1019.1,47.0518,21.9387
"04/22/2011",7,23,58.3,14.8,0,0.9,1015.9,47.0518,21.9387
"04/23/2011",6,23,59.92,11.2,0,8.6,1016.4,47.0518,21.9387
"04/24/2011",7,21.2,58.27,14.8,0,30.7,1017,47.0518,21.9387
"04/25/2011",11,22,59.09,14.8,0,38.9,1017.8,47.0518,21.9387
