"Date time","Minimum Temperature","Maximum Temperature","Relative Humidity","Wind Speed","Precipitation","Cloud Cover","Sea Level Pressure","Latitude","Longitude"
"01/01/2011",-11.2,-7.1,93.65,66.3,0,50.5,1016.6,46.9334,26.3597
"01/02/2011",-10.4,-6.9,95.02,75.2,0.26,37.1,1015.4,46.9334,26.3597
"01/03/2011",-12.7,-7.9,98.71,10.3,0.49,53.2,1020.5,46.9334,26.3597
"01/04/2011",-15.5,-11.3,96.77,11,0,25.9,1026,46.9334,26.3597
"01/05/2011",-15.5,-8.4,65.66,19.4,0,36.3,1029.2,46.9334,26.3597
"01/06/2011",-13,-8.2,81.5,37.9,0,21,1028,46.9334,26.3597
"01/07/2011",-8.7,-4.4,98.48,48.7,0.52,33.2,1026.5,46.9334,26.3597
"01/08/2011",-4.2,-1,98.07,26.4,0,38.8,1024.9,46.9334,26.3597
"01/09/2011",-1.8,0.2,99.46,23,0.08,29.4,1022.4,46.9334,26.3597
"01/10/2011",-2,-0.1,99.97,24.9,0,29.5,1025.6,46.9334,26.3597
"01/11/2011",-1.3,1.1,100,18.9,0,60.3,1023.8,46.9334,26.3597
"01/12/2011",-1.5,0.6,100,36.7,0,46.4,1018.5,46.9334,26.3597
"01/13/2011",-3,-1.4,99.3,30,0,25.2,1016.2,46.9334,26.3597
"01/14/2011",-4.5,-0.8,99.03,32.2,0,23.7,1015.2,46.9334,26.3597
"01/15/2011",-1.7,1.9,99.33,32.2,0,27.9,1015.1,46.9334,26.3597
"01/16/2011",-2.5,0.6,95.22,18.4,1.38,30.6,1025.5,46.9334,26.3597
"01/17/2011",-5.2,0.7,97.03,21.8,0,26.5,1029,46.9334,26.3597
"01/18/2011",-2.9,3,92.16,22.6,0,37.5,1025.5,46.9334,26.3597
"01/19/2011",-3.8,-1.2,100,12.3,0,36.2,1023.4,46.9334,26.3597
"01/20/2011",-3.7,-2.6,100,16.8,0.03,58.8,1019.5,46.9334,26.3597
"01/21/2011",-6.1,-2.4,98.3,18.4,0,36.9,1024.3,46.9334,26.3597
"01/22/2011",-10.2,-5.5,98.55,24.1,0.21,43.1,1027,46.9334,26.3597
"01/23/2011",-9.6,-3.5,98.18,19.8,1.69,74.3,1019.2,46.9334,26.3597
"01/24/2011",-11.2,-7.5,94.82,20.1,2.5,33.2,1018.2,46.9334,26.3597
"01/25/2011",-14.8,-5,91.56,21.3,0.3,27.9,1018.6,46.9334,26.3597
"01/26/2011",-17.6,-7.9,94.84,21,0,34.8,1015.1,46.9334,26.3597
"01/27/2011",-14,-7.5,95.92,17.7,1.47,48.3,1019.3,46.9334,26.3597
"01/28/2011",-11.5,-6.8,93.74,14.5,0.34,33.1,1027.5,46.9334,26.3597
"01/29/2011",-12.6,-4.7,83.66,12.3,0,14.7,1027.4,46.9334,26.3597
"01/30/2011",-11.5,-6.5,63.81,15.5,0,6.7,1021.6,46.9334,26.3597
"01/31/2011",-11.7,-6.8,76.63,22.4,0,25.7,1024.8,46.9334,26.3597
"02/01/2011",-10.8,-4.7,51.68,23.2,0,13.8,1025.7,46.9334,26.3597
"02/02/2011",-9.2,-0.7,64.28,26.4,0,11.7,1023.2,46.9334,26.3597
"02/03/2011",-9.3,-3.1,77.86,19.2,0,22.2,1025.2,46.9334,26.3597
"02/04/2011",-8.8,3,85.68,64.4,0,23.9,1025.5,46.9334,26.3597
"02/05/2011",-6.5,-0.7,83.89,87.4,0,29.4,1017.8,46.9334,26.3597
"02/06/2011",-1.5,1.7,83.88,84.9,0.01,18.7,1017.8,46.9334,26.3597
"02/07/2011",-2.6,3.4,84.51,55.4,0,13.2,1020.2,46.9334,26.3597
"02/08/2011",-3.3,5.2,72.37,65.1,0,15.9,1016.2,46.9334,26.3597
"02/09/2011",-7,-1.2,77.42,47.9,0,15.3,1017.6,46.9334,26.3597
"02/10/2011",-11.1,-1.9,69.38,36.6,0,7.1,1022.3,46.9334,26.3597
"02/11/2011",-8.7,-0.1,76.97,81.7,0,41.1,1015.8,46.9334,26.3597
"02/12/2011",-12.2,0.3,85.52,82.4,1.53,33.4,1005.1,46.9334,26.3597
"02/13/2011",-12,-9.1,80.37,42.1,0,35.7,1019.4,46.9334,26.3597
"02/14/2011",-13.4,-7.7,87.63,15.5,0,24.9,1018.7,46.9334,26.3597
"02/15/2011",-15.9,-7.4,76.02,16.9,0,0.8,1019.1,46.9334,26.3597
"02/16/2011",-12.6,-5.6,57.58,17.7,0,53.8,1021.8,46.9334,26.3597
"02/17/2011",-5.6,-0.8,92.3,20.5,0.43,83.9,1018.7,46.9334,26.3597
"02/18/2011",-4.2,0.3,98.44,17.2,0.47,44.3,1016.9,46.9334,26.3597
"02/19/2011",-4.8,-1.7,99.73,33.9,1.76,39.7,1015.6,46.9334,26.3597
"02/20/2011",-5.9,-2.7,97.69,23.6,1.53,46.3,1018.2,46.9334,26.3597
"02/21/2011",-6.6,-4.1,96.15,13,0.17,38.1,1020.6,46.9334,26.3597
"02/22/2011",-8.3,-6.7,97.31,19.3,2.82,35.7,1019.4,46.9334,26.3597
"02/23/2011",-8.7,-5.8,96.43,18.9,3.25,35.8,1023.7,46.9334,26.3597
"02/24/2011",-7.3,-4.4,93.92,23.7,1.12,65.9,1029.3,46.9334,26.3597
"02/25/2011",-6.5,-4.8,94.43,34.8,0.79,48.4,1030.5,46.9334,26.3597
"02/26/2011",-8.5,-5.3,92.37,35.7,0,46.8,1029.5,46.9334,26.3597
"02/27/2011",-7.8,-4.1,75.57,36.5,0,40.9,1026.4,46.9334,26.3597
"02/28/2011",-12.6,-6.6,91.59,21.8,0.86,39.5,1029.8,46.9334,26.3597
"03/01/2011",-12.5,-9.4,92.67,35.3,1.98,37,1034.7,46.9334,26.3597
"03/02/2011",-12.8,-6,84.54,53.1,0,27.3,1039.5,46.9334,26.3597
"03/03/2011",-11.3,-2.9,49.09,31.9,0,33.9,1038.6,46.9334,26.3597
"03/04/2011",-8.9,-1.4,53.79,21.8,0,9.1,1033.5,46.9334,26.3597
"03/05/2011",-7.8,0.4,68.05,36.7,0,7.1,1021.6,46.9334,26.3597
"03/06/2011",-11.6,-6.3,89.45,42.3,0.36,31.9,1014.5,46.9334,26.3597
"03/07/2011",-12.4,-8.8,88.16,33.6,5.09,27.4,1028.2,46.9334,26.3597
