Date time,Minimum Temperature,Maximum Temperature,Relative Humidity,Wind Speed,Precipitation,Cloud Cover,Sea Level Pressure,Latitude,Longitude
01/01/2011,-10,-3.3,91.21,17.8,0,13.6,1018.2,44.9407,26.0233
01/02/2011,-9.9,-2.2,86.76,16.4,0,13.3,1014.9,44.9407,26.0233
01/03/2011,-5,-2,92.28,20.2,1.39,85.3,1018.8,44.9407,26.0233
01/04/2011,-10.1,-2.2,91.61,13.9,0,45,1025.3,44.9407,26.0233
01/05/2011,-8.9,-7.1,87.67,9.8,0,78.5,1029,44.9407,26.0233
01/06/2011,-7.6,-3.3,90.08,9.8,0,80.2,1029.7,44.9407,26.0233
01/07/2011,-7.8,-4.9,93.29,15.6,0,66.8,1029.2,44.9407,26.0233
01/08/2011,-6.6,-0.2,94.07,14,0,29.5,1025.8,44.9407,26.0233
01/09/2011,-2.2,4.2,91.63,15.1,0,34,1023.1,44.9407,26.0233
01/10/2011,-3,1.8,92.54,11,0,52,1025.9,44.9407,26.0233
01/11/2011,0.7,2.5,92.03,9.4,0.22,74.2,1023.4,44.9407,26.0233
01/12/2011,0.4,3.1,93.43,12.8,0.49,88.5,1019.8,44.9407,26.0233
01/13/2011,0.3,3.1,95.32,17.3,0,92.1,1017.2,44.9407,26.0233
01/14/2011,-1.4,8,92.99,16.6,0.92,53.5,1015.8,44.9407,26.0233
01/15/2011,0.2,8,93.63,16.7,0.28,39.4,1015.5,44.9407,26.0233
01/16/2011,-0.1,8.4,88.64,20.3,2.75,45.5,1024,44.9407,26.0233
01/17/2011,-1.9,8.1,85.06,15.5,0,31.4,1029.4,44.9407,26.0233
01/18/2011,-2.6,2.2,93.06,12.4,0,62.2,1025.8,44.9407,26.0233
01/19/2011,-1.5,0.4,92.71,8,0,85.6,1023.1,44.9407,26.0233
01/20/2011,-1.6,0.5,95.22,11.3,0.14,94.4,1019.6,44.9407,26.0233
01/21/2011,-0.3,2.3,91.41,25.4,0,96.3,1022,44.9407,26.0233
01/22/2011,-2.4,0.3,95.31,31.1,8.22,98.3,1022.3,44.9407,26.0233
01/23/2011,-4.1,-0.9,95.03,31.1,5.82,94.3,1016.8,44.9407,26.0233
01/24/2011,-6.6,-2,91.98,12.5,0.22,91.4,1017.5,44.9407,26.0233
01/25/2011,-10.3,-3,87.17,12.5,0.6,48.9,1018.2,44.9407,26.0233
01/26/2011,-14.3,-4.8,87.47,11.1,0,25.6,1016,44.9407,26.0233
01/27/2011,-13.1,-4.5,88.9,15.7,0.73,48.5,1018.7,44.9407,26.0233
01/28/2011,-9.2,-3.1,84.77,20.4,0.92,40.1,1025.5,44.9407,26.0233
01/29/2011,-11.7,-0.4,77.3,12.1,0,40.2,1027.1,44.9407,26.0233
01/30/2011,-11.4,-3.5,81.99,17.4,0,2.6,1021.7,44.9407,26.0233
01/31/2011,-13,-3,83.17,10.5,0,39,1024.7,44.9407,26.0233
02/01/2011,-14.2,-6.3,83.77,20.6,0,48.2,1026.9,44.9407,26.0233
02/02/2011,-11.4,-4,84.16,17,0,38.6,1023.8,44.9407,26.0233
02/03/2011,-14,-4.9,80.07,14,0,15.3,1025.8,44.9407,26.0233
02/04/2011,-12.8,-0.8,82.98,17.8,0,7.4,1027,44.9407,26.0233
02/05/2011,-8.1,3.8,79.98,26.8,0,20.5,1021.7,44.9407,26.0233
02/06/2011,-1.2,6.7,77.73,32.7,0,23,1019.4,44.9407,26.0233
02/07/2011,-1.9,7.6,81.53,18.1,0,3.3,1022.1,44.9407,26.0233
02/08/2011,-2.9,9.3,75.06,21,0,13.6,1017.9,44.9407,26.0233
02/09/2011,-1.9,8.6,73.88,23.7,0,3.2,1017.9,44.9407,26.0233
02/10/2011,-4.3,8,67.19,27.2,0,3.9,1022.1,44.9407,26.0233
02/11/2011,-4.4,5.9,73.3,27.6,0,21.2,1018.4,44.9407,26.0233
02/12/2011,-1.8,12.2,58.68,40.8,2.29,23.4,1006.7,44.9407,26.0233
02/13/2011,-7.1,3.7,62.42,21.1,0,19.9,1019.4,44.9407,26.0233
02/14/2011,-5.1,-1,73.93,25.8,1.38,48.2,1017,44.9407,26.0233
02/15/2011,-8.1,-3,61.72,21,0,60.8,1018.1,44.9407,26.0233
02/16/2011,-9.5,-1.8,73.21,16.2,0,48.7,1021.5,44.9407,26.0233
02/17/2011,-3.7,1.9,87.49,22.5,0.64,88.1,1018.2,44.9407,26.0233
02/18/2011,-0.9,2.4,96.21,22.6,0.92,93.6,1015.7,44.9407,26.0233
02/19/2011,-1.6,2.2,94.95,26.8,7.97,90,1012.2,44.9407,26.0233
02/20/2011,-4.2,-1.7,83.96,17.4,1.01,80.9,1017.6,44.9407,26.0233
02/21/2011,-5.1,0.2,83.83,21.9,0.32,71.1,1019.4,44.9407,26.0233
02/22/2011,-3.9,-1.9,92.98,27.3,4.25,97.4,1016.6,44.9407,26.0233
02/23/2011,-4,-2.8,91.18,26.4,3.18,99.7,1020.3,44.9407,26.0233
02/24/2011,-5.1,-2.4,84.94,23.4,0.46,96.9,1026,44.9407,26.0233
02/25/2011,-5.3,-2.7,85.79,24.2,1.15,97.8,1026.6,44.9407,26.0233
02/26/2011,-5.5,-2.7,83.78,17.3,0,96.4,1027.5,44.9407,26.0233
02/27/2011,-6.3,-3.2,81.78,16.6,0,82.9,1025.2,44.9407,26.0233
02/28/2011,-9.8,-2.1,76.39,14.8,0,53.8,1028.6,44.9407,26.0233
03/01/2011,-6,-2,74,15.1,0,72.7,1033.7,44.9407,26.0233
03/02/2011,-6,-0.4,75.24,24.6,0,64.2,1037.5,44.9407,26.0233
03/03/2011,-4.8,0.9,67.83,17.5,0.69,49.3,1036.9,44.9407,26.0233
03/04/2011,-4.1,3.4,82.19,15.2,0.83,49.8,1033,44.9407,26.0233
03/05/2011,-5.1,6.2,76.23,20.4,0,1.5,1022.2,44.9407,26.0233
03/06/2011,-4.5,3.9,80.35,25.4,2.29,37,1013.4,44.9407,26.0233
03/07/2011,-5.1,2.7,62.43,30.8,3.3,43.7,1026.1,44.9407,26.0233
03/08/2011,-5.5,0.6,53.16,24,0,20.3,1033,44.9407,26.0233
03/09/2011,-5.6,1.6,48.27,22.8,0,49.9,1027.3,44.9407,26.0233
03/10/2011,-3.5,7.5,60.09,15.9,0.37,28.8,1021.4,44.9407,26.0233
03/11/2011,-4.8,13.5,63.86,16.8,0,16.1,1020.9,44.9407,26.0233
03/12/2011,-1.6,15.1,61.39,12.2,0,8.3,1024.1,44.9407,26.0233
03/13/2011,-0.8,18.3,56.93,12,0,17,1023.7,44.9407,26.0233
03/14/2011,0.3,19.9,57.82,22.8,0,19.5,1022.3,44.9407,26.0233
03/15/2011,2.9,20.4,55.95,14.3,0,16.8,1021.7,44.9407,26.0233
03/16/2011,9.7,19.4,61.03,24.7,0,34,1020.7,44.9407,26.0233
03/17/2011,2.2,8.7,93.64,41.4,0.46,77,1019.5,44.9407,26.0233
03/18/2011,2.1,5.1,93.66,16.3,0,96.6,1018.6,44.9407,26.0233
03/19/2011,1,5.3,89.12,13.4,6.74,99.1,1020.3,44.9407,26.0233
03/20/2011,3,6.1,77.7,26.2,0.23,95.9,1026,44.9407,26.0233
03/21/2011,1.5,7.1,58.28,28.2,0,72.3,1031.7,44.9407,26.0233
03/22/2011,-3.8,8.6,67.94,16.6,0,36.7,1033.8,44.9407,26.0233
03/23/2011,-0.5,14.3,62.2,19,0,39.1,1027.6,44.9407,26.0233
03/24/2011,2.2,18.4,51.89,33.1,0,10,1025.1,44.9407,26.0233
03/25/2011,1.9,18.4,47.1,25.7,0,9.5,1019.9,44.9407,26.0233
03/26/2011,2.9,20.7,46.52,34.5,0,22,1011.1,44.9407,26.0233
03/27/2011,2.5,10,73.56,33.9,0,45.6,1018.2,44.9407,26.0233
03/28/2011,0.3,9.9,86.21,20.6,0.09,66.7,1019.5,44.9407,26.0233
03/29/2011,5.1,10.9,84.81,19.9,7.8,49.8,1016,44.9407,26.0233
03/30/2011,4.8,14.4,70.22,17.4,0,61.7,1019.6,44.9407,26.0233
03/31/2011,0.7,15.2,74.73,9.2,0,31.4,1022.9,44.9407,26.0233
04/01/2011,3.6,10.9,84.16,11.9,0,66.3,1025.7,44.9407,26.0233
04/02/2011,6.9,14.4,73.37,16.2,0,70.4,1021.3,44.9407,26.0233
04/03/2011,5.6,12.8,57.66,30.6,0,48.4,1017.2,44.9407,26.0233
04/04/2011,3.4,12.3,71.7,15.8,0,57.2,1017.7,44.9407,26.0233
04/05/2011,2.8,15.8,77.85,23.8,0,50.6,1018.2,44.9407,26.0233
04/06/2011,6.9,12.1,81.02,17.7,1.21,72.2,1021.6,44.9407,26.0233
04/07/2011,3.2,18.5,69.11,33.3,0,28.8,1017.6,44.9407,26.0233
04/08/2011,8,13.7,69.95,31.3,0,51.8,1005.9,44.9407,26.0233
