"Date time","Minimum Temperature","Maximum Temperature","Relative Humidity","Wind Speed","Precipitation","Cloud Cover","Sea Level Pressure","Latitude","Longitude"
"01/01/2011",-9.7,-4,93.24,5.4,0,56.8,1022.9,45.2878,21.8878
"01/02/2011",-9.7,-3.1,94.89,6.1,0,61.5,1018.8,45.2878,21.8878
"01/03/2011",-5.6,-2.4,97.61,7.5,0,87.3,1021.9,45.2878,21.8878
"01/04/2011",-10.6,-2.8,90.46,6.7,0,80,1026.4,45.2878,21.8878
"01/05/2011",-11.7,0.5,80.15,21.9,0,26.7,1025.9,45.2878,21.8878
"01/06/2011",-4.1,2.4,70.6,33.2,0,25.9,1025.5,45.2878,21.8878
"01/07/2011",-0.5,6.3,72.05,33.3,0,77.2,1025.5,45.2878,21.8878
"01/08/2011",4.8,9.7,70.9,22.3,0,71.6,1023.5,45.2878,21.8878
"01/09/2011",6.1,14.9,72.5,12,0.08,49.3,1022.8,45.2878,21.8878
"01/10/2011",6.1,13.4,69.37,22.8,0,14.9,1022.6,45.2878,21.8878
"01/11/2011",5.2,8.6,74.77,31.4,0,34.9,1019.1,45.2878,21.8878
"01/12/2011",5.1,9.3,78.12,33.9,0,54.8,1018.1,45.2878,21.8878
"01/13/2011",2.1,6.4,93.68,9.9,0,80.3,1019,45.2878,21.8878
"01/14/2011",4.3,8.9,96.32,8.9,3.09,89.1,1018.5,45.2878,21.8878
"01/15/2011",4.5,9.4,94.22,16.3,0.5,72.1,1019.6,45.2878,21.8878
"01/16/2011",-0.4,8.5,92.49,11.7,0.35,40.7,1028.7,45.2878,21.8878
"01/17/2011",-2,11,87.58,10.2,0,2.9,1029.9,45.2878,21.8878
"01/18/2011",-1.2,10,88.19,15.2,0,40.4,1025.4,45.2878,21.8878
"01/19/2011",0.6,1.6,99.12,6.6,0.14,85.3,1024,45.2878,21.8878
"01/20/2011",0.3,2,98.64,7.3,1.96,95.2,1020,45.2878,21.8878
"01/21/2011",-0.2,1.2,98.95,5.7,13.28,96.2,1021.8,45.2878,21.8878
"01/22/2011",-0.9,0.5,98.84,7,5.1,95.3,1023,45.2878,21.8878
"01/23/2011",-2.9,-0.3,98.5,10.6,10.36,95.5,1018.8,45.2878,21.8878
"01/24/2011",-7.6,-0.9,96.65,13.3,1.84,88.9,1018.9,45.2878,21.8878
