Date time,Minimum Temperature,Maximum Temperature,Relative Humidity,Wind Speed,Precipitation,Cloud Cover,Sea Level Pressure,Latitude,Longitude
01/01/2011,-7,-2.9,93.6,11,0,98.4,,47.7933,22.8766
01/02/2011,-4,-2,97.24,14.8,0,92.2,,47.7933,22.8766
01/03/2011,-3,-1,93.9,7.7,0,94,,47.7933,22.8766
01/04/2011,-4,-2,87.22,7.6,0,96.6,,47.7933,22.8766
01/05/2011,-11,-3.1,85.95,11.5,0,29.7,,47.7933,22.8766
01/06/2011,-12,0,81.27,21.8,0,27,,47.7933,22.8766
01/07/2011,0,2,79.84,18,0,95.5,,47.7933,22.8766
01/08/2011,1,4,95.23,14.6,0,96.3,,47.7933,22.8766
01/09/2011,3,8.9,96.38,17.9,0,75.1,,47.7933,22.8766
01/10/2011,3.1,11,89.16,14.6,0,47.6,,47.7933,22.8766
01/11/2011,1,9,95.27,10.8,0,41.1,,47.7933,22.8766
01/12/2011,0,5,96.49,11.2,0,76.8,,47.7933,22.8766
01/13/2011,3,5,95.25,18.4,0,81.4,,47.7933,22.8766
01/14/2011,3.9,6,97.52,11,0,87.1,,47.7933,22.8766
01/15/2011,4,8.9,96.98,21.6,0,91.7,,47.7933,22.8766
01/16/2011,1,10,85.99,21.8,0,51.5,,47.7933,22.8766
01/17/2011,-0.9,9,94.49,11,0,49.1,,47.7933,22.8766
01/18/2011,-1.9,8,91.47,14.6,0,12.3,,47.7933,22.8766
01/19/2011,0,2,98.88,10.8,0,86.4,,47.7933,22.8766
01/20/2011,0,1.1,98.86,7.4,0,95.5,,47.7933,22.8766
01/21/2011,-1,2.9,87.63,14.4,0,43.6,,47.7933,22.8766
01/22/2011,0,0.1,90.75,14.4,0,94.5,,47.7933,22.8766
01/23/2011,-3.9,1,83.2,17.9,0,50.7,,47.7933,22.8766
01/24/2011,-7,1,85.14,11.2,0,23.3,,47.7933,22.8766
01/25/2011,-8,-2,89.4,11.2,0,49.7,,47.7933,22.8766
01/26/2011,-4.1,-1,81.42,11.2,0,71.3,,47.7933,22.8766
01/27/2011,-9.8,-1,90.61,7.6,0,81.8,,47.7933,22.8766
01/28/2011,-8.9,-0.9,96.12,14.6,0,29.6,,47.7933,22.8766
01/29/2011,-11,1.8,84.54,14.4,0,0.2,,47.7933,22.8766
01/30/2011,-12,-1.1,89.13,11,0,1.2,,47.7933,22.8766
01/31/2011,-11,-6.9,95.16,10.8,0,77.9,,47.7933,22.8766
02/01/2011,-8,-7,94.03,7.6,0,94.6,,47.7933,22.8766
02/02/2011,-8,-7,92.59,10.8,0,97.8,,47.7933,22.8766
02/03/2011,-7,-5,91.34,7.6,0,98.5,,47.7933,22.8766
02/04/2011,-6,-3.1,85.96,17.9,0,95.8,,47.7933,22.8766
02/05/2011,-5,0.9,88.91,14.6,0,98.4,,47.7933,22.8766
02/06/2011,-0.9,6.8,86.63,21.6,0,91.5,,47.7933,22.8766
02/07/2011,-1.8,9.9,87.47,14.6,0,33.5,,47.7933,22.8766
02/08/2011,-3.9,10.8,88.58,17.7,0,9.3,,47.7933,22.8766
02/09/2011,-2,5,94.76,17.9,0,46,,47.7933,22.8766
02/10/2011,-4,1,96.98,11.2,0,55.2,,47.7933,22.8766
02/11/2011,-5.9,4,89.98,14.8,0,62.4,,47.7933,22.8766
02/12/2011,-4,5.8,75.4,49.4,0,40,,47.7933,22.8766
02/13/2011,-7.1,2,74.25,17.7,0,23.7,,47.7933,22.8766
02/14/2011,-7,1,74.06,14.9,0,23.1,,47.7933,22.8766
02/15/2011,-10.9,2,72.14,14.6,0,2.2,1008.6,47.7933,22.8766
02/16/2011,-6,3.1,58.45,22,0,32.4,,47.7933,22.8766
02/17/2011,-1,6,71.38,14.8,0,53.8,,47.7933,22.8766
02/18/2011,0.1,10,86.17,14.3,0,60.7,,47.7933,22.8766
02/19/2011,0,8,92.32,11,0,58.3,,47.7933,22.8766
02/20/2011,-1,1,92.01,10.8,0,95.2,,47.7933,22.8766
02/21/2011,-3,-1,83.54,14.6,0,79.3,,47.7933,22.8766
02/22/2011,-5,-1,88.79,14.4,0,81.4,,47.7933,22.8766
02/23/2011,-5,-2,90.19,11.3,0,94.4,,47.7933,22.8766
02/24/2011,-6,-3,96.01,14.4,0,68.9,,47.7933,22.8766
02/25/2011,-5,-1,91.84,11.2,0,81.5,,47.7933,22.8766
02/26/2011,-10,0,82.4,11.2,0,29.5,,47.7933,22.8766
02/27/2011,-12.9,0.9,87.82,7.6,0,63.8,,47.7933,22.8766
02/28/2011,-2,1,90.09,7.4,0,97.3,,47.7933,22.8766
03/01/2011,-6.9,3,85.03,11.2,0,44.2,,47.7933,22.8766
03/02/2011,-5.8,5,70.76,14.8,0,28.2,,47.7933,22.8766
03/03/2011,-3,4,79.19,14.3,0,38.8,,47.7933,22.8766
03/04/2011,-2.1,2,90.92,14.6,0,91,,47.7933,22.8766
03/05/2011,0,2,81.97,11.2,0,97.4,,47.7933,22.8766
03/06/2011,-1,4,78.52,34.5,0,69.4,,47.7933,22.8766
03/07/2011,-4,3,70.88,28.3,0,10.3,,47.7933,22.8766
03/08/2011,-7,3,66.68,14.4,0,0,,47.7933,22.8766
03/09/2011,-7,5,71.25,11.2,0,0,,47.7933,22.8766
03/10/2011,-6.1,7,71.03,11.2,0,20.5,,47.7933,22.8766
03/11/2011,0.1,8,73.4,18.2,0,60.2,,47.7933,22.8766
03/12/2011,-1.9,15,70.82,14.8,0,10.5,,47.7933,22.8766
03/13/2011,2.1,18,64.07,14.8,0,21.7,,47.7933,22.8766
03/14/2011,0.1,17,75.72,25.6,0,23.8,,47.7933,22.8766
03/15/2011,6.2,18,80.73,14.6,0,47.3,,47.7933,22.8766
03/16/2011,5,21,72.75,18,0,29.9,,47.7933,22.8766
03/17/2011,10,15,76.23,22,0,55.5,,47.7933,22.8766
03/18/2011,7,16,78.48,18.4,0,54.8,,47.7933,22.8766
03/19/2011,5,9,95.01,17.7,0,96.4,,47.7933,22.8766
03/20/2011,3,6,88.56,21.5,0,95.2,,47.7933,22.8766
03/21/2011,2,11,70.6,14.8,0,57,,47.7933,22.8766
03/22/2011,-2,12,72.16,11.3,0,30.7,,47.7933,22.8766
03/23/2011,2,14,76.25,25.6,0,26.2,,47.7933,22.8766
03/24/2011,-0.1,15,74.08,25.8,0,0.8,,47.7933,22.8766
03/25/2011,1.9,17,69.92,30.7,0,0.6,,47.7933,22.8766
03/26/2011,5,16,74.21,31.3,0,33.8,,47.7933,22.8766
03/27/2011,3,11,67.05,14.8,0,81.5,,47.7933,22.8766
03/28/2011,5,7,93.48,11.2,0,97.2,,47.7933,22.8766
03/29/2011,1.1,14,84.35,11.5,0,33.1,,47.7933,22.8766
03/30/2011,-0.9,17,71.92,14.7,0,0.2,,47.7933,22.8766
03/31/2011,0.1,19,68.29,11.2,0,0.6,,47.7933,22.8766
04/01/2011,2,16,76.12,21.6,0,15.5,,47.7933,22.8766
04/02/2011,4,18,76.85,18.4,0,18.6,,47.7933,22.8766
04/03/2011,3.1,20,62.85,14.8,0,7.9,,47.7933,22.8766
04/04/2011,2,19,58.55,14.8,0,0.2,,47.7933,22.8766
04/05/2011,6,10.2,84.67,29.4,0,53.6,,47.7933,22.8766
04/06/2011,3,16,73.98,18.5,0,30.7,,47.7933,22.8766
04/07/2011,9.9,20.7,72.17,30.2,0,79.7,,47.7933,22.8766
04/08/2011,9,14,64.37,48.9,0,47.7,,47.7933,22.8766
04/09/2011,6,11,65.06,49.4,0,50.7,,47.7933,22.8766
04/10/2011,1,10,69.21,45.5,0,63.9,,47.7933,22.8766
04/11/2011,0,12,64.15,29.4,0,19.8,,47.7933,22.8766
04/12/2011,4.9,10.9,89.65,22,0,85.9,,47.7933,22.8766
04/13/2011,4,11,77.31,29,0,64.6,,47.7933,22.8766
04/14/2011,0,12,81.2,29,0,45.3,,47.7933,22.8766
04/15/2011,5,12.1,74.04,18.4,0,41.6,,47.7933,22.8766
04/16/2011,4,15,56.33,17.9,0,37.7,,47.7933,22.8766
04/17/2011,1.1,17,65.6,11.2,0,13.7,,47.7933,22.8766
04/18/2011,2,18.1,66.92,14.8,0,24.4,,47.7933,22.8766
04/19/2011,5,20,66.1,22.3,0,12.8,,47.7933,22.8766
04/20/2011,4,21,54.12,14.6,0,0.2,,47.7933,22.8766
04/21/2011,3.1,22.1,60.6,14.6,0,0.3,,47.7933,22.8766
04/22/2011,5,23.1,62.98,21.8,0,2.2,,47.7933,22.8766
04/23/2011,8,22,60.12,14.8,0,4,,47.7933,22.8766
04/24/2011,7,24,61.06,14.4,0,15.5,,47.7933,22.8766
04/25/2011,12,23,46.21,25.6,0,36.6,,47.7933,22.8766
04/26/2011,11.2,23,38.9,31.1,0,6.4,,47.7933,22.8766
04/27/2011,7.1,23,47.83,31.1,0,11.8,,47.7933,22.8766
04/28/2011,8,23,55.46,21.8,0,21.7,,47.7933,22.8766
04/29/2011,7,22,59.06,25.2,0,25,,47.7933,22.8766
04/30/2011,6,23,63.8,21.8,0,20.1,,47.7933,22.8766
05/01/2011,8,20,73.19,18.4,0,49.9,,47.7933,22.8766
05/02/2011,8,15,84.77,22.3,0,72.9,,47.7933,22.8766
05/03/2011,2.1,19,75.46,21.8,0,5.1,,47.7933,22.8766
05/04/2011,4,13,78.11,25.6,0,58.8,,47.7933,22.8766
05/05/2011,-1,15,61.57,30.9,0,8.3,,47.7933,22.8766
05/06/2011,-2,15.9,59.98,18.4,0,13.4,,47.7933,22.8766
05/07/2011,2.1,12,67.96,30.4,0,48.6,,47.7933,22.8766
05/08/2011,4,16,67.11,25.4,0,66.2,,47.7933,22.8766
05/09/2011,8,22,57.13,31.1,0,26.3,,47.7933,22.8766
05/10/2011,8,25,62.43,22.1,0,34.5,,47.7933,22.8766
05/11/2011,7,24,52.26,21.6,0,22.5,,47.7933,22.8766
05/12/2011,7,25,51.15,14.6,0,3.3,,47.7933,22.8766
05/13/2011,6,24,66,25.4,0,12.8,,47.7933,22.8766
05/14/2011,7,23,62.29,17.5,0,1,,47.7933,22.8766
05/15/2011,8,25,62.49,18.4,0,64,,47.7933,22.8766
05/16/2011,10,15.1,92.55,29,0,93.2,,47.7933,22.8766
05/17/2011,10,22,81.53,10.8,0,70.9,,47.7933,22.8766
05/18/2011,8.1,25,73.66,11.2,0,14.5,,47.7933,22.8766
05/19/2011,10.1,28,66.78,25.9,0,14.2,,47.7933,22.8766
05/20/2011,10.2,28.9,67,40.9,0,13.5,,47.7933,22.8766
05/21/2011,10,28,67.8,17.9,0,11.3,,47.7933,22.8766
05/22/2011,11.1,29,60.82,17.7,0,5.4,,47.7933,22.8766
05/23/2011,12.1,28,67.96,22,0,12.9,,47.7933,22.8766
05/24/2011,10,30,66.31,11.2,0,13.7,,47.7933,22.8766
05/25/2011,13,25,64.35,29,0,7.5,,47.7933,22.8766
05/26/2011,6.1,26,56.74,17.9,0,1.1,,47.7933,22.8766
05/27/2011,10.1,28,65.37,14.3,0,13.3,,47.7933,22.8766
05/28/2011,14,30,62.2,28.3,0,20,,47.7933,22.8766
