Date time,Minimum Temperature,Maximum Temperature,Relative Humidity,Wind Speed,Precipitation,Cloud Cover,Sea Level Pressure,Latitude,Longitude
01/01/2011,-13.3,-7.6,77.31,31.9,0,59.9,,45.8634,25.8049
01/02/2011,-11.5,-5.1,78.6,37.4,0,57.5,,45.8634,25.8049
01/03/2011,-14.6,-9.6,93.7,18.5,1.66,91.3,,45.8634,25.8049
01/04/2011,-18.2,-12.6,72.73,28.1,0,49,,45.8634,25.8049
01/05/2011,-16,-11.3,56.11,16.8,0,54.5,,45.8634,25.8049
01/06/2011,-18.5,-12.9,60.71,9.3,0,18.7,,45.8634,25.8049
01/07/2011,-16.5,-6.5,80.8,24.3,0,56.7,,45.8634,25.8049
01/08/2011,-6.2,-0.8,87.95,24.3,0,86.3,,45.8634,25.8049
01/09/2011,-2.8,-0.4,93.66,28.1,0.29,80.9,,45.8634,25.8049
01/10/2011,-3.6,-1.2,72.67,7.2,0,36.2,,45.8634,25.8049
01/11/2011,-3.8,-1.8,73.81,9.3,0,37.6,,45.8634,25.8049
01/12/2011,-5.5,-2.9,78.25,20.6,0,28.6,,45.8634,25.8049
01/13/2011,-5.2,-2,88.48,34.6,0,71.7,,45.8634,25.8049
01/14/2011,-5.2,-1,91.7,35.7,1.05,81.4,,45.8634,25.8049
01/15/2011,-2.7,0,98.7,39.4,0.31,39.9,,45.8634,25.8049
01/16/2011,-4.5,-2.2,95.85,35.7,3.43,45.4,,45.8634,25.8049
01/17/2011,-6.8,0.8,84.62,33.9,0,40.1,,45.8634,25.8049
01/18/2011,-5.4,-2.4,75.09,33.6,0,59.5,,45.8634,25.8049
01/19/2011,-6.5,-3.8,75.1,16.8,0,33,,45.8634,25.8049
01/20/2011,-6,-3.5,88.59,20.6,0.25,84.2,,45.8634,25.8049
01/21/2011,-5,-2.6,89.66,24,0,84,,45.8634,25.8049
01/22/2011,-6.1,-4.2,91.34,27.8,2.5,92.5,,45.8634,25.8049
01/23/2011,-11,-5.5,91.61,31.5,5.31,92.3,,45.8634,25.8049
01/24/2011,-13.7,-8.1,82.84,27.4,0,84,,45.8634,25.8049
01/25/2011,-18.5,-10.7,73.67,23.7,0.82,53.7,,45.8634,25.8049
01/26/2011,-21,-9.6,68.71,13,0,37.9,,45.8634,25.8049
01/27/2011,-15,-8.7,82.56,16.8,0.84,73.7,,45.8634,25.8049
01/28/2011,-15.1,-8.9,73.47,20.6,1.05,49.1,,45.8634,25.8049
01/29/2011,-16.3,-9.1,60.94,16.8,0,9.7,,45.8634,25.8049
01/30/2011,-17.3,-9.4,63.04,20.2,0,2.8,,45.8634,25.8049
01/31/2011,-17.6,-12.5,59.99,29.8,0,35.4,,45.8634,25.8049
02/01/2011,-15.4,-10.1,54.49,35.7,0,6,,45.8634,25.8049
02/02/2011,-16.1,-6.5,56.38,20.6,0,12.4,,45.8634,25.8049
02/03/2011,-14.7,-8.7,55.2,24.3,0,14.5,,45.8634,25.8049
02/04/2011,-14.4,-5.1,78.67,28.1,0,42.3,,45.8634,25.8049
02/05/2011,-12.4,-1.2,81.58,67.6,0,49.4,,45.8634,25.8049
02/06/2011,-2,-0.2,83.15,74.4,0.05,73.9,,45.8634,25.8049
02/07/2011,-3.7,1.5,77.78,39.4,0,33.3,,45.8634,25.8049
02/08/2011,-4.4,0.1,53.51,47,0,6.8,,45.8634,25.8049
02/09/2011,-11,-4.8,69,67.6,0,15.5,,45.8634,25.8049
02/10/2011,-13.5,-6.4,68.99,77.8,0,12.2,,45.8634,25.8049
02/11/2011,-9.5,-0.9,61.59,61.4,0,46.9,,45.8634,25.8049
02/12/2011,-13.7,-1.6,86.95,76.8,5.91,35.9,,45.8634,25.8049
02/13/2011,-13.9,-8.3,62.29,74.4,0,24.5,,45.8634,25.8049
02/14/2011,-12.5,-6.4,70.37,29.8,1.57,65.3,,45.8634,25.8049
02/15/2011,-15.8,-8.2,60.84,29.8,0,20.9,,45.8634,25.8049
02/16/2011,-15.3,-4.4,65.79,16.8,0,53.1,,45.8634,25.8049
