Date time,Minimum Temperature,Maximum Temperature,Relative Humidity,Wind Speed,Precipitation,Cloud Cover,Sea Level Pressure,Latitude,Longitude
01/01/2011,-11.3,-2.2,92.85,14.1,0,17.7,1018.6,44.5677,27.3855
01/02/2011,-9.2,-1.1,92.06,11,0,20.3,1015,44.5677,27.3855
01/03/2011,-6.8,-0.8,97.6,20.8,9.01,92.8,1018.2,44.5677,27.3855
01/04/2011,-9.6,-2.3,95.34,13.1,0,70.8,1025.1,44.5677,27.3855
01/05/2011,-11,-5.1,95.98,5.1,0,61.4,1028.9,44.5677,27.3855
01/06/2011,-11.8,-4.4,95.69,7,0,80.6,1029.6,44.5677,27.3855
01/07/2011,-6.8,-4.7,97.31,6,0,61.3,1029.5,44.5677,27.3855
01/08/2011,-8.2,-0.5,95.72,5.9,0,21.6,1026,44.5677,27.3855
01/09/2011,-4,2.9,97.64,10.5,2.36,96.3,1023.3,44.5677,27.3855
01/10/2011,-1.5,3.5,98.81,9.2,0,71.6,1025.7,44.5677,27.3855
01/11/2011,1.1,5,96.75,8.6,0.09,92.6,1023.2,44.5677,27.3855
01/12/2011,1.5,4,98.38,14,0.19,95.4,1019.8,44.5677,27.3855
01/13/2011,0.4,4.6,95.51,14.8,0,97.9,1017.5,44.5677,27.3855
01/14/2011,1.4,3.7,98.71,8.4,0,54.9,1015.9,44.5677,27.3855
01/15/2011,0.2,9.7,94.47,14.6,0,62.6,1015.7,44.5677,27.3855
01/16/2011,0.3,8,89.23,25.8,0,83.7,1023.6,44.5677,27.3855
01/17/2011,-0.7,7.9,89.7,12,0,43.8,1029.5,44.5677,27.3855
01/18/2011,-1.8,1.3,98.04,6.2,0,34.2,1026.1,44.5677,27.3855
01/19/2011,-0.8,0.9,99.18,5.9,0,56.9,1023.3,44.5677,27.3855
01/20/2011,1,5.7,97.2,11.6,0,88.9,1019.5,44.5677,27.3855
01/21/2011,0.4,3.8,96.95,19.9,2.6,98.5,1021.7,44.5677,27.3855
01/22/2011,-0.4,2.4,97.76,33.8,23.87,100,1021.8,44.5677,27.3855
01/23/2011,-2.9,-0.4,96.97,20.7,13.76,100,1016.3,44.5677,27.3855
01/24/2011,-4.9,0.3,95.7,6.2,0.87,97.1,1017.8,44.5677,27.3855
01/25/2011,-9.3,-2.4,92.19,8.8,0.79,84.3,1018.1,44.5677,27.3855
01/26/2011,-11.4,-4.9,94.39,6.9,0,57.5,1016.3,44.5677,27.3855
01/27/2011,-10.2,-6,95.95,6.7,0,48.5,1018.9,44.5677,27.3855
01/28/2011,-9,-3.9,94.25,12.1,0.31,65.4,1025.3,44.5677,27.3855
01/29/2011,-8.6,0.5,88.73,12.5,0,20.6,1026.5,44.5677,27.3855
01/30/2011,-11.7,-4.1,90.95,14.5,0,0.5,1021.6,44.5677,27.3855
01/31/2011,-11.5,-3.9,92.12,8.1,0,48.8,1024.5,44.5677,27.3855
02/01/2011,-9.6,-6.2,92.69,14.9,0,76.9,1026.9,44.5677,27.3855
02/02/2011,-9.5,-4.7,91.69,11.7,0,53,1023.9,44.5677,27.3855
