"Date time","Minimum Temperature","Maximum Temperature","Relative Humidity","Wind Speed","Precipitation","Cloud Cover","Sea Level Pressure","Latitude","Longitude"
"01/01/2011",-5.9,-0.1,73.04,29.2,0,42.7,1015.2,47.6437,26.261
"01/02/2011",-7.7,0.1,66.32,25.4,0.04,47.8,1014.3,47.6437,26.261
"01/03/2011",-11.7,-3,74.53,14.3,0.07,33,1020.9,47.6437,26.261
"01/04/2011",-11.1,-4.1,75.86,14.3,0,1.6,1025.4,47.6437,26.261
"01/05/2011",-14.2,-10.2,84.71,17.7,0,20.9,1028.5,47.6437,26.261
"01/06/2011",-14.1,-5.9,93.38,14.9,0,22.6,1027.2,47.6437,26.261
"01/07/2011",-8.9,1.7,91.52,18.1,0.08,21.6,1024.7,47.6437,26.261
"01/08/2011",-2.4,2.8,88.42,12.7,0,12.4,1023.6,47.6437,26.261
"01/09/2011",-0.1,2.9,90.75,11.1,0,83.2,1021.8,47.6437,26.261
"01/10/2011",-1.9,1.9,95.99,19.9,0,24.6,1024.4,47.6437,26.261
"01/11/2011",-1.9,2,98.56,25.7,0,65.4,1023.3,47.6437,26.261
"01/12/2011",0,5.6,97.49,22.2,0,51.2,1017.3,47.6437,26.261
"01/13/2011",0.9,3.9,95.08,22.5,0.86,46.6,1015.4,47.6437,26.261
"01/14/2011",1.9,6.8,81.94,17.8,0,60.3,1014.2,47.6437,26.261
"01/15/2011",3.9,9.8,83.86,30.8,0,89.6,1014.2,47.6437,26.261
"01/16/2011",-0.9,6,92.35,38.1,0.46,82.2,1025.9,47.6437,26.261
"01/17/2011",0,8,80.06,14.7,0,60.6,1028,47.6437,26.261
"01/18/2011",1,8,76.42,21.8,0,22.6,1024.4,47.6437,26.261
"01/19/2011",0.9,5.9,85.58,14.3,0,54.9,1022.5,47.6437,26.261
"01/20/2011",-1,2,96.83,21.7,0.35,86.9,1018.8,47.6437,26.261
"01/21/2011",-3,0.2,91.66,21.9,0.26,94.9,1024.6,47.6437,26.261
"01/22/2011",-5,-1.9,93.53,18,2.67,94.3,1027.4,47.6437,26.261
"01/23/2011",-6.9,-3.9,85.74,11,0.38,92.1,1019.4,47.6437,26.261
"01/24/2011",-7,-3,82.09,25.4,0.66,47,1017.6,47.6437,26.261
"01/25/2011",-10,-5.5,80.53,17.9,0.04,43.4,1018.1,47.6437,26.261
"01/26/2011",-10.5,-3,77.48,18,0,20.5,1013.3,47.6437,26.261
"01/27/2011",-10,-6,89.47,14.3,0.23,77.4,1019.3,47.6437,26.261
"01/28/2011",-8,-0.5,84.48,18.1,0.05,85.2,1027.5,47.6437,26.261
"01/29/2011",-9,-0.4,84.36,14.3,0,20,1027.2,47.6437,26.261
"01/30/2011",-7.9,1,67.66,28.8,0,0,1020.5,47.6437,26.261
"01/31/2011",-7,-3.9,81.12,30.6,0,71.2,1024.7,47.6437,26.261
"02/01/2011",-9,2,67.35,14.6,0,22.7,1024.7,47.6437,26.261
"02/02/2011",-5.9,3,57.67,32.8,0,20.5,1022.3,47.6437,26.261
"02/03/2011",-4,1,83.55,25.4,0,57.9,1024.6,47.6437,26.261
"02/04/2011",-2,2,78.36,30.5,0,51.1,1023.8,47.6437,26.261
"02/05/2011",0,8,62.93,39.8,0,54.2,1015.6,47.6437,26.261
"02/06/2011",2,10,70.54,30.2,0,89.1,1016,47.6437,26.261
"02/07/2011",2,12.9,78.36,18.2,0,40.5,1019.5,47.6437,26.261
"02/08/2011",1.1,15.9,55.61,29.2,0,1.4,1014.9,47.6437,26.261
"02/09/2011",0.3,6,52.89,37.1,0,5,1017.3,47.6437,26.261
"02/10/2011",-4,3,57.68,45.7,0,23,1022,47.6437,26.261
"02/11/2011",-6,5.9,69.51,29.2,0,39.7,1014.4,47.6437,26.261
"02/12/2011",-4.9,4,71.7,56.8,4.48,65.7,1004.9,47.6437,26.261
"02/13/2011",-7,-2,64.43,34.8,0.17,23.3,1019.1,47.6437,26.261
"02/14/2011",-10.9,-4.4,72.19,23.8,0,27.1,1018.9,47.6437,26.261
"02/15/2011",-13,-4.8,76.25,14.7,0,2.6,1019.5,47.6437,26.261
"02/16/2011",-14,-4.8,79.9,30.8,0,16.4,1021.6,47.6437,26.261
"02/17/2011",-6.9,-2.8,90.25,30.9,0.15,97.5,1018.6,47.6437,26.261
"02/18/2011",-4.9,-3,97.24,29,0.13,68.1,1017.8,47.6437,26.261
"02/19/2011",-5,-2.3,97.41,12.9,1.9,83.8,1016.6,47.6437,26.261
"02/20/2011",-7,-4,93.72,11.1,0.97,89.7,1018.5,47.6437,26.261
"02/21/2011",-8,-5,94.61,11.2,0.98,95.8,1021,47.6437,26.261
"02/22/2011",-9,-4.8,93.94,18.9,1.43,89.3,1020,47.6437,26.261
"02/23/2011",-9.9,-5.7,91.93,11.1,3.24,86.4,1024.7,47.6437,26.261
"02/24/2011",-8,-6.9,91.47,11,0.18,96.8,1030.2,47.6437,26.261
"02/25/2011",-9.9,-7.9,93.09,18.2,0.11,92,1031.8,47.6437,26.261
"02/26/2011",-9.9,-5.6,89.8,22.1,0.17,95.2,1030.5,47.6437,26.261
"02/27/2011",-11,-7.9,90.38,14.7,0.26,70.9,1027.1,47.6437,26.261
"02/28/2011",-9.9,-6.5,89.75,17.9,0.48,93.9,1030.5,47.6437,26.261
"03/01/2011",-8,-5,89.11,29,0.83,92.2,1035.5,47.6437,26.261
