Date time,Minimum Temperature,Maximum Temperature,Relative Humidity,Wind Speed,Precipitation,Cloud Cover,Sea Level Pressure,Latitude,Longitude
01/01/2011,-10.2,-4.1,86.29,26.7,0,20.8,1018.2,44.9269,25.4569
01/02/2011,-9.9,-3.5,83.56,31.8,0,16.7,1014.7,44.9269,25.4569
01/03/2011,-8.8,-4.2,92.54,20.8,2.8,86.6,1018.5,44.9269,25.4569
01/04/2011,-12,-4.8,85.31,20.9,0,41.9,1025.2,44.9269,25.4569
01/05/2011,-11.3,-8.1,73.71,16.4,0,70.6,1028.8,44.9269,25.4569
01/06/2011,-10.6,-4.8,78.78,10.2,0,68.3,1029.6,44.9269,25.4569
01/07/2011,-9.3,-5.2,87.92,22.1,0,61.1,1029.6,44.9269,25.4569
01/08/2011,-6.3,-0.3,92.68,25.4,0,36.4,1025.6,44.9269,25.4569
01/09/2011,-2.5,3.1,90.67,22.8,0,38.2,1023.1,44.9269,25.4569
01/10/2011,-4.6,0.7,82.22,10.7,0,44,1025.6,44.9269,25.4569
01/11/2011,-0.5,1.6,82.16,9.2,0,69.1,1022.9,44.9269,25.4569
01/12/2011,-3.4,1.5,85.15,18.4,0,79.7,1019.7,44.9269,25.4569
01/13/2011,-2,1.1,92.63,24.9,0,88.1,1017.3,44.9269,25.4569
01/14/2011,-3.4,6.3,91.6,29,2,55.1,1015.7,44.9269,25.4569
01/15/2011,-0.9,6,95.44,23.7,0.6,26.1,1015.5,44.9269,25.4569
01/16/2011,-1.8,10.4,90.44,26.9,6,38.2,1023.9,44.9269,25.4569
01/17/2011,-4.7,6.2,82.41,23.9,0,28.9,1029.4,44.9269,25.4569
01/18/2011,-4.5,1.2,84.87,23.3,0,61.6,1025.6,44.9269,25.4569
01/19/2011,-3.3,-0.6,84.17,11.7,0,80.7,1022.8,44.9269,25.4569
01/20/2011,-3.2,-0.7,91.68,17.9,0.3,93.9,1019.3,44.9269,25.4569
01/21/2011,-2.7,0.9,89.4,27.4,0,92,1021.6,44.9269,25.4569
01/22/2011,-4.8,-1,94.21,33.2,3.4,98,1021.6,44.9269,25.4569
01/23/2011,-6.2,-2,93.84,34.2,7.5,94.5,1016.5,44.9269,25.4569
01/24/2011,-10,-4.1,88.84,17,0,91.7,1017,44.9269,25.4569
01/25/2011,-11.6,-5.1,82.89,17.7,1.3,45.4,1018,44.9269,25.4569
01/26/2011,-14.2,-5.8,80.39,13.1,0,29.4,1015.9,44.9269,25.4569
01/27/2011,-13.6,-5.3,86.65,17.6,1.6,49.7,1018.4,44.9269,25.4569
01/28/2011,-12.2,-5.6,79.99,22.8,2,40.3,1025.2,44.9269,25.4569
01/29/2011,-13.3,-2.7,68.61,14.1,0,34.9,1027.1,44.9269,25.4569
01/30/2011,-11.8,-4,73.04,18.9,0,2.3,1021.6,44.9269,25.4569
01/31/2011,-13.5,-5.3,72.86,19.8,0,37.7,1024.6,44.9269,25.4569
02/01/2011,-14.8,-7.6,70.03,26.4,0,42.5,1027.1,44.9269,25.4569
02/02/2011,-11,-4.2,72.51,22.6,0,36.8,1023.7,44.9269,25.4569
02/03/2011,-13.3,-6.3,68.68,19.8,0,13.7,1025.7,44.9269,25.4569
02/04/2011,-12,-1.8,81.13,21.7,0,15,1027,44.9269,25.4569
02/05/2011,-8.2,1.8,79.76,44,0,17.5,1022.2,44.9269,25.4569
02/06/2011,-3.3,5,80.01,74.9,0,33.2,1019.6,44.9269,25.4569
02/07/2011,-3.1,5.5,81.07,26.4,0,5.7,1022.5,44.9269,25.4569
02/08/2011,-2.9,6.9,63.01,32.5,0,13,1018.1,44.9269,25.4569
02/09/2011,-4.8,10.4,71.43,51.6,0,7,1017.8,44.9269,25.4569
02/10/2011,-8.7,7,67.41,51.6,0,8.9,1022,44.9269,25.4569
02/11/2011,-5.5,3.7,69.22,44,0,28.3,1018.2,44.9269,25.4569
02/12/2011,-5.2,13.9,60.38,45.3,1,18.2,1006.9,44.9269,25.4569
02/13/2011,-9.8,6,61.66,38.3,0,22.2,1019.2,44.9269,25.4569
02/14/2011,-7.4,-2.6,71.52,29.9,3,57.9,1016.6,44.9269,25.4569
02/15/2011,-10,-5.1,59.22,26.2,0,55.6,1017.8,44.9269,25.4569
02/16/2011,-11,-2.8,70.59,17.3,0,53.6,1021.1,44.9269,25.4569
02/17/2011,-5.7,0.2,89.54,31.5,0.8,75.9,1017.6,44.9269,25.4569
02/18/2011,-2.7,1.1,95.58,25.1,2,86.3,1015.3,44.9269,25.4569
02/19/2011,-2.7,0.8,96.32,26.3,10.3,70.4,1011.7,44.9269,25.4569
02/20/2011,-6.9,-2.8,86.49,14.3,2.2,82.6,1017.4,44.9269,25.4569
02/21/2011,-6.8,-1.4,84.72,24.3,0.7,73.1,1019,44.9269,25.4569
02/22/2011,-5,-3.2,92.88,30.3,5.6,96.3,1016,44.9269,25.4569
02/23/2011,-5.6,-3.7,91.87,27.2,3.5,99.7,1019.9,44.9269,25.4569
02/24/2011,-6.9,-3,84.35,23.1,1,93.1,1025.9,44.9269,25.4569
02/25/2011,-5.9,-3,87.83,23.5,2.5,97.4,1026.6,44.9269,25.4569
02/26/2011,-6.2,-3.7,85.06,23.9,0,93.3,1027.4,44.9269,25.4569
02/27/2011,-6.8,-3.6,73.13,20.8,0,66.6,1025,44.9269,25.4569
02/28/2011,-9.8,-2.6,70.36,15.2,0,43.6,1028.5,44.9269,25.4569
03/01/2011,-7.6,-1.8,69.65,12.5,0,58.9,1033.5,44.9269,25.4569
03/02/2011,-6.3,-1.4,68.67,24.2,0,63.8,1037.3,44.9269,25.4569
03/03/2011,-5.3,0.5,68.25,20.7,1.5,60.7,1036.6,44.9269,25.4569
03/04/2011,-5.8,1.6,78.12,19.8,1.8,49,1033.1,44.9269,25.4569
03/05/2011,-5.3,5.2,62.01,16.9,0,0.2,1022.5,44.9269,25.4569
