Date time,Minimum Temperature,Maximum Temperature,Relative Humidity,Wind Speed,Precipitation,Cloud Cover,Sea Level Pressure,Latitude,Longitude
01/01/2011,-10,-5.1,90.55,7.5,0,66.6,1021.9,46.5426,24.558
01/02/2011,-11.9,-2,88.78,14.2,0,79.1,1017.9,46.5426,24.558
01/03/2011,-7.3,-1,91.22,10.9,0,91.7,1021.3,46.5426,24.558
01/04/2011,-7.2,-5,81.67,10.7,0,96.8,1027.2,46.5426,24.558
01/05/2011,-13.9,-5.9,82.7,11.1,0,39.5,1028.2,46.5426,24.558
01/06/2011,-15.9,-8.1,88.34,7.6,0,45.3,1029,46.5426,24.558
01/07/2011,-14.7,-0.1,87.27,10.7,0,77.9,1026.6,46.5426,24.558
01/08/2011,-2,3,90.9,10.8,0,78.5,1024.6,46.5426,24.558
01/09/2011,1,3.1,95.22,14.3,0,92,1022.9,46.5426,24.558
01/10/2011,0.1,4.8,96.83,11,0,52.8,1024.5,46.5426,24.558
01/11/2011,0,1.2,95.55,7.2,0,43.4,1020.9,46.5426,24.558
01/12/2011,-2,1.1,97.48,11,0,63.7,1018.5,46.5426,24.558
01/13/2011,-0.9,4,97.61,10.8,0,86.7,1017.5,46.5426,24.558
01/14/2011,1,5.9,94.79,10.8,0,97.1,1016.9,46.5426,24.558
01/15/2011,3.9,8,94.61,25.5,0,93.9,1017.5,46.5426,24.558
01/16/2011,-0.9,9,81.43,25.4,0,44,1027.2,46.5426,24.558
01/17/2011,-2.9,1.5,96.03,7.6,0,38,1030.5,46.5426,24.558
01/18/2011,-3,-0.1,97.43,10.7,0,46.5,1027.3,46.5426,24.558
01/19/2011,-3,-1.1,98.19,7.4,0,69.4,1024.5,46.5426,24.558
01/20/2011,-2.1,0,99.08,10.7,0,94.5,1019.7,46.5426,24.558
01/21/2011,-1,0.9,98.51,7.6,0,93.8,1022.7,46.5426,24.558
01/22/2011,-1.1,0.9,97.43,11,0,98.3,1023.7,46.5426,24.558
01/23/2011,-4,-1,91.14,11,0,95.2,1018.1,46.5426,24.558
01/24/2011,-7.2,-1.1,88.96,11.1,0,87.9,1018.5,46.5426,24.558
01/25/2011,-13,-4.1,87.98,10.9,0,55.1,1019.8,46.5426,24.558
01/26/2011,-14.9,-4.2,85.59,7.7,0,24.8,1015.9,46.5426,24.558
01/27/2011,-10.1,-3,88.2,10.6,0,55.1,1018.9,46.5426,24.558
01/28/2011,-11.9,-2.2,92.04,10.7,0,55.9,1026.9,46.5426,24.558
01/29/2011,-15.9,-8.2,90.68,10.8,0,39.2,1029,46.5426,24.558
01/30/2011,-16,-9.1,89.67,14,0,51.1,1025.7,46.5426,24.558
01/31/2011,-15.1,-8.1,94.01,7.4,0,72.7,1028,46.5426,24.558
02/01/2011,-12.3,-10,90.7,7.4,0,63.2,1031.5,46.5426,24.558
02/02/2011,-13.2,-9.1,90.81,13.4,0,67.4,1030.9,46.5426,24.558
02/03/2011,-11.9,-8.1,90.03,11,0,98.6,1031.2,46.5426,24.558
02/04/2011,-10,-7,89.11,10.8,0,99.5,1032.2,46.5426,24.558
02/05/2011,-8,-2.2,86.96,11,0,76,1027.8,46.5426,24.558
02/06/2011,-5.2,2.9,86.69,10.8,0,90.5,1025.3,46.5426,24.558
02/07/2011,-2.2,5.9,90.96,11,0,42.5,1025.8,46.5426,24.558
02/08/2011,-3.1,-1,96.53,14.1,0,59.7,1022.1,46.5426,24.558
02/09/2011,-5.8,5,88.36,14.5,0,37,1022.3,46.5426,24.558
02/10/2011,-7,3,84.25,14.3,0,1.2,1025.6,46.5426,24.558
02/11/2011,-8,3.7,85.1,11,0,25.6,1019.2,46.5426,24.558
02/12/2011,-5.1,5,74.07,39,0,56,1010.9,46.5426,24.558
02/13/2011,-7.1,1.9,69.23,18.2,0,7,1021.4,46.5426,24.558
02/14/2011,-6.9,0.8,73.63,11,0,17.7,1016.9,46.5426,24.558
02/15/2011,-10.9,2.9,75.38,14.1,0,8,1015.7,46.5426,24.558
02/16/2011,-9.9,3.8,73.18,11.2,0,10,1015.3,46.5426,24.558
02/17/2011,-5.9,4.8,75.7,11.2,0,34.1,1012.6,46.5426,24.558
02/18/2011,-3,9.7,80.78,14.3,0,30.8,1012.8,46.5426,24.558
02/19/2011,1.9,6,89.04,10.9,0,91.2,1010.9,46.5426,24.558
02/20/2011,-0.1,2.9,94.34,11,0,96.5,1014.4,46.5426,24.558
02/21/2011,-0.1,1.9,90.71,11.2,0,100,1016.6,46.5426,24.558
02/22/2011,-1.3,2.7,89.16,10.9,0,90.9,1014.7,46.5426,24.558
02/23/2011,-2,2.8,88.56,10.9,0,93.3,1020,46.5426,24.558
02/24/2011,-2.1,0.9,87.98,11,0,92.4,1025.5,46.5426,24.558
02/25/2011,-3.1,1.9,87.21,11.2,0,97.9,1025.8,46.5426,24.558
02/26/2011,-2,4,86.37,14.2,0,61.6,1025.3,46.5426,24.558
02/27/2011,-1.3,2.9,83.19,10.8,0,93.8,1021.3,46.5426,24.558
02/28/2011,-2.1,0,69.63,14.4,0,95.7,1025.4,46.5426,24.558
03/01/2011,-3,3,65.98,14.1,0,81.8,1031.5,46.5426,24.558
03/02/2011,-3.9,5.9,61.43,25.1,0,25.7,1034.2,46.5426,24.558
03/03/2011,-1.9,6.9,58.54,18,0,17.4,1033,46.5426,24.558
03/04/2011,-3.9,5.8,79.6,14.6,0,49.8,1033,46.5426,24.558
03/05/2011,-5.9,3,82.23,14.3,0,49.4,1025.2,46.5426,24.558
03/06/2011,-6.7,3,81.02,25.6,0,72.7,1017.3,46.5426,24.558
03/07/2011,-8.9,2,67.91,21.8,0,20.3,1029.6,46.5426,24.558
03/08/2011,-11,2.9,65.55,14.4,0,3.7,1035.5,46.5426,24.558
03/09/2011,-11.8,5,60.73,10.8,0,0.6,1028.3,46.5426,24.558
03/10/2011,-8.9,7.9,60.23,14.5,0,1.5,1023.5,46.5426,24.558
03/11/2011,-4.9,10,62.42,17.5,0,31.3,1021.5,46.5426,24.558
03/12/2011,1,15,62.48,11,0,33.5,1023.6,46.5426,24.558
03/13/2011,-1.1,19.9,58.82,14.5,0,3.6,1020.9,46.5426,24.558
03/14/2011,-1,18.8,57.48,14.5,0,4.1,1022.2,46.5426,24.558
03/15/2011,-0.9,19.9,59.72,10.9,0,15.6,1021.9,46.5426,24.558
03/16/2011,3.1,20.9,61.12,17.8,0,25.5,1019,46.5426,24.558
03/17/2011,7.1,15.8,70.19,21.5,0,21.9,1012.5,46.5426,24.558
03/18/2011,3,17.9,71.08,17.5,0,30.6,1013.4,46.5426,24.558
03/19/2011,5,10.9,84.72,17.9,0,56.8,1017.2,46.5426,24.558
03/20/2011,4.9,7,90.26,14.3,0,97.8,1024.9,46.5426,24.558
03/21/2011,0,9.8,75.7,10.9,0,60.5,1031.7,46.5426,24.558
03/22/2011,-3,13,66.4,14.5,0,17,1033.4,46.5426,24.558
03/23/2011,4.9,14.9,63.11,31,0,32.4,1029.6,46.5426,24.558
03/24/2011,-0.8,15,58.1,29.3,0,4.7,1027.7,46.5426,24.558
03/25/2011,-1.7,19,59.82,21.9,0,2.6,1019.8,46.5426,24.558
03/26/2011,1.3,18,64.16,37.8,0,25.1,1010,46.5426,24.558
03/27/2011,5.9,11.9,72.54,14.6,0,73.3,1016.3,46.5426,24.558
03/28/2011,5,14.9,80.9,18.2,0,76.3,1014.2,46.5426,24.558
03/29/2011,2.2,14,70.49,11.1,0,58.2,1015.9,46.5426,24.558
03/30/2011,-2.8,16.9,70.38,7.6,0,15.8,1019.1,46.5426,24.558
03/31/2011,0.1,19,63.13,7.7,0,15.6,1021.4,46.5426,24.558
04/01/2011,-0.8,18.9,60.46,25.2,0,12.8,1023.6,46.5426,24.558
04/02/2011,8,17.2,63.73,21.8,0,53.9,1020.7,46.5426,24.558
04/03/2011,2.2,18,58.07,17.4,0,10.7,1017.2,46.5426,24.558
04/04/2011,-0.9,18,58.24,14.4,0,2.2,1015.1,46.5426,24.558
04/05/2011,-0.7,18.7,68.31,30.9,0,25.8,1017.9,46.5426,24.558
04/06/2011,7,16.9,63.88,19.1,0,57.1,1022.6,46.5426,24.558
04/07/2011,3.2,16.2,76.33,14.5,0,61.7,1017.9,46.5426,24.558
04/08/2011,6.1,15.9,58.28,45.7,0,54.8,1007.7,46.5426,24.558
04/09/2011,6.1,13,57.6,53.8,0,51.9,1005.4,46.5426,24.558
04/10/2011,2,8.9,60.49,42.2,0,41.6,1013.5,46.5426,24.558
04/11/2011,-0.9,10,62.7,29.4,0,25.2,1016.7,46.5426,24.558
04/12/2011,3,9,81.95,22.1,0,54.4,1010.6,46.5426,24.558
04/13/2011,5,8.1,84.29,29.1,0,76.8,1009.1,46.5426,24.558
04/14/2011,2.9,10.9,74.57,25.7,0,46.8,1008.6,46.5426,24.558
04/15/2011,4,10,80.09,22.1,0,76.2,1012.2,46.5426,24.558
04/16/2011,4.1,12,75.58,7.6,0,45.5,1019.8,46.5426,24.558
04/17/2011,-1,16,65.41,11.1,0,19.2,1024.1,46.5426,24.558
04/18/2011,-0.8,17,61.18,10.8,0,21.1,1022.3,46.5426,24.558
04/19/2011,3.1,18.9,60.16,21.5,0,8.2,1016.2,46.5426,24.558
04/20/2011,2.1,19.9,54.18,11.1,0,5.9,1017.9,46.5426,24.558
