"Date time","Minimum Temperature","Maximum Temperature","Relative Humidity","Wind Speed","Precipitation","Cloud Cover","Sea Level Pressure","Latitude","Longitude"
"01/01/2011",-11.8,-6,97.54,7.4,0,73.4,1022.6,45.7534,21.2233
"01/02/2011",-11.9,-4.1,96.98,5.4,0,78.7,1018.9,45.7534,21.2233
"01/03/2011",-5,-1.1,98.56,3.8,0,93.2,1021.7,45.7534,21.2233
"01/04/2011",-10.9,-3,95.08,8.9,0,88.9,1026.3,45.7534,21.2233
"01/05/2011",-12,-3,93.61,14.1,0,30.5,1025.7,45.7534,21.2233
"01/06/2011",-10.8,-0.9,86.42,22.1,0,11.5,1024.3,45.7534,21.2233
"01/07/2011",-1,2.1,91.15,22,0.8,69.1,1023.6,45.7534,21.2233
"01/08/2011",2,6.1,96.18,18.1,0,26.4,1022.2,45.7534,21.2233
"01/09/2011",3.1,13,92.13,12.9,0,43.5,1021.5,45.7534,21.2233
"01/10/2011",2.1,11,92.37,14.7,0,3.8,1021.8,45.7534,21.2233
"01/11/2011",1.3,8.1,93.76,16.2,0,4.1,1018.3,45.7534,21.2233
"01/12/2011",2,8.9,93.62,11,0,33.3,1017.9,45.7534,21.2233
"01/13/2011",-1,5.1,97.74,14.6,0,65.8,1018.2,45.7534,21.2233
"01/14/2011",3.1,10,96.24,13.1,0.5,81.5,1017.3,45.7534,21.2233
"01/15/2011",2.2,10,96.51,19.9,0,69.4,1019.1,45.7534,21.2233
"01/16/2011",2,10,90.68,10.9,0,11.9,1028.6,45.7534,21.2233
"01/17/2011",-1.8,9,94.87,14.7,0,7.7,1029.2,45.7534,21.2233
"01/18/2011",-1,6.7,96.02,14.4,0,34.4,1025.6,45.7534,21.2233
"01/19/2011",0.9,2,98.85,7.5,0.5,99.8,1023.7,45.7534,21.2233
"01/20/2011",1,2.1,97.95,9.2,1.5,96.8,1019.6,45.7534,21.2233
"01/21/2011",-1,1,97.78,21.9,4.4,99.5,1022.4,45.7534,21.2233
"01/22/2011",-1,0,97.46,18.3,1,91.8,1023.3,45.7534,21.2233
"01/23/2011",-3,0,96.98,18,0.5,99.5,1018.7,45.7534,21.2233
"01/24/2011",-9.1,-0.1,96.26,17.5,2.5,68.8,1018.9,45.7534,21.2233
"01/25/2011",-15,-6,95.82,14,0,51,1019.7,45.7534,21.2233
"01/26/2011",-8,-1.9,95.99,14.9,0,49.3,1013.7,45.7534,21.2233
"01/27/2011",-3,1.1,97.13,19.8,1,82.9,1017.1,45.7534,21.2233
"01/28/2011",-9.8,0.8,94.64,17.9,0,26.6,1024.2,45.7534,21.2233
"01/29/2011",-11.1,-0.9,92.86,10.8,0,2.1,1026.8,45.7534,21.2233
"01/30/2011",-13,-4.2,95.47,16.1,0,34.3,1024,45.7534,21.2233
"01/31/2011",-9.1,-7,96.29,7.5,0,97.5,1027.1,45.7534,21.2233
"02/01/2011",-9,-7,98.07,3.6,0,98.7,1030.4,45.7534,21.2233
"02/02/2011",-9,-7.9,98.94,9,0,99.7,1030.2,45.7534,21.2233
"02/03/2011",-8,-5,92.57,8.9,0,99.7,1030.8,45.7534,21.2233
"02/04/2011",-6,-4,96.44,12.7,0,97.6,1032,45.7534,21.2233
"02/05/2011",-6,2,89.81,20.5,0,35.7,1027.5,45.7534,21.2233
"02/06/2011",-6.8,5,90.69,12.6,0,4.8,1026,45.7534,21.2233
"02/07/2011",-3.8,7.1,92.25,11.2,0,9,1025.6,45.7534,21.2233
"02/08/2011",-2.8,10.1,87.03,18,0,3.3,1020.1,45.7534,21.2233
"02/09/2011",-2.9,0.1,98.7,14.2,0,53.4,1023.4,45.7534,21.2233
"02/10/2011",-5.9,2.2,97.82,7.5,0,42.2,1025.5,45.7534,21.2233
"02/11/2011",-4,7.9,89.24,14.7,0,28.1,1018.7,45.7534,21.2233
"02/12/2011",-4,7,79.76,38.3,0,33.2,1013.8,45.7534,21.2233
"02/13/2011",-6,3,80.78,12.6,0,3.4,1020.5,45.7534,21.2233
"02/14/2011",-0.1,3.8,82.12,11.2,0,82.6,1015.7,45.7534,21.2233
"02/15/2011",-1.2,3,89.17,12.4,0,52.4,1013.5,45.7534,21.2233
"02/16/2011",-1,7,76.83,21.7,0,13.9,1011.9,45.7534,21.2233
"02/17/2011",1,4.1,88.87,30.6,2,45.1,1009.6,45.7534,21.2233
"02/18/2011",1,7.1,87.62,24.2,0,46.3,1010.7,45.7534,21.2233
"02/19/2011",3.9,5,96.93,5.8,1,83.8,1011,45.7534,21.2233
"02/20/2011",0,4,94.25,14.5,0,98.4,1015.5,45.7534,21.2233
"02/21/2011",-1,3.9,93.35,20.3,0,45.8,1016.1,45.7534,21.2233
"02/22/2011",-3.1,0,88.54,20.2,0,59,1015.2,45.7534,21.2233
"02/23/2011",-2,1,87.17,16.5,0,55.9,1020.9,45.7534,21.2233
"02/24/2011",-4,-2,93.81,14.7,1.8,77.9,1026.3,45.7534,21.2233
"02/25/2011",-5,-3,98.15,11,9.9,85.4,1026.5,45.7534,21.2233
"02/26/2011",-8.9,-0.9,91.84,8.8,0.5,59,1026.7,45.7534,21.2233
"02/27/2011",-10.9,0.9,96.19,16.1,0,62.5,1021.3,45.7534,21.2233
"02/28/2011",-5.1,-1.9,91.25,7.4,0,98.6,1026.1,45.7534,21.2233
"03/01/2011",-3,-1.9,91.07,12.8,0,93.7,1031.7,45.7534,21.2233
"03/02/2011",-6.9,1.9,89.99,17.7,0.5,44.6,1033.3,45.7534,21.2233
"03/03/2011",-1,3.9,92.22,10.9,3,47.7,1033.7,45.7534,21.2233
"03/04/2011",-2.9,3.9,93.73,12.4,2,66.6,1033.9,45.7534,21.2233
"03/05/2011",-3.9,2,95.38,16,0,88.9,1025,45.7534,21.2233
"03/06/2011",-0.2,4,88.85,21.4,0,67.5,1018.6,45.7534,21.2233
"03/07/2011",-3,3,79.15,27.7,0,15.5,1029.6,45.7534,21.2233
"03/08/2011",-5,4,76.15,20.2,0,4.8,1034.8,45.7534,21.2233
"03/09/2011",-6,5,81.49,10.9,0,3.7,1027.6,45.7534,21.2233
"03/10/2011",-6,8,73.83,11,0,1.3,1023.3,45.7534,21.2233
