Date time,Minimum Temperature,Maximum Temperature,Relative Humidity,Wind Speed,Precipitation,Cloud Cover,Sea Level Pressure,Latitude,Longitude
01/01/2011,-10,-1.8,88.62,14.6,0,27.2,1017.5,45.179,28.8023
01/02/2011,-8.2,0.5,85.59,12.7,0,11.6,1015,45.179,28.8023
01/03/2011,-5.6,-0.1,92.11,22.6,2.19,87.4,1018.5,45.179,28.8023
01/04/2011,-11,-1.9,88.53,19,0.09,14.8,1024.2,45.179,28.8023
01/05/2011,-12.2,-6.9,93.73,7.3,0.37,47.4,1029.7,45.179,28.8023
01/06/2011,-12.5,-2.4,94.33,7.4,0,35.6,1029.8,45.179,28.8023
01/07/2011,-11,0.5,93.88,9.8,0,49.7,1028.8,45.179,28.8023
01/08/2011,-6.7,3.5,88.47,20.1,0,35.4,1026,45.179,28.8023
01/09/2011,3.2,5,94.01,24.7,0.84,95.8,1023.5,45.179,28.8023
01/10/2011,1,8.2,95.61,19.9,0,65.5,1026.8,45.179,28.8023
01/11/2011,1.2,7.1,94.13,20.3,0,91.9,1024.9,45.179,28.8023
01/12/2011,4.4,7.4,91.98,11,0,98.9,1020.2,45.179,28.8023
01/13/2011,2.1,6.4,92.73,16.3,0,82.9,1016.8,45.179,28.8023
01/14/2011,0.5,4.4,99.07,11.3,0,74.7,1015.5,45.179,28.8023
01/15/2011,0.1,9.3,95.68,7.5,0,69.3,1015.4,45.179,28.8023
01/16/2011,1.8,6.6,91.92,24.3,0.33,84.2,1022.9,45.179,28.8023
01/17/2011,-1.5,6.6,87.84,11.3,0,56.1,1029.3,45.179,28.8023
01/18/2011,1.1,9.6,87.64,7.5,0,74.9,1025.5,45.179,28.8023
01/19/2011,-1.6,2.7,98.18,11,0,66.7,1023.5,45.179,28.8023
01/20/2011,1.9,6.8,98.45,14.5,0,75.6,1020,45.179,28.8023
01/21/2011,3,3.9,99.3,13.2,1.74,91.9,1022.3,45.179,28.8023
01/22/2011,-0.7,3.5,99.55,21.7,15.29,89.8,1023,45.179,28.8023
01/23/2011,-3.2,-0.8,98.67,28.7,12,88.2,1016,45.179,28.8023
01/24/2011,-10.1,-1.1,93.49,17.1,0,62.3,1017.8,45.179,28.8023
01/25/2011,-7.1,-3.2,94.21,17.4,0,72.7,1017.8,45.179,28.8023
01/26/2011,-14.2,-4.1,93.82,10.8,0,34.1,1016,45.179,28.8023
01/27/2011,-11,-3.4,95.71,13,0,51.5,1018.7,45.179,28.8023
01/28/2011,-7.9,-3.5,92.37,18.7,0,76.7,1025.6,45.179,28.8023
01/29/2011,-7.7,-2.2,90.22,17.2,0,46,1026.2,45.179,28.8023
01/30/2011,-13.8,-6,94.43,12.7,0,37,1021,45.179,28.8023
01/31/2011,-9.6,-1.2,84.42,25.1,0,60.4,1022.9,45.179,28.8023
02/01/2011,-8.9,0,80.6,20.5,0,35.4,1025.2,45.179,28.8023
02/02/2011,-8.3,-0.1,83.15,14.9,0,32.9,1022.3,45.179,28.8023
02/03/2011,-9.5,-0.4,85.36,20.4,0,56.6,1024.6,45.179,28.8023
02/04/2011,-7,0.7,86.17,13,0,39.3,1025.9,45.179,28.8023
02/05/2011,-4.3,3.6,73.17,28.7,0,60,1019.3,45.179,28.8023
02/06/2011,-0.7,7.6,76.84,15.6,0,39.4,1018.1,45.179,28.8023
02/07/2011,1.5,10.4,78.5,11.3,0,40.3,1020.9,45.179,28.8023
02/08/2011,-0.9,11.8,74.74,18.4,0,0.7,1017.1,45.179,28.8023
02/09/2011,0.6,7.6,68.4,23.4,0,5.6,1016.9,45.179,28.8023
02/10/2011,-0.9,6.2,63.11,25,0,19.6,1021.3,45.179,28.8023
02/11/2011,-5,7.8,71.61,28.5,0,29,1018.3,45.179,28.8023
02/12/2011,-0.9,9.4,69.04,43.9,0.53,76.5,1004.8,45.179,28.8023
02/13/2011,-3.8,2.5,58.32,25.1,0,38.7,1019.2,45.179,28.8023
02/14/2011,-4.4,-0.4,66.43,17.1,0,68.4,1017.3,45.179,28.8023
02/15/2011,-8.3,-2.9,67.47,16.8,0,4.6,1018,45.179,28.8023
02/16/2011,-9.8,-1.4,78.4,17,0.28,50,1022.2,45.179,28.8023
02/17/2011,-2.6,1.8,85.6,25.7,1.43,96.4,1020.5,45.179,28.8023
02/18/2011,0.6,7.6,93.82,18.3,5.07,90,1016.7,45.179,28.8023
02/19/2011,-2.9,4.7,91.29,29,3.06,90.4,1013.3,45.179,28.8023
02/20/2011,-6.2,-1.7,77.37,23.7,0,72.1,1017.3,45.179,28.8023
02/21/2011,-4.9,0.4,83.93,18.6,0,86.3,1020.4,45.179,28.8023
02/22/2011,-2.7,0.5,94.12,29.2,2.58,98.1,1017.5,45.179,28.8023
02/23/2011,-4.7,0,93.12,27.2,1.13,95.5,1020.3,45.179,28.8023
02/24/2011,-6.6,-2.6,84.37,27.4,0.05,96.7,1025.6,45.179,28.8023
02/25/2011,-5.7,-2.7,85.4,34.4,0.63,97.8,1025.6,45.179,28.8023
02/26/2011,-7.7,-3.8,78.7,29.1,0,91.1,1026.3,45.179,28.8023
02/27/2011,-8.1,-2.7,83.11,20.7,0.71,95.6,1024.6,45.179,28.8023
02/28/2011,-6.2,-1.7,83.18,18.9,0.21,78.7,1027.6,45.179,28.8023
03/01/2011,-7.7,-3.3,84.09,20.3,0.05,72.5,1032.7,45.179,28.8023
03/02/2011,-4.9,2.2,76.74,20.4,0,55.7,1037.1,45.179,28.8023
03/03/2011,-7.2,2.2,70.09,15.4,0,46.8,1037,45.179,28.8023
03/04/2011,-4.8,5.6,74.45,13,0,44.8,1032.6,45.179,28.8023
03/05/2011,-2.3,7.4,80.66,16.9,0,31,1021.8,45.179,28.8023
03/06/2011,-2,6.2,75.8,28.7,0,33.7,1012.1,45.179,28.8023
03/07/2011,-3.1,3.2,68.24,26.6,0,34.2,1024.9,45.179,28.8023
03/08/2011,-2.9,1.2,63.05,27.4,0,66.8,1031.7,45.179,28.8023
03/09/2011,-3.7,0.1,68.49,29.4,0.38,85.8,1025.3,45.179,28.8023
03/10/2011,-2.1,6.4,70.66,25.8,0,58.5,1019.6,45.179,28.8023
03/11/2011,-4.8,8.7,73.89,16.3,0,2.6,1021,45.179,28.8023
03/12/2011,1.4,14.6,66.91,9.3,0,33.4,1023.6,45.179,28.8023
03/13/2011,0.5,13.7,67.99,33.8,0,50.4,1024.6,45.179,28.8023
03/14/2011,4.1,15.6,70.27,33.7,0,16.9,1023,45.179,28.8023
03/15/2011,2.3,21.5,57.23,9.6,0,45.1,1021.1,45.179,28.8023
03/16/2011,6.4,17,72.67,20.4,0,71.2,1021.3,45.179,28.8023
03/17/2011,3.9,6.7,95.16,28.5,0.51,97.1,1021.5,45.179,28.8023
03/18/2011,2.9,5.4,97.51,22.4,1.51,99.3,1018.4,45.179,28.8023
03/19/2011,2.1,5,85.7,16.6,0,98.3,1020.1,45.179,28.8023
03/20/2011,1,8.7,77.71,22.2,0,82.7,1025.5,45.179,28.8023
03/21/2011,2.5,8.9,62,26.9,0,56.9,1030.2,45.179,28.8023
03/22/2011,-1.6,9.4,59.85,18.6,0,15.3,1032.4,45.179,28.8023
